;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,65536
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
135,2059.94,1.51067e-05,1.32094e-06
136,2075.2,1.54524e-05,1.32237e-06
137,2090.45,1.48109e-05,1.32794e-06
138,2105.71,1.41258e-05,1.31481e-06
139,2120.97,1.4263e-05,1.33808e-06
140,2136.23,1.42065e-05,1.40326e-06
141,2151.49,1.40609e-05,1.39945e-06
142,2166.75,1.45765e-05,1.37697e-06
143,2182.01,1.49132e-05,1.37831e-06
144,2197.27,1.52281e-05,1.43711e-06
145,2212.52,1.58484e-05,1.47212e-06
146,2227.78,1.56046e-05,1.38701e-06
147,2243.04,1.47991e-05,1.34779e-06
148,2258.3,1.41506e-05,1.3598e-06
149,2273.56,1.42932e-05,1.32186e-06
150,2288.82,1.48654e-05,1.27416e-06
151,2304.08,1.47883e-05,1.24906e-06
152,2319.34,1.38284e-05,1.27453e-06
153,2334.59,1.36584e-05,1.33693e-06
154,2349.85,1.39733e-05,1.34452e-06
155,2365.11,1.43716e-05,1.35012e-06
156,2380.37,1.44594e-05,1.36397e-06
157,2395.63,1.39379e-05,1.34516e-06
158,2410.89,1.43678e-05,1.3809e-06
159,2426.15,1.53126e-05,1.41421e-06
160,2441.41,1.54924e-05,1.4092e-06
161,2456.67,1.48727e-05,1.36942e-06
162,2471.92,1.3998e-05,1.33441e-06
163,2487.18,1.35947e-05,1.34107e-06
164,2502.44,1.37862e-05,1.35634e-06
165,2517.7,1.42116e-05,1.38229e-06
166,2532.96,1.46045e-05,1.40348e-06
167,2548.22,1.45538e-05,1.39944e-06
168,2563.48,1.42085e-05,1.35785e-06
169,2578.74,1.40776e-05,1.33046e-06
170,2593.99,1.38817e-05,1.35156e-06
171,2609.25,1.37737e-05,1.39903e-06
172,2624.51,1.45806e-05,1.36706e-06
173,2639.77,1.48888e-05,1.32526e-06
174,2655.03,1.44655e-05,1.30624e-06
175,2670.29,1.40754e-05,1.33366e-06
176,2685.55,1.40678e-05,1.37211e-06
177,2700.81,1.44183e-05,1.39293e-06
178,2716.06,1.47697e-05,1.47859e-06
179,2731.32,1.45389e-05,1.48861e-06
180,2746.58,1.40569e-05,1.38946e-06
181,2761.84,1.43494e-05,1.31209e-06
182,2777.1,1.39418e-05,1.32812e-06
183,2792.36,1.33712e-05,1.31521e-06
184,2807.62,1.35815e-05,1.29668e-06
185,2822.88,1.3529e-05,1.38065e-06
186,2838.13,1.38224e-05,1.40272e-06
187,2853.39,1.41584e-05,1.3664e-06
188,2868.65,1.41657e-05,1.37537e-06
189,2883.91,1.43726e-05,1.37284e-06
190,2899.17,1.45306e-05,1.34901e-06
191,2914.43,1.49148e-05,1.36732e-06
192,2929.69,1.4316e-05,1.35992e-06
193,2944.95,1.3946e-05,1.36306e-06
194,2960.21,1.40856e-05,1.39957e-06
195,2975.46,1.44431e-05,1.39239e-06
196,2990.72,1.50688e-05,1.38302e-06
197,3005.98,1.51048e-05,1.35672e-06
