;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00812299,0.0863054
1,24.4141,0.00812299,0.0863054
2,48.8281,0.00235122,0.0249806
3,73.2422,0.000201845,0.00207779
4,97.6563,4.70043e-05,0.000248691
5,122.07,4.65999e-05,0.000241923
6,146.484,4.61087e-05,0.000247494
7,170.898,4.48315e-05,0.000247535
8,195.313,4.45317e-05,0.000252679
9,219.727,4.37683e-05,0.00026066
10,244.141,4.32126e-05,0.000260521
11,268.555,4.39201e-05,0.000254436
12,292.969,4.39698e-05,0.000247144
13,317.383,4.32732e-05,0.000247361
14,341.797,4.34862e-05,0.000245187
15,366.211,4.41299e-05,0.000249048
16,390.625,4.44301e-05,0.000256526
17,415.039,4.41937e-05,0.000255551
18,439.453,4.40201e-05,0.000251975
19,463.867,4.4005e-05,0.000247296
20,488.281,4.5193e-05,0.000248252
21,512.695,4.50222e-05,0.00025601
22,537.109,4.32129e-05,0.000256345
23,561.523,4.25754e-05,0.00025071
24,585.938,4.34285e-05,0.000251273
25,610.352,4.39277e-05,0.000257638
26,634.766,4.37451e-05,0.000251755
27,659.18,4.36384e-05,0.000245789
28,683.594,4.33233e-05,0.000251169
29,708.008,4.24909e-05,0.000257935
30,732.422,4.37977e-05,0.000262202
31,756.836,4.3927e-05,0.000257897
32,781.25,4.4455e-05,0.000255452
33,805.664,4.46849e-05,0.000259849
34,830.078,4.61035e-05,0.000266471
35,854.492,4.73201e-05,0.000268146
36,878.906,4.64023e-05,0.000261051
37,903.32,4.45738e-05,0.000255562
38,927.734,4.29277e-05,0.000247027
39,952.148,4.55173e-05,0.000240736
40,976.563,4.83536e-05,0.000244249
41,1000.98,4.77925e-05,0.000250683
42,1025.39,4.56076e-05,0.000249841
43,1049.8,4.48457e-05,0.000248306
44,1074.22,4.54547e-05,0.00025027
45,1098.63,4.57131e-05,0.00024444
46,1123.05,4.588e-05,0.000244621
47,1147.46,4.46645e-05,0.000247889
48,1171.88,4.29661e-05,0.000251929
49,1196.29,4.33362e-05,0.000257051
50,1220.7,4.4306e-05,0.000256049
51,1245.12,4.593e-05,0.000245986
52,1269.53,4.44475e-05,0.000242203
53,1293.95,4.27e-05,0.000251526
54,1318.36,4.34078e-05,0.000263157
55,1342.77,4.36289e-05,0.000258381
56,1367.19,4.32307e-05,0.000248547
57,1391.6,4.25989e-05,0.000249648
58,1416.02,4.30358e-05,0.000250907
59,1440.43,4.37055e-05,0.000254379
60,1464.84,4.19297e-05,0.000264883
61,1489.26,4.16215e-05,0.000266367
