;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00794444,0.000347219
1,24.4141,0.00794444,0.000347219
2,48.8281,0.00229864,0.000119123
3,73.2422,0.000194036,6.43226e-05
4,97.6563,4.71235e-05,6.17267e-05
5,122.07,4.64581e-05,6.06274e-05
6,146.484,4.61706e-05,5.98038e-05
7,170.898,4.60243e-05,5.96218e-05
8,195.313,4.48138e-05,5.8606e-05
9,219.727,4.43925e-05,5.75299e-05
10,244.141,4.47176e-05,5.85352e-05
11,268.555,4.37681e-05,5.95686e-05
12,292.969,4.29893e-05,5.8959e-05
13,317.383,4.44655e-05,5.90503e-05
14,341.797,4.48704e-05,5.83742e-05
15,366.211,4.39683e-05,5.81845e-05
16,390.625,4.31345e-05,5.84261e-05
17,415.039,4.29195e-05,5.89023e-05
18,439.453,4.40058e-05,5.93392e-05
19,463.867,4.44081e-05,5.97709e-05
20,488.281,4.46148e-05,6.01869e-05
21,512.695,4.48791e-05,6.08039e-05
22,537.109,4.53396e-05,5.89873e-05
23,561.523,4.52277e-05,5.70863e-05
24,585.938,4.54118e-05,5.84783e-05
25,610.352,4.52957e-05,5.96574e-05
26,634.766,4.48017e-05,5.87794e-05
27,659.18,4.48757e-05,5.89081e-05
28,683.594,4.56766e-05,5.9766e-05
29,708.008,4.62562e-05,5.94688e-05
30,732.422,4.64071e-05,5.84168e-05
31,756.836,4.59571e-05,5.83987e-05
32,781.25,4.56243e-05,5.8926e-05
33,805.664,4.60539e-05,5.87473e-05
34,830.078,4.66554e-05,5.7605e-05
35,854.492,4.62949e-05,5.76109e-05
36,878.906,4.5688e-05,5.84563e-05
37,903.32,4.57107e-05,6.06408e-05
38,927.734,4.63798e-05,6.10712e-05
39,952.148,4.63671e-05,6.02805e-05
40,976.563,4.58233e-05,6.12474e-05
41,1000.98,4.60453e-05,6.08634e-05
42,1025.39,4.66501e-05,5.95097e-05
43,1049.8,4.69187e-05,5.89648e-05
44,1074.22,4.66477e-05,5.86182e-05
45,1098.63,4.60552e-05,5.8096e-05
46,1123.05,4.56958e-05,5.80215e-05
47,1147.46,4.59204e-05,5.82474e-05
48,1171.88,4.61399e-05,5.89418e-05
49,1196.29,4.54344e-05,5.85873e-05
50,1220.7,4.46166e-05,5.7583e-05
51,1245.12,4.41119e-05,5.80242e-05
52,1269.53,4.37413e-05,5.89556e-05
53,1293.95,4.32744e-05,5.81737e-05
54,1318.36,4.41661e-05,5.68025e-05
55,1342.77,4.53299e-05,5.66544e-05
56,1367.19,4.47214e-05,5.69315e-05
57,1391.6,4.41312e-05,5.7247e-05
58,1416.02,4.41891e-05,5.77251e-05
59,1440.43,4.3563e-05,5.71096e-05
60,1464.84,4.27523e-05,5.66747e-05
61,1489.26,4.27534e-05,5.70113e-05
62,1513.67,4.28798e-05,5.73849e-05
63,1538.09,4.37559e-05,5.86545e-05
64,1562.5,4.44562e-05,5.86066e-05
65,1586.91,4.36649e-05,5.71039e-05
66,1611.33,4.30707e-05,5.66731e-05
67,1635.74,4.32481e-05,5.71702e-05
68,1660.16,4.25829e-05,5.67801e-05
69,1684.57,4.24081e-05,5.59751e-05
70,1708.98,4.32924e-05,5.62314e-05
71,1733.4,4.33637e-05,5.68491e-05
72,1757.81,4.20041e-05,5.73256e-05
73,1782.23,4.12341e-05,5.71561e-05
74,1806.64,4.21319e-05,5.687e-05
75,1831.05,4.32908e-05,5.81802e-05
76,1855.47,4.38061e-05,5.83717e-05
77,1879.88,4.30645e-05,5.82434e-05
78,1904.3,4.25352e-05,5.7656e-05
79,1928.71,4.27419e-05,5.67467e-05
80,1953.13,4.29296e-05,5.52068e-05
81,1977.54,4.26278e-05,5.55576e-05
82,2001.95,4.25873e-05,5.72589e-05
83,2026.37,4.24778e-05,5.82943e-05
84,2050.78,4.29529e-05,5.75248e-05
85,2075.2,4.28897e-05,5.63001e-05
86,2099.61,4.16224e-05,5.63898e-05
87,2124.02,4.17198e-05,5.76442e-05
88,2148.44,4.33869e-05,5.73662e-05
89,2172.85,4.50093e-05,5.65258e-05
90,2197.27,4.47866e-05,5.64068e-05
91,2221.68,4.31476e-05,5.64085e-05
92,2246.09,4.25812e-05,5.5807e-05
93,2270.51,4.24353e-05,5.61664e-05
94,2294.92,4.18994e-05,5.67486e-05
95,2319.34,4.17333e-05,5.6832e-05
96,2343.75,4.19882e-05,5.724e-05
97,2368.16,4.21842e-05,5.63373e-05
98,2392.58,4.14923e-05,5.61435e-05
99,2416.99,4.12442e-05,5.67572e-05
100,2441.41,4.2077e-05,5.60369e-05
101,2465.82,4.2687e-05,5.585e-05
102,2490.23,4.3139e-05,5.54787e-05
103,2514.65,4.33819e-05,5.55965e-05
104,2539.06,4.26897e-05,5.70381e-05
105,2563.48,4.28463e-05,5.8011e-05
106,2587.89,4.33733e-05,5.84873e-05
107,2612.3,4.31433e-05,5.78916e-05
108,2636.72,4.21341e-05,5.68047e-05
109,2661.13,4.2186e-05,5.63754e-05
110,2685.55,4.31388e-05,5.57152e-05
111,2709.96,4.32989e-05,5.55782e-05
112,2734.38,4.31254e-05,5.54937e-05
113,2758.79,4.31156e-05,5.60079e-05
114,2783.2,4.28839e-05,5.62188e-05
115,2807.62,4.26709e-05,5.61253e-05
116,2832.03,4.23576e-05,5.64696e-05
117,2856.45,4.20282e-05,5.64462e-05
118,2880.86,4.29537e-05,5.76641e-05
119,2905.27,4.32659e-05,5.82828e-05
120,2929.69,4.20048e-05,5.82157e-05
121,2954.1,4.18925e-05,5.76274e-05
122,2978.52,4.23812e-05,5.65453e-05
123,3002.93,4.15514e-05,5.53301e-05
124,3027.34,4.19332e-05,5.50795e-05
125,3051.76,4.3122e-05,5.59714e-05
126,3076.17,4.30265e-05,5.69025e-05
127,3100.59,4.214e-05,5.72154e-05
128,3125,4.27574e-05,5.59666e-05
129,3149.41,4.24471e-05,5.61316e-05
130,3173.83,4.18779e-05,5.77498e-05
131,3198.24,4.31407e-05,5.77873e-05
132,3222.66,4.31361e-05,5.63307e-05
133,3247.07,4.20123e-05,5.54219e-05
134,3271.48,4.10225e-05,5.61554e-05
135,3295.9,4.17302e-05,5.68993e-05
136,3320.31,4.3178e-05,5.59871e-05
137,3344.73,4.39076e-05,5.55112e-05
138,3369.14,4.35263e-05,5.63841e-05
139,3393.55,4.31255e-05,5.65889e-05
140,3417.97,4.26975e-05,5.56548e-05
141,3442.38,4.30034e-05,5.55302e-05
142,3466.8,4.38462e-05,5.62196e-05
143,3491.21,4.35791e-05,5.56307e-05
144,3515.63,4.29553e-05,5.47481e-05
145,3540.04,4.31534e-05,5.51371e-05
146,3564.45,4.39784e-05,5.60808e-05
147,3588.87,4.4765e-05,5.69223e-05
148,3613.28,4.4798e-05,5.68081e-05
149,3637.7,4.45326e-05,5.65337e-05
150,3662.11,4.42438e-05,5.68878e-05
151,3686.52,4.37176e-05,5.69614e-05
152,3710.94,4.36888e-05,5.67838e-05
153,3735.35,4.39765e-05,5.63854e-05
154,3759.77,4.35659e-05,5.59287e-05
155,3784.18,4.25792e-05,5.54669e-05
156,3808.59,4.20127e-05,5.54674e-05
157,3833.01,4.27584e-05,5.4793e-05
158,3857.42,4.29562e-05,5.47589e-05
159,3881.84,4.20857e-05,5.53742e-05
160,3906.25,4.16548e-05,5.70731e-05
161,3930.66,4.13327e-05,5.74961e-05
162,3955.08,4.16511e-05,5.67131e-05
163,3979.49,4.19331e-05,5.65623e-05
164,4003.91,4.21756e-05,5.60781e-05
165,4028.32,4.22806e-05,5.69336e-05
166,4052.73,4.25556e-05,5.78071e-05
167,4077.15,4.22011e-05,5.70671e-05
168,4101.56,4.16307e-05,5.57051e-05
169,4125.98,4.14081e-05,5.6692e-05
170,4150.39,4.18741e-05,5.73079e-05
171,4174.8,4.2599e-05,5.66179e-05
172,4199.22,4.23993e-05,5.6933e-05
173,4223.63,4.21929e-05,5.72137e-05
174,4248.05,4.15768e-05,5.70394e-05
175,4272.46,4.14022e-05,5.66928e-05
176,4296.88,4.23579e-05,5.59327e-05
177,4321.29,4.29355e-05,5.54119e-05
178,4345.7,4.30823e-05,5.56549e-05
179,4370.12,4.29451e-05,5.66883e-05
180,4394.53,4.28475e-05,5.80019e-05
181,4418.95,4.23687e-05,5.69501e-05
182,4443.36,4.274e-05,5.55724e-05
183,4467.77,4.2987e-05,5.6183e-05
184,4492.19,4.23195e-05,5.62882e-05
185,4516.6,4.21822e-05,5.538e-05
186,4541.02,4.2501e-05,5.63461e-05
187,4565.43,4.31554e-05,5.60066e-05
188,4589.84,4.30812e-05,5.52866e-05
189,4614.26,4.26696e-05,5.62383e-05
190,4638.67,4.25974e-05,5.73878e-05
191,4663.09,4.22941e-05,5.74057e-05
192,4687.5,4.2347e-05,5.72939e-05
193,4711.91,4.33455e-05,5.6653e-05
194,4736.33,4.34119e-05,5.75167e-05
195,4760.74,4.23917e-05,5.80879e-05
196,4785.16,4.19486e-05,5.66593e-05
197,4809.57,4.26302e-05,5.56352e-05
198,4833.98,4.24454e-05,5.67165e-05
199,4858.4,4.20149e-05,5.62546e-05
200,4882.81,4.20088e-05,5.54196e-05
201,4907.23,4.25658e-05,5.59828e-05
202,4931.64,4.25898e-05,5.70055e-05
203,4956.05,4.26792e-05,5.76354e-05
204,4980.47,4.27955e-05,5.74577e-05
205,5004.88,4.29934e-05,5.68624e-05
206,5029.3,4.34326e-05,5.73139e-05
207,5053.71,4.36065e-05,5.65976e-05
208,5078.13,4.38833e-05,5.5556e-05
209,5102.54,4.38172e-05,5.56775e-05
210,5126.95,4.40901e-05,5.60346e-05
211,5151.37,4.43406e-05,5.70776e-05
212,5175.78,4.35529e-05,5.77333e-05
213,5200.2,4.31155e-05,5.72067e-05
214,5224.61,4.25954e-05,5.55467e-05
215,5249.02,4.25129e-05,5.4972e-05
216,5273.44,4.30606e-05,5.56891e-05
217,5297.85,4.31997e-05,5.53434e-05
218,5322.27,4.23072e-05,5.4617e-05
219,5346.68,4.16479e-05,5.5188e-05
220,5371.09,4.22556e-05,5.63355e-05
221,5395.51,4.26713e-05,5.75775e-05
222,5419.92,4.27422e-05,5.77259e-05
223,5444.34,4.36971e-05,5.71494e-05
224,5468.75,4.4058e-05,5.68754e-05
225,5493.16,4.2923e-05,5.68201e-05
226,5517.58,4.16661e-05,5.59692e-05
227,5541.99,4.25232e-05,5.62077e-05
228,5566.41,4.41088e-05,5.82385e-05
229,5590.82,4.44832e-05,5.8545e-05
230,5615.23,4.33162e-05,5.80175e-05
231,5639.65,4.26222e-05,5.76532e-05
232,5664.06,4.34214e-05,5.74496e-05
233,5688.48,4.33673e-05,5.68263e-05
234,5712.89,4.25449e-05,5.62001e-05
235,5737.3,4.23693e-05,5.63216e-05
236,5761.72,4.27723e-05,5.56063e-05
237,5786.13,4.36203e-05,5.51524e-05
238,5810.55,4.39021e-05,5.62096e-05
239,5834.96,4.29113e-05,5.7588e-05
240,5859.38,4.19603e-05,5.7217e-05
241,5883.79,4.24977e-05,5.66654e-05
242,5908.2,4.30012e-05,5.66318e-05
243,5932.62,4.32497e-05,5.63085e-05
244,5957.03,4.32705e-05,5.58981e-05
245,5981.45,4.26726e-05,5.65805e-05
246,6005.86,4.26136e-05,5.65479e-05
247,6030.27,4.19795e-05,5.59812e-05
248,6054.69,4.1793e-05,5.69988e-05
249,6079.1,4.21472e-05,5.81143e-05
250,6103.52,4.3009e-05,5.77309e-05
251,6127.93,4.3117e-05,5.68544e-05
252,6152.34,4.24961e-05,5.64282e-05
253,6176.76,4.21781e-05,5.70769e-05
254,6201.17,4.27587e-05,5.65217e-05
255,6225.59,4.29883e-05,5.60111e-05
256,6250,4.29549e-05,5.7247e-05
257,6274.41,4.34451e-05,5.65677e-05
258,6298.83,4.28414e-05,5.46354e-05
259,6323.24,4.25326e-05,5.53526e-05
260,6347.66,4.24921e-05,5.74304e-05
261,6372.07,4.25844e-05,5.76021e-05
262,6396.48,4.32449e-05,5.62391e-05
263,6420.9,4.36949e-05,5.54146e-05
264,6445.31,4.37123e-05,5.68359e-05
265,6469.73,4.34815e-05,5.72114e-05
