;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
134,3271.48,4.02273e-06,3.94513e-06
135,3295.9,4.031e-06,3.94359e-06
136,3320.31,4.03664e-06,3.8711e-06
137,3344.73,4.06095e-06,3.81763e-06
138,3369.14,3.9868e-06,3.82143e-06
139,3393.55,3.92119e-06,3.81383e-06
140,3417.97,3.94702e-06,3.81114e-06
141,3442.38,4.03112e-06,3.84125e-06
142,3466.8,4.05123e-06,3.88903e-06
143,3491.21,4.01767e-06,3.86277e-06
144,3515.63,4.09994e-06,3.815e-06
145,3540.04,4.06701e-06,3.86918e-06
146,3564.45,3.99255e-06,3.90014e-06
147,3588.87,3.94507e-06,3.91701e-06
148,3613.28,3.9516e-06,3.90745e-06
149,3637.7,4.01425e-06,3.91087e-06
150,3662.11,4.03302e-06,3.95657e-06
151,3686.52,3.99566e-06,3.96298e-06
152,3710.94,3.93452e-06,3.99613e-06
153,3735.35,3.96311e-06,4.01699e-06
154,3759.77,4.05639e-06,3.99128e-06
155,3784.18,4.04012e-06,3.95899e-06
156,3808.59,3.98565e-06,3.92915e-06
157,3833.01,3.97526e-06,3.91837e-06
158,3857.42,3.97869e-06,3.92084e-06
159,3881.84,3.96895e-06,3.89685e-06
160,3906.25,3.98982e-06,3.88303e-06
161,3930.66,4.04963e-06,3.96807e-06
162,3955.08,4.09568e-06,4.00472e-06
163,3979.49,4.11259e-06,3.96615e-06
164,4003.91,4.05872e-06,3.97944e-06
165,4028.32,3.99114e-06,3.95362e-06
166,4052.73,4.00864e-06,3.89138e-06
167,4077.15,4.058e-06,3.87206e-06
168,4101.56,4.03484e-06,3.88506e-06
169,4125.98,4.01204e-06,3.91482e-06
170,4150.39,3.98433e-06,3.84959e-06
171,4174.8,3.97654e-06,3.86962e-06
172,4199.22,3.98826e-06,3.91617e-06
173,4223.63,4.03146e-06,3.93919e-06
174,4248.05,4.04209e-06,3.95851e-06
175,4272.46,4.07868e-06,3.88989e-06
176,4296.88,4.06869e-06,3.84049e-06
177,4321.29,3.97566e-06,3.8799e-06
178,4345.7,3.90575e-06,3.93724e-06
179,4370.12,3.95845e-06,3.91736e-06
180,4394.53,4.02912e-06,3.8929e-06
181,4418.95,4.00558e-06,3.84397e-06
182,4443.36,3.95374e-06,3.87116e-06
183,4467.77,3.95878e-06,3.96794e-06
184,4492.19,3.97156e-06,3.98789e-06
185,4516.6,4.02195e-06,3.93502e-06
186,4541.02,4.03154e-06,3.89127e-06
187,4565.43,4.04806e-06,3.94378e-06
188,4589.84,4.05896e-06,3.9279e-06
189,4614.26,4.03157e-06,3.83312e-06
190,4638.67,4.00442e-06,3.79182e-06
191,4663.09,3.98655e-06,3.80043e-06
192,4687.5,4.01425e-06,3.83366e-06
193,4711.91,4.00008e-06,3.91119e-06
194,4736.33,4.01218e-06,3.99025e-06
195,4760.74,4.05305e-06,3.9897e-06
196,4785.16,4.08743e-06,3.94197e-06
197,4809.57,4.13173e-06,3.96433e-06
198,4833.98,4.07493e-06,3.99056e-06
199,4858.4,3.99055e-06,4.0009e-06
200,4882.81,4.03522e-06,3.9296e-06
201,4907.23,4.11449e-06,3.86138e-06
202,4931.64,4.06151e-06,3.83337e-06
203,4956.05,4.08569e-06,3.82766e-06
204,4980.47,4.10365e-06,3.82053e-06
205,5004.88,4.0653e-06,3.86816e-06
206,5029.3,4.07312e-06,4.02994e-06
207,5053.71,4.0944e-06,3.97661e-06
208,5078.13,4.01831e-06,3.92625e-06
209,5102.54,3.97754e-06,4.00983e-06
