Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00812299,0.0863054
1,24.4141,0.00812299,0.0863054
2,48.8281,0.00235122,0.0249806
3,73.2422,0.000201845,0.00207779
4,97.6563,0.0000470043,0.000248691
5,122.07,0.0000465999,0.000241923
6,146.484,0.0000461087,0.000247494
7,170.898,0.0000448315,0.000247535
8,195.313,0.0000445317,0.000252679
9,219.727,0.0000437683,0.00026066
10,244.141,0.0000432126,0.000260521
11,268.555,0.0000439201,0.000254436
12,292.969,0.0000439698,0.000247144
13,317.383,0.0000432732,0.000247361
14,341.797,0.0000434862,0.000245187
15,366.211,0.0000441299,0.000249048
16,390.625,0.0000444301,0.000256526
17,415.039,0.0000441937,0.000255551
18,439.453,0.0000440201,0.000251975
19,463.867,0.000044005,0.000247296
20,488.281,0.000045193,0.000248252
21,512.695,0.0000450222,0.00025601
22,537.109,0.0000432129,0.000256345
23,561.523,0.0000425754,0.00025071
24,585.938,0.0000434285,0.000251273
25,610.352,0.0000439277,0.000257638
26,634.766,0.0000437451,0.000251755
27,659.18,0.0000436384,0.000245789
28,683.594,0.0000433233,0.000251169
29,708.008,0.0000424909,0.000257935
30,732.422,0.0000437977,0.000262202
31,756.836,0.000043927,0.000257897
32,781.25,0.000044455,0.000255452
33,805.664,0.0000446849,0.000259849
34,830.078,0.0000461035,0.000266471
35,854.492,0.0000473201,0.000268146
36,878.906,0.0000464023,0.000261051
37,903.32,0.0000445738,0.000255562
38,927.734,0.0000429277,0.000247027
39,952.148,0.0000455173,0.000240736
40,976.563,0.0000483536,0.000244249
41,1000.98,0.0000477925,0.000250683
42,1025.39,0.0000456076,0.000249841
43,1049.8,0.0000448457,0.000248306
44,1074.22,0.0000454547,0.00025027
45,1098.63,0.0000457131,0.00024444
46,1123.05,0.00004588,0.000244621
47,1147.46,0.0000446645,0.000247889
48,1171.88,0.0000429661,0.000251929
49,1196.29,0.0000433362,0.000257051
50,1220.7,0.000044306,0.000256049
51,1245.12,0.00004593,0.000245986
52,1269.53,0.0000444475,0.000242203
53,1293.95,0.0000427,0.000251526
54,1318.36,0.0000434078,0.000263157
55,1342.77,0.0000436289,0.000258381
56,1367.19,0.0000432307,0.000248547
57,1391.6,0.0000425989,0.000249648
58,1416.02,0.0000430358,0.000250907
59,1440.43,0.0000437055,0.000254379
60,1464.84,0.0000419297,0.000264883
61,1489.26,0.0000416215,0.000266367
62,1513.67,0.0000428433,0.000255352
63,1538.09,0.0000422741,0.000247472
64,1562.5,0.0000415426,0.000248003
65,1586.91,0.0000416741,0.000259261
66,1611.33,0.0000406868,0.000266583
67,1635.74,0.0000404808,0.000254225
68,1660.16,0.0000419359,0.000245401
69,1684.57,0.0000423972,0.000245884
70,1708.98,0.0000416407,0.000252886
