frequency(Hz),V/rt(Hz),Title
374.9898277,2.52E-08,AD797 PSD @ 28.8 kHz Span
378.8959718,2.50E-08,AD797 PSD @ 28.8 kHz Span
382.8021158,2.38E-08,AD797 PSD @ 28.8 kHz Span
386.7082599,2.24E-08,AD797 PSD @ 28.8 kHz Span
390.6144039,2.26E-08,AD797 PSD @ 28.8 kHz Span
394.5205479,2.52E-08,AD797 PSD @ 28.8 kHz Span
398.426692,2.84E-08,AD797 PSD @ 28.8 kHz Span
402.332836,2.76E-08,AD797 PSD @ 28.8 kHz Span
406.2389801,2.39E-08,AD797 PSD @ 28.8 kHz Span
410.1451241,2.20E-08,AD797 PSD @ 28.8 kHz Span
414.0512681,2.34E-08,AD797 PSD @ 28.8 kHz Span
417.9574122,2.69E-08,AD797 PSD @ 28.8 kHz Span
421.8635562,2.78E-08,AD797 PSD @ 28.8 kHz Span
425.7697003,2.53E-08,AD797 PSD @ 28.8 kHz Span
429.6758443,2.35E-08,AD797 PSD @ 28.8 kHz Span
433.5819883,2.31E-08,AD797 PSD @ 28.8 kHz Span
437.4881324,2.29E-08,AD797 PSD @ 28.8 kHz Span
441.3942764,2.29E-08,AD797 PSD @ 28.8 kHz Span
445.3004205,2.50E-08,AD797 PSD @ 28.8 kHz Span
449.2065645,2.81E-08,AD797 PSD @ 28.8 kHz Span
453.1127085,2.79E-08,AD797 PSD @ 28.8 kHz Span
457.0188526,2.52E-08,AD797 PSD @ 28.8 kHz Span
460.9249966,2.32E-08,AD797 PSD @ 28.8 kHz Span
464.8311406,2.24E-08,AD797 PSD @ 28.8 kHz Span
468.7372847,2.22E-08,AD797 PSD @ 28.8 kHz Span
472.6434287,2.29E-08,AD797 PSD @ 28.8 kHz Span
476.5495728,2.37E-08,AD797 PSD @ 28.8 kHz Span
480.4557168,2.37E-08,AD797 PSD @ 28.8 kHz Span
484.3618608,2.33E-08,AD797 PSD @ 28.8 kHz Span
488.2680049,2.34E-08,AD797 PSD @ 28.8 kHz Span
492.1741489,2.43E-08,AD797 PSD @ 28.8 kHz Span
496.080293,2.65E-08,AD797 PSD @ 28.8 kHz Span
499.986437,2.81E-08,AD797 PSD @ 28.8 kHz Span
503.892581,2.62E-08,AD797 PSD @ 28.8 kHz Span
507.7987251,2.32E-08,AD797 PSD @ 28.8 kHz Span
511.7048691,2.23E-08,AD797 PSD @ 28.8 kHz Span
515.6110132,2.25E-08,AD797 PSD @ 28.8 kHz Span
519.5171572,2.26E-08,AD797 PSD @ 28.8 kHz Span
523.4233012,2.23E-08,AD797 PSD @ 28.8 kHz Span
527.3294453,2.18E-08,AD797 PSD @ 28.8 kHz Span
531.2355893,2.15E-08,AD797 PSD @ 28.8 kHz Span
535.1417334,2.20E-08,AD797 PSD @ 28.8 kHz Span
539.0478774,2.35E-08,AD797 PSD @ 28.8 kHz Span
542.9540214,2.44E-08,AD797 PSD @ 28.8 kHz Span
546.8601655,2.48E-08,AD797 PSD @ 28.8 kHz Span
550.7663095,2.48E-08,AD797 PSD @ 28.8 kHz Span
554.6724535,2.33E-08,AD797 PSD @ 28.8 kHz Span
558.5785976,2.16E-08,AD797 PSD @ 28.8 kHz Span
562.4847416,2.12E-08,AD797 PSD @ 28.8 kHz Span
566.3908857,2.21E-08,AD797 PSD @ 28.8 kHz Span
570.2970297,2.24E-08,AD797 PSD @ 28.8 kHz Span
574.2031737,2.21E-08,AD797 PSD @ 28.8 kHz Span
578.1093178,2.16E-08,AD797 PSD @ 28.8 kHz Span
582.0154618,2.09E-08,AD797 PSD @ 28.8 kHz Span
585.9216059,2.05E-08,AD797 PSD @ 28.8 kHz Span
589.8277499,2.08E-08,AD797 PSD @ 28.8 kHz Span
593.7338939,2.23E-08,AD797 PSD @ 28.8 kHz Span
597.640038,2.47E-08,AD797 PSD @ 28.8 kHz Span
601.546182,2.48E-08,AD797 PSD @ 28.8 kHz Span
605.4523261,2.25E-08,AD797 PSD @ 28.8 kHz Span
609.3584701,2.09E-08,AD797 PSD @ 28.8 kHz Span
613.2646141,2.10E-08,AD797 PSD @ 28.8 kHz Span
617.1707582,2.15E-08,AD797 PSD @ 28.8 kHz Span
621.0769022,2.19E-08,AD797 PSD @ 28.8 kHz Span
624.9830462,2.17E-08,AD797 PSD @ 28.8 kHz Span
628.8891903,2.15E-08,AD797 PSD @ 28.8 kHz Span
632.7953343,2.19E-08,AD797 PSD @ 28.8 kHz Span
636.7014784,2.22E-08,AD797 PSD @ 28.8 kHz Span
640.6076224,2.23E-08,AD797 PSD @ 28.8 kHz Span
