;Scopy version,f4beeb1,,,,,,,,
;Exported on,Friday October 11/10/2024,,,,,Average Ch. 1,,Average Ch. 2,
;Device,M2K,,,,,4.00E-06,V/sqrt(Hz),3.89E-06,V/sqrt(Hz)
;Nr of samples,4096,,,,,,,,
;Sample rate,0,,,,,,,,
;Tool,Spectrum Analyzer,,,,,,,,
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,,,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz),,,,,,
110,2685.55,4.09E-06,3.92E-06,,,,,,
111,2709.96,4.10E-06,3.99E-06,,,,,,
112,2734.38,4.08E-06,3.91E-06,,,,,,
113,2758.79,4.06E-06,3.86E-06,,,,,,
114,2783.2,4.04E-06,3.88E-06,,,,,,
115,2807.62,4.02E-06,3.98E-06,,,,,,
116,2832.03,4.04E-06,3.99E-06,,,,,,
117,2856.45,4.05E-06,3.94E-06,,,,,,
118,2880.86,4.03E-06,3.92E-06,,,,,,
119,2905.27,4.02E-06,3.96E-06,,,,,,
120,2929.69,4.03E-06,4.02E-06,,,,,,
121,2954.1,4.04E-06,3.92E-06,,,,,,
122,2978.52,4.02E-06,3.82E-06,,,,,,
123,3002.93,4.02E-06,3.93E-06,,,,,,
124,3027.34,4.09E-06,3.98E-06,,,,,,
125,3051.76,4.05E-06,3.96E-06,,,,,,
126,3076.17,3.98E-06,4.00E-06,,,,,,
127,3100.59,3.95E-06,4.03E-06,,,,,,
128,3125,4.00E-06,3.98E-06,,,,,,
129,3149.41,4.04E-06,3.93E-06,,,,,,
130,3173.83,4.02E-06,3.94E-06,,,,,,
131,3198.24,4.02E-06,3.97E-06,,,,,,
132,3222.66,4.11E-06,3.94E-06,,,,,,
133,3247.07,4.05E-06,3.93E-06,,,,,,
134,3271.48,4.02E-06,3.95E-06,,,,,,
135,3295.9,4.03E-06,3.94E-06,,,,,,
136,3320.31,4.04E-06,3.87E-06,,,,,,
137,3344.73,4.06E-06,3.82E-06,,,,,,
138,3369.14,3.99E-06,3.82E-06,,,,,,
139,3393.55,3.92E-06,3.81E-06,,,,,,
140,3417.97,3.95E-06,3.81E-06,,,,,,
141,3442.38,4.03E-06,3.84E-06,,,,,,
142,3466.8,4.05E-06,3.89E-06,,,,,,
143,3491.21,4.02E-06,3.86E-06,,,,,,
144,3515.63,4.10E-06,3.82E-06,,,,,,
145,3540.04,4.07E-06,3.87E-06,,,,,,
146,3564.45,3.99E-06,3.90E-06,,,,,,
147,3588.87,3.95E-06,3.92E-06,,,,,,
148,3613.28,3.95E-06,3.91E-06,,,,,,
149,3637.7,4.01E-06,3.91E-06,,,,,,
150,3662.11,4.03E-06,3.96E-06,,,,,,
151,3686.52,4.00E-06,3.96E-06,,,,,,
152,3710.94,3.93E-06,4.00E-06,,,,,,
153,3735.35,3.96E-06,4.02E-06,,,,,,
154,3759.77,4.06E-06,3.99E-06,,,,,,
155,3784.18,4.04E-06,3.96E-06,,,,,,
156,3808.59,3.99E-06,3.93E-06,,,,,,
157,3833.01,3.98E-06,3.92E-06,,,,,,
158,3857.42,3.98E-06,3.92E-06,,,,,,
159,3881.84,3.97E-06,3.90E-06,,,,,,
160,3906.25,3.99E-06,3.88E-06,,,,,,
161,3930.66,4.05E-06,3.97E-06,,,,,,
162,3955.08,4.10E-06,4.00E-06,,,,,,
163,3979.49,4.11E-06,3.97E-06,,,,,,
164,4003.91,4.06E-06,3.98E-06,,,,,,
165,4028.32,3.99E-06,3.95E-06,,,,,,
166,4052.73,4.01E-06,3.89E-06,,,,,,
167,4077.15,4.06E-06,3.87E-06,,,,,,
168,4101.56,4.03E-06,3.89E-06,,,,,,
169,4125.98,4.01E-06,3.91E-06,,,,,,
170,4150.39,3.98E-06,3.85E-06,,,,,,
171,4174.8,3.98E-06,3.87E-06,,,,,,
172,4199.22,3.99E-06,3.92E-06,,,,,,
173,4223.63,4.03E-06,3.94E-06,,,,,,
174,4248.05,4.04E-06,3.96E-06,,,,,,
175,4272.46,4.08E-06,3.89E-06,,,,,,
176,4296.88,4.07E-06,3.84E-06,,,,,,
177,4321.29,3.98E-06,3.88E-06,,,,,,
178,4345.7,3.91E-06,3.94E-06,,,,,,
179,4370.12,3.96E-06,3.92E-06,,,,,,
180,4394.53,4.03E-06,3.89E-06,,,,,,
181,4418.95,4.01E-06,3.84E-06,,,,,,
182,4443.36,3.95E-06,3.87E-06,,,,,,
183,4467.77,3.96E-06,3.97E-06,,,,,,
184,4492.19,3.97E-06,3.99E-06,,,,,,
185,4516.6,4.02E-06,3.94E-06,,,,,,
186,4541.02,4.03E-06,3.89E-06,,,,,,
187,4565.43,4.05E-06,3.94E-06,,,,,,
188,4589.84,4.06E-06,3.93E-06,,,,,,
189,4614.26,4.03E-06,3.83E-06,,,,,,
190,4638.67,4.00E-06,3.79E-06,,,,,,
191,4663.09,3.99E-06,3.80E-06,,,,,,
192,4687.5,4.01E-06,3.83E-06,,,,,,
193,4711.91,4.00E-06,3.91E-06,,,,,,
194,4736.33,4.01E-06,3.99E-06,,,,,,
195,4760.74,4.05E-06,3.99E-06,,,,,,
196,4785.16,4.09E-06,3.94E-06,,,,,,
197,4809.57,4.13E-06,3.96E-06,,,,,,
198,4833.98,4.07E-06,3.99E-06,,,,,,
199,4858.4,3.99E-06,4.00E-06,,,,,,
200,4882.81,4.04E-06,3.93E-06,,,,,,
201,4907.23,4.11E-06,3.86E-06,,,,,,
202,4931.64,4.06E-06,3.83E-06,,,,,,
203,4956.05,4.09E-06,3.83E-06,,,,,,
204,4980.47,4.10E-06,3.82E-06,,,,,,
205,5004.88,4.07E-06,3.87E-06,,,,,,
206,5029.3,4.07E-06,4.03E-06,,,,,,
207,5053.71,4.09E-06,3.98E-06,,,,,,
208,5078.13,4.02E-06,3.93E-06,,,,,,
209,5102.54,3.98E-06,4.01E-06,,,,,,
210,5126.95,3.95E-06,4.00E-06,,,,,,
211,5151.37,3.94E-06,3.94E-06,,,,,,
212,5175.78,3.95E-06,3.91E-06,,,,,,
213,5200.2,3.94E-06,3.98E-06,,,,,,
214,5224.61,3.97E-06,3.96E-06,,,,,,
215,5249.02,4.03E-06,3.92E-06,,,,,,
216,5273.44,4.07E-06,3.91E-06,,,,,,
217,5297.85,4.02E-06,3.90E-06,,,,,,
218,5322.27,3.97E-06,3.89E-06,,,,,,
219,5346.68,4.01E-06,3.86E-06,,,,,,
220,5371.09,4.05E-06,3.90E-06,,,,,,
221,5395.51,3.99E-06,3.98E-06,,,,,,
222,5419.92,4.08E-06,3.98E-06,,,,,,
223,5444.34,4.16E-06,3.91E-06,,,,,,
224,5468.75,4.10E-06,3.89E-06,,,,,,
225,5493.16,4.07E-06,3.94E-06,,,,,,
226,5517.58,4.05E-06,3.91E-06,,,,,,
227,5541.99,4.02E-06,3.88E-06,,,,,,
228,5566.41,3.98E-06,3.87E-06,,,,,,
229,5590.82,3.96E-06,3.90E-06,,,,,,
230,5615.23,4.00E-06,3.92E-06,,,,,,
231,5639.65,4.00E-06,3.91E-06,,,,,,
232,5664.06,3.99E-06,3.89E-06,,,,,,
233,5688.48,4.04E-06,3.75E-06,,,,,,
234,5712.89,4.06E-06,3.73E-06,,,,,,
235,5737.3,4.01E-06,3.83E-06,,,,,,
236,5761.72,3.99E-06,3.81E-06,,,,,,
237,5786.13,3.96E-06,3.80E-06,,,,,,
238,5810.55,3.95E-06,3.87E-06,,,,,,
239,5834.96,4.02E-06,3.92E-06,,,,,,
240,5859.38,4.10E-06,3.92E-06,,,,,,
241,5883.79,4.09E-06,3.91E-06,,,,,,
242,5908.2,4.03E-06,3.86E-06,,,,,,
243,5932.62,4.03E-06,3.82E-06,,,,,,
244,5957.03,4.04E-06,3.86E-06,,,,,,
245,5981.45,4.05E-06,3.89E-06,,,,,,
246,6005.86,4.00E-06,3.84E-06,,,,,,
247,6030.27,4.03E-06,3.81E-06,,,,,,
248,6054.69,4.10E-06,3.82E-06,,,,,,
