;Scopy version,f4beeb1,,,,,,,,
;Exported on,Friday October 11/10/2024,,,,,Average Ch. 1,,Average Ch. 2,
;Device,M2K,,,,,4.00E-06,V/sqrt(Hz),3.89E-06,V/sqrt(Hz)
;Nr of samples,4096,,,,,,,,
;Sample rate,0,,,,,,,,
;Tool,Spectrum Analyzer,,,,,,,,
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,,,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz),,,,,,
463,11303.7,3.97E-06,3.92E-06,,,,,,
464,11328.1,3.99E-06,3.92E-06,,,,,,
465,11352.5,4.04E-06,3.84E-06,,,,,,
466,11377,4.04E-06,3.78E-06,,,,,,
467,11401.4,3.99E-06,3.80E-06,,,,,,
468,11425.8,3.99E-06,3.80E-06,,,,,,
469,11450.2,3.97E-06,3.80E-06,,,,,,
470,11474.6,4.01E-06,3.81E-06,,,,,,
471,11499,4.03E-06,3.85E-06,,,,,,
472,11523.4,4.02E-06,3.89E-06,,,,,,
473,11547.9,4.04E-06,3.88E-06,,,,,,
474,11572.3,4.11E-06,3.85E-06,,,,,,
475,11596.7,4.09E-06,3.84E-06,,,,,,
476,11621.1,4.04E-06,3.95E-06,,,,,,
477,11645.5,4.06E-06,3.96E-06,,,,,,
478,11669.9,4.04E-06,3.89E-06,,,,,,
479,11694.3,3.97E-06,3.94E-06,,,,,,
480,11718.8,3.99E-06,3.90E-06,,,,,,
481,11743.2,4.02E-06,3.89E-06,,,,,,
482,11767.6,4.08E-06,3.99E-06,,,,,,
483,11792,4.07E-06,3.97E-06,,,,,,
484,11816.4,4.01E-06,3.97E-06,,,,,,
485,11840.8,4.01E-06,4.02E-06,,,,,,
486,11865.2,3.95E-06,3.93E-06,,,,,,
487,11889.6,3.92E-06,3.85E-06,,,,,,
488,11914.1,3.99E-06,3.84E-06,,,,,,
489,11938.5,3.99E-06,3.83E-06,,,,,,
490,11962.9,3.98E-06,3.92E-06,,,,,,
491,11987.3,4.01E-06,4.00E-06,,,,,,
492,12011.7,3.99E-06,3.96E-06,,,,,,
493,12036.1,3.92E-06,3.86E-06,,,,,,
494,12060.5,3.93E-06,3.78E-06,,,,,,
495,12085,3.99E-06,3.75E-06,,,,,,
496,12109.4,4.00E-06,3.79E-06,,,,,,
497,12133.8,3.99E-06,3.87E-06,,,,,,
498,12158.2,4.03E-06,3.91E-06,,,,,,
499,12182.6,4.02E-06,3.93E-06,,,,,,
500,12207,3.98E-06,3.92E-06,,,,,,
501,12231.4,4.00E-06,3.82E-06,,,,,,
502,12255.9,3.98E-06,3.79E-06,,,,,,
503,12280.3,3.98E-06,3.87E-06,,,,,,
504,12304.7,4.05E-06,3.90E-06,,,,,,
505,12329.1,4.08E-06,3.98E-06,,,,,,
506,12353.5,4.03E-06,3.98E-06,,,,,,
507,12377.9,3.87E-06,3.97E-06,,,,,,
508,12402.3,3.78E-06,3.95E-06,,,,,,
509,12426.8,3.88E-06,3.89E-06,,,,,,
510,12451.2,3.95E-06,3.82E-06,,,,,,
511,12475.6,3.95E-06,3.84E-06,,,,,,
512,12500,3.97E-06,3.88E-06,,,,,,
513,12524.4,3.94E-06,3.96E-06,,,,,,
514,12548.8,3.97E-06,3.97E-06,,,,,,
515,12573.2,3.99E-06,3.90E-06,,,,,,
516,12597.7,3.97E-06,3.88E-06,,,,,,
517,12622.1,4.00E-06,3.87E-06,,,,,,
518,12646.5,4.03E-06,3.90E-06,,,,,,
519,12670.9,4.04E-06,3.96E-06,,,,,,
520,12695.3,4.09E-06,3.97E-06,,,,,,
521,12719.7,4.16E-06,3.93E-06,,,,,,
522,12744.1,4.17E-06,3.90E-06,,,,,,
523,12768.6,4.15E-06,3.93E-06,,,,,,
524,12793,4.04E-06,3.92E-06,,,,,,
525,12817.4,3.93E-06,3.98E-06,,,,,,
526,12841.8,3.92E-06,3.94E-06,,,,,,
527,12866.2,3.99E-06,3.94E-06,,,,,,
528,12890.6,4.06E-06,4.01E-06,,,,,,
529,12915,4.08E-06,4.05E-06,,,,,,
530,12939.5,4.09E-06,4.01E-06,,,,,,
531,12963.9,4.02E-06,3.93E-06,,,,,,
532,12988.3,3.98E-06,3.87E-06,,,,,,
533,13012.7,3.96E-06,3.93E-06,,,,,,
534,13037.1,3.96E-06,3.94E-06,,,,,,
535,13061.5,4.01E-06,3.87E-06,,,,,,
536,13085.9,3.94E-06,3.91E-06,,,,,,
537,13110.4,3.93E-06,4.00E-06,,,,,,
538,13134.8,4.00E-06,4.01E-06,,,,,,
539,13159.2,4.05E-06,3.96E-06,,,,,,
540,13183.6,4.09E-06,3.94E-06,,,,,,
541,13208,4.08E-06,3.91E-06,,,,,,
542,13232.4,4.01E-06,3.86E-06,,,,,,
543,13256.8,3.97E-06,3.86E-06,,,,,,
544,13281.3,4.03E-06,3.87E-06,,,,,,
545,13305.7,4.10E-06,3.85E-06,,,,,,
546,13330.1,4.10E-06,3.82E-06,,,,,,
547,13354.5,3.97E-06,3.91E-06,,,,,,
548,13378.9,3.94E-06,3.98E-06,,,,,,
549,13403.3,4.02E-06,3.97E-06,,,,,,
550,13427.7,4.07E-06,3.92E-06,,,,,,
551,13452.1,4.05E-06,3.85E-06,,,,,,
552,13476.6,4.04E-06,3.80E-06,,,,,,
553,13501,4.10E-06,3.84E-06,,,,,,
554,13525.4,4.09E-06,3.91E-06,,,,,,
555,13549.8,4.00E-06,3.95E-06,,,,,,
556,13574.2,3.95E-06,3.90E-06,,,,,,
557,13598.6,4.03E-06,3.86E-06,,,,,,
558,13623,4.12E-06,3.86E-06,,,,,,
559,13647.5,4.16E-06,3.86E-06,,,,,,
560,13671.9,4.13E-06,3.89E-06,,,,,,
561,13696.3,4.00E-06,3.93E-06,,,,,,
562,13720.7,3.92E-06,3.89E-06,,,,,,
563,13745.1,4.00E-06,3.88E-06,,,,,,
564,13769.5,4.02E-06,3.85E-06,,,,,,
565,13793.9,4.00E-06,3.85E-06,,,,,,
566,13818.4,4.04E-06,3.82E-06,,,,,,
567,13842.8,4.02E-06,3.86E-06,,,,,,
568,13867.2,3.95E-06,3.94E-06,,,,,,
569,13891.6,3.89E-06,3.96E-06,,,,,,
570,13916,3.92E-06,3.93E-06,,,,,,
571,13940.4,3.98E-06,3.91E-06,,,,,,
572,13964.8,4.07E-06,3.85E-06,,,,,,
573,13989.3,4.09E-06,3.81E-06,,,,,,
574,14013.7,4.06E-06,3.87E-06,,,,,,
575,14038.1,3.97E-06,3.98E-06,,,,,,
576,14062.5,3.89E-06,3.99E-06,,,,,,
577,14086.9,3.93E-06,3.95E-06,,,,,,
578,14111.3,4.03E-06,3.95E-06,,,,,,
579,14135.7,4.11E-06,3.87E-06,,,,,,
580,14160.2,4.13E-06,3.75E-06,,,,,,
581,14184.6,4.10E-06,3.68E-06,,,,,,
582,14209,4.11E-06,3.75E-06,,,,,,
583,14233.4,4.08E-06,3.83E-06,,,,,,
584,14257.8,4.05E-06,3.84E-06,,,,,,
585,14282.2,4.01E-06,3.84E-06,,,,,,
586,14306.6,3.95E-06,3.86E-06,,,,,,
587,14331.1,3.92E-06,3.91E-06,,,,,,
588,14355.5,3.87E-06,3.89E-06,,,,,,
589,14379.9,3.93E-06,3.88E-06,,,,,,
590,14404.3,4.02E-06,3.89E-06,,,,,,
591,14428.7,4.05E-06,3.91E-06,,,,,,
592,14453.1,4.11E-06,3.94E-06,,,,,,
593,14477.5,4.00E-06,3.89E-06,,,,,,
594,14502,3.93E-06,3.90E-06,,,,,,
595,14526.4,4.01E-06,3.93E-06,,,,,,
596,14550.8,4.10E-06,3.95E-06,,,,,,
597,14575.2,4.03E-06,3.93E-06,,,,,,
598,14599.6,4.02E-06,3.88E-06,,,,,,
599,14624,4.02E-06,3.80E-06,,,,,,
600,14648.4,4.01E-06,3.77E-06,,,,,,
601,14672.9,4.04E-06,3.76E-06,,,,,,
602,14697.3,4.06E-06,3.86E-06,,,,,,
603,14721.7,4.09E-06,3.95E-06,,,,,,
604,14746.1,4.13E-06,4.01E-06,,,,,,
605,14770.5,4.04E-06,4.05E-06,,,,,,
606,14794.9,3.99E-06,3.99E-06,,,,,,
607,14819.3,4.00E-06,3.90E-06,,,,,,
608,14843.8,3.97E-06,3.85E-06,,,,,,
609,14868.2,4.04E-06,3.86E-06,,,,,,
610,14892.6,4.02E-06,3.85E-06,,,,,,
611,14917,3.96E-06,3.84E-06,,,,,,
612,14941.4,4.01E-06,3.80E-06,,,,,,
613,14965.8,4.01E-06,3.74E-06,,,,,,
614,14990.2,4.04E-06,3.78E-06,,,,,,
615,15014.6,4.11E-06,3.88E-06,,,,,,
616,15039.1,4.08E-06,3.92E-06,,,,,,
617,15063.5,3.98E-06,3.91E-06,,,,,,
618,15087.9,3.95E-06,3.86E-06,,,,,,
619,15112.3,3.92E-06,3.86E-06,,,,,,
620,15136.7,3.97E-06,3.89E-06,,,,,,
621,15161.1,4.01E-06,3.88E-06,,,,,,
622,15185.5,3.94E-06,3.77E-06,,,,,,
623,15210,3.95E-06,3.72E-06,,,,,,
624,15234.4,4.03E-06,3.88E-06,,,,,,
625,15258.8,3.99E-06,3.98E-06,,,,,,
626,15283.2,3.92E-06,3.90E-06,,,,,,
627,15307.6,3.90E-06,3.84E-06,,,,,,
628,15332,4.03E-06,3.81E-06,,,,,,
629,15356.4,4.14E-06,3.76E-06,,,,,,
630,15380.9,4.10E-06,3.81E-06,,,,,,
631,15405.3,4.04E-06,3.86E-06,,,,,,
632,15429.7,3.99E-06,3.88E-06,,,,,,
633,15454.1,3.96E-06,3.85E-06,,,,,,
634,15478.5,3.95E-06,3.92E-06,,,,,,
635,15502.9,3.89E-06,3.93E-06,,,,,,
636,15527.3,3.93E-06,3.89E-06,,,,,,
637,15551.8,4.02E-06,3.89E-06,,,,,,
638,15576.2,4.00E-06,3.92E-06,,,,,,
639,15600.6,3.90E-06,3.95E-06,,,,,,
640,15625,3.93E-06,3.93E-06,,,,,,
641,15649.4,4.04E-06,3.86E-06,,,,,,
642,15673.8,4.14E-06,3.91E-06,,,,,,
643,15698.2,4.12E-06,3.89E-06,,,,,,
644,15722.7,4.08E-06,3.83E-06,,,,,,
645,15747.1,4.12E-06,3.85E-06,,,,,,
646,15771.5,4.09E-06,3.89E-06,,,,,,
647,15795.9,4.08E-06,3.89E-06,,,,,,
648,15820.3,4.06E-06,3.91E-06,,,,,,
649,15844.7,4.00E-06,3.92E-06,,,,,,
650,15869.1,3.93E-06,3.88E-06,,,,,,
651,15893.6,3.89E-06,3.83E-06,,,,,,
652,15918,3.98E-06,3.85E-06,,,,,,
653,15942.4,3.98E-06,3.95E-06,,,,,,
654,15966.8,4.00E-06,4.00E-06,,,,,,
655,15991.2,4.05E-06,3.96E-06,,,,,,
656,16015.6,4.08E-06,3.94E-06,,,,,,
657,16040,4.12E-06,3.91E-06,,,,,,
658,16064.5,4.09E-06,3.83E-06,,,,,,
659,16088.9,4.01E-06,3.80E-06,,,,,,
660,16113.3,3.95E-06,3.87E-06,,,,,,
661,16137.7,4.07E-06,3.90E-06,,,,,,
662,16162.1,4.19E-06,3.83E-06,,,,,,
663,16186.5,4.16E-06,3.82E-06,,,,,,
664,16210.9,4.11E-06,3.86E-06,,,,,,
665,16235.4,4.06E-06,3.89E-06,,,,,,
666,16259.8,4.07E-06,3.88E-06,,,,,,
667,16284.2,4.04E-06,3.86E-06,,,,,,
668,16308.6,3.96E-06,3.88E-06,,,,,,
669,16333,3.95E-06,3.86E-06,,,,,,
670,16357.4,3.96E-06,3.94E-06,,,,,,
671,16381.8,3.98E-06,4.00E-06,,,,,,
672,16406.3,4.03E-06,3.91E-06,,,,,,
673,16430.7,3.99E-06,3.93E-06,,,,,,
674,16455.1,3.90E-06,4.01E-06,,,,,,
675,16479.5,3.92E-06,3.96E-06,,,,,,
676,16503.9,4.03E-06,3.84E-06,,,,,,
677,16528.3,4.05E-06,3.80E-06,,,,,,
678,16552.7,4.01E-06,3.86E-06,,,,,,
679,16577.1,4.00E-06,3.89E-06,,,,,,
680,16601.6,3.91E-06,3.87E-06,,,,,,
681,16626,3.96E-06,3.81E-06,,,,,,
682,16650.4,4.08E-06,3.80E-06,,,,,,
683,16674.8,4.06E-06,3.81E-06,,,,,,
684,16699.2,4.03E-06,3.78E-06,,,,,,
685,16723.6,4.03E-06,3.82E-06,,,,,,
686,16748,3.98E-06,3.87E-06,,,,,,
687,16772.5,3.94E-06,3.86E-06,,,,,,
688,16796.9,3.95E-06,3.90E-06,,,,,,
689,16821.3,3.93E-06,3.89E-06,,,,,,
690,16845.7,3.90E-06,3.85E-06,,,,,,
691,16870.1,3.93E-06,3.88E-06,,,,,,
692,16894.5,3.99E-06,3.94E-06,,,,,,
693,16918.9,3.99E-06,3.88E-06,,,,,,
694,16943.4,3.98E-06,3.85E-06,,,,,,
695,16967.8,3.95E-06,3.93E-06,,,,,,
696,16992.2,3.97E-06,3.95E-06,,,,,,
697,17016.6,3.99E-06,3.94E-06,,,,,,
698,17041,3.91E-06,3.89E-06,,,,,,
699,17065.4,3.86E-06,3.92E-06,,,,,,
700,17089.8,3.96E-06,3.99E-06,,,,,,
701,17114.3,3.90E-06,3.93E-06,,,,,,
702,17138.7,3.83E-06,3.84E-06,,,,,,
703,17163.1,3.87E-06,3.86E-06,,,,,,
704,17187.5,3.93E-06,3.86E-06,,,,,,
705,17211.9,3.96E-06,3.83E-06,,,,,,
706,17236.3,3.97E-06,3.87E-06,,,,,,
707,17260.7,3.98E-06,3.87E-06,,,,,,
708,17285.2,3.94E-06,3.83E-06,,,,,,
709,17309.6,3.93E-06,3.82E-06,,,,,,
710,17334,3.92E-06,3.88E-06,,,,,,
711,17358.4,3.94E-06,3.91E-06,,,,,,
712,17382.8,4.00E-06,3.85E-06,,,,,,
713,17407.2,4.07E-06,3.81E-06,,,,,,
714,17431.6,4.16E-06,3.85E-06,,,,,,
715,17456.1,4.13E-06,3.87E-06,,,,,,
716,17480.5,4.06E-06,3.86E-06,,,,,,
717,17504.9,4.02E-06,3.96E-06,,,,,,
718,17529.3,4.08E-06,4.01E-06,,,,,,
719,17553.7,4.12E-06,3.91E-06,,,,,,
720,17578.1,4.09E-06,3.83E-06,,,,,,
721,17602.5,4.00E-06,3.89E-06,,,,,,
722,17627,3.95E-06,3.93E-06,,,,,,
723,17651.4,3.95E-06,3.86E-06,,,,,,
724,17675.8,3.97E-06,3.87E-06,,,,,,
725,17700.2,4.04E-06,3.95E-06,,,,,,
726,17724.6,4.04E-06,4.01E-06,,,,,,
727,17749,4.00E-06,4.00E-06,,,,,,
728,17773.4,4.01E-06,3.89E-06,,,,,,
729,17797.9,4.07E-06,3.88E-06,,,,,,
730,17822.3,4.11E-06,3.88E-06,,,,,,
731,17846.7,4.01E-06,3.86E-06,,,,,,
732,17871.1,3.95E-06,3.88E-06,,,,,,
733,17895.5,3.90E-06,3.93E-06,,,,,,
734,17919.9,3.89E-06,3.93E-06,,,,,,
735,17944.3,3.94E-06,3.86E-06,,,,,,
736,17968.8,3.95E-06,3.85E-06,,,,,,
737,17993.2,3.97E-06,3.84E-06,,,,,,
738,18017.6,4.04E-06,3.84E-06,,,,,,
739,18042,4.02E-06,3.81E-06,,,,,,
740,18066.4,3.93E-06,3.82E-06,,,,,,
741,18090.8,4.00E-06,3.87E-06,,,,,,
742,18115.2,4.05E-06,3.91E-06,,,,,,
743,18139.6,4.00E-06,3.92E-06,,,,,,
744,18164.1,3.93E-06,3.85E-06,,,,,,
745,18188.5,3.94E-06,3.83E-06,,,,,,
746,18212.9,3.92E-06,3.90E-06,,,,,,
747,18237.3,3.91E-06,3.92E-06,,,,,,
748,18261.7,3.99E-06,3.89E-06,,,,,,
749,18286.1,4.02E-06,3.84E-06,,,,,,
750,18310.5,4.01E-06,3.84E-06,,,,,,
751,18335,3.98E-06,3.87E-06,,,,,,
752,18359.4,3.99E-06,3.88E-06,,,,,,
753,18383.8,4.05E-06,3.89E-06,,,,,,
754,18408.2,4.04E-06,3.87E-06,,,,,,
755,18432.6,3.98E-06,3.85E-06,,,,,,
756,18457,3.96E-06,3.93E-06,,,,,,
757,18481.4,4.01E-06,3.91E-06,,,,,,
758,18505.9,4.04E-06,3.85E-06,,,,,,
759,18530.3,4.00E-06,3.87E-06,,,,,,
760,18554.7,3.99E-06,3.85E-06,,,,,,
761,18579.1,4.05E-06,3.80E-06,,,,,,
762,18603.5,4.07E-06,3.80E-06,,,,,,
763,18627.9,4.01E-06,3.83E-06,,,,,,
764,18652.3,3.94E-06,3.90E-06,,,,,,
765,18676.8,3.89E-06,3.94E-06,,,,,,
766,18701.2,3.90E-06,3.88E-06,,,,,,
767,18725.6,3.92E-06,3.89E-06,,,,,,
768,18750,3.95E-06,3.89E-06,,,,,,
769,18774.4,3.98E-06,3.88E-06,,,,,,
770,18798.8,4.09E-06,3.89E-06,,,,,,
771,18823.2,4.15E-06,3.96E-06,,,,,,
772,18847.7,4.00E-06,3.95E-06,,,,,,
773,18872.1,3.88E-06,3.86E-06,,,,,,
774,18896.5,3.88E-06,3.90E-06,,,,,,
775,18920.9,3.92E-06,3.98E-06,,,,,,
776,18945.3,3.93E-06,3.93E-06,,,,,,
777,18969.7,3.96E-06,3.79E-06,,,,,,
778,18994.1,4.05E-06,3.78E-06,,,,,,
779,19018.6,4.03E-06,3.80E-06,,,,,,
780,19043,4.00E-06,3.83E-06,,,,,,
781,19067.4,3.98E-06,3.88E-06,,,,,,
782,19091.8,3.97E-06,3.85E-06,,,,,,
783,19116.2,3.95E-06,3.88E-06,,,,,,
784,19140.6,3.96E-06,3.91E-06,,,,,,
785,19165,3.94E-06,3.89E-06,,,,,,
786,19189.5,3.94E-06,3.90E-06,,,,,,
787,19213.9,3.96E-06,3.88E-06,,,,,,
788,19238.3,3.97E-06,3.81E-06,,,,,,
789,19262.7,4.02E-06,3.82E-06,,,,,,
790,19287.1,4.00E-06,3.92E-06,,,,,,
791,19311.5,3.93E-06,3.94E-06,,,,,,
792,19335.9,3.93E-06,3.97E-06,,,,,,
793,19360.4,3.93E-06,3.96E-06,,,,,,
794,19384.8,3.97E-06,3.92E-06,,,,,,
795,19409.2,4.08E-06,3.95E-06,,,,,,
796,19433.6,4.15E-06,3.93E-06,,,,,,
797,19458,4.05E-06,3.82E-06,,,,,,
798,19482.4,3.93E-06,3.81E-06,,,,,,
799,19506.8,3.88E-06,3.92E-06,,,,,,
800,19531.3,3.95E-06,3.98E-06,,,,,,
801,19555.7,4.04E-06,4.01E-06,,,,,,
802,19580.1,4.01E-06,3.97E-06,,,,,,
803,19604.5,4.08E-06,3.94E-06,,,,,,
804,19628.9,4.14E-06,3.93E-06,,,,,,
805,19653.3,4.08E-06,3.94E-06,,,,,,
806,19677.7,4.00E-06,3.95E-06,,,,,,
807,19702.1,4.00E-06,3.93E-06,,,,,,
808,19726.6,4.04E-06,3.89E-06,,,,,,
809,19751,4.04E-06,3.82E-06,,,,,,
810,19775.4,4.03E-06,3.83E-06,,,,,,
811,19799.8,4.03E-06,3.92E-06,,,,,,
812,19824.2,3.96E-06,3.91E-06,,,,,,
813,19848.6,3.94E-06,3.82E-06,,,,,,
814,19873,3.96E-06,3.83E-06,,,,,,
815,19897.5,4.04E-06,3.88E-06,,,,,,
816,19921.9,4.04E-06,3.88E-06,,,,,,
817,19946.3,3.94E-06,3.97E-06,,,,,,
818,19970.7,3.91E-06,3.93E-06,,,,,,
819,19995.1,3.94E-06,3.84E-06,,,,,,
820,20019.5,4.02E-06,3.81E-06,,,,,,
821,20043.9,4.07E-06,3.90E-06,,,,,,
822,20068.4,3.96E-06,3.96E-06,,,,,,
823,20092.8,3.90E-06,3.94E-06,,,,,,
824,20117.2,4.02E-06,3.93E-06,,,,,,
825,20141.6,4.10E-06,3.93E-06,,,,,,
826,20166,4.03E-06,3.98E-06,,,,,,
827,20190.4,3.93E-06,3.92E-06,,,,,,
828,20214.8,3.87E-06,3.88E-06,,,,,,
829,20239.3,3.95E-06,3.86E-06,,,,,,
830,20263.7,4.05E-06,3.80E-06,,,,,,
831,20288.1,4.03E-06,3.79E-06,,,,,,
832,20312.5,3.99E-06,3.85E-06,,,,,,
833,20336.9,4.04E-06,3.93E-06,,,,,,
834,20361.3,4.05E-06,3.94E-06,,,,,,
835,20385.7,3.96E-06,3.90E-06,,,,,,
836,20410.2,3.88E-06,3.85E-06,,,,,,
837,20434.6,3.92E-06,3.88E-06,,,,,,
838,20459,3.99E-06,3.91E-06,,,,,,
839,20483.4,4.02E-06,3.91E-06,,,,,,
840,20507.8,4.00E-06,3.89E-06,,,,,,
841,20532.2,3.95E-06,3.91E-06,,,,,,
842,20556.6,3.97E-06,3.95E-06,,,,,,
843,20581.1,4.02E-06,3.91E-06,,,,,,
844,20605.5,4.03E-06,3.95E-06,,,,,,
845,20629.9,3.97E-06,3.94E-06,,,,,,
846,20654.3,3.95E-06,3.83E-06,,,,,,
847,20678.7,3.95E-06,3.83E-06,,,,,,
848,20703.1,3.97E-06,3.91E-06,,,,,,
849,20727.5,4.01E-06,3.93E-06,,,,,,
850,20752,4.00E-06,3.90E-06,,,,,,
851,20776.4,4.01E-06,3.87E-06,,,,,,
852,20800.8,4.00E-06,3.88E-06,,,,,,
853,20825.2,3.99E-06,3.90E-06,,,,,,
854,20849.6,3.99E-06,3.88E-06,,,,,,
855,20874,3.98E-06,3.85E-06,,,,,,
856,20898.4,3.95E-06,3.94E-06,,,,,,
857,20922.9,3.89E-06,3.96E-06,,,,,,
858,20947.3,3.90E-06,3.89E-06,,,,,,
859,20971.7,3.91E-06,3.92E-06,,,,,,
860,20996.1,3.84E-06,3.93E-06,,,,,,
861,21020.5,3.94E-06,3.92E-06,,,,,,
862,21044.9,4.05E-06,3.92E-06,,,,,,
863,21069.3,4.07E-06,3.86E-06,,,,,,
864,21093.8,4.07E-06,3.81E-06,,,,,,
865,21118.2,4.03E-06,3.85E-06,,,,,,
866,21142.6,4.06E-06,3.85E-06,,,,,,
867,21167,4.03E-06,3.87E-06,,,,,,
868,21191.4,3.96E-06,3.89E-06,,,,,,
869,21215.8,4.04E-06,3.85E-06,,,,,,
870,21240.2,4.09E-06,3.86E-06,,,,,,
871,21264.6,4.10E-06,3.88E-06,,,,,,
872,21289.1,4.14E-06,3.89E-06,,,,,,
873,21313.5,4.12E-06,3.94E-06,,,,,,
874,21337.9,4.06E-06,4.00E-06,,,,,,
875,21362.3,3.94E-06,4.02E-06,,,,,,
876,21386.7,3.91E-06,4.00E-06,,,,,,
877,21411.1,4.04E-06,4.05E-06,,,,,,
878,21435.5,4.06E-06,4.02E-06,,,,,,
879,21460,3.98E-06,3.88E-06,,,,,,
880,21484.4,3.99E-06,3.81E-06,,,,,,
881,21508.8,3.97E-06,3.88E-06,,,,,,
882,21533.2,3.96E-06,3.91E-06,,,,,,
883,21557.6,3.96E-06,3.86E-06,,,,,,
884,21582,3.96E-06,3.91E-06,,,,,,
885,21606.4,4.00E-06,3.98E-06,,,,,,
886,21630.9,4.07E-06,3.97E-06,,,,,,
887,21655.3,4.15E-06,3.92E-06,,,,,,
888,21679.7,4.14E-06,3.92E-06,,,,,,
889,21704.1,4.01E-06,3.90E-06,,,,,,
890,21728.5,3.96E-06,3.88E-06,,,,,,
891,21752.9,4.00E-06,3.92E-06,,,,,,
892,21777.3,3.98E-06,3.91E-06,,,,,,
893,21801.8,3.94E-06,3.88E-06,,,,,,
894,21826.2,4.01E-06,3.90E-06,,,,,,
895,21850.6,4.03E-06,3.94E-06,,,,,,
896,21875,4.01E-06,3.85E-06,,,,,,
897,21899.4,4.04E-06,3.88E-06,,,,,,
898,21923.8,4.01E-06,3.90E-06,,,,,,
899,21948.2,3.95E-06,3.85E-06,,,,,,
900,21972.7,3.97E-06,3.82E-06,,,,,,
901,21997.1,3.97E-06,3.90E-06,,,,,,
902,22021.5,3.94E-06,3.89E-06,,,,,,
903,22045.9,3.96E-06,3.86E-06,,,,,,
904,22070.3,4.01E-06,3.98E-06,,,,,,
905,22094.7,4.02E-06,4.02E-06,,,,,,
906,22119.1,4.04E-06,3.98E-06,,,,,,
907,22143.6,4.11E-06,3.97E-06,,,,,,
908,22168,4.09E-06,3.98E-06,,,,,,
909,22192.4,4.02E-06,4.01E-06,,,,,,
910,22216.8,4.07E-06,3.94E-06,,,,,,
911,22241.2,4.14E-06,3.92E-06,,,,,,
912,22265.6,4.12E-06,3.91E-06,,,,,,
913,22290,4.06E-06,3.98E-06,,,,,,
914,22314.5,4.06E-06,4.01E-06,,,,,,
915,22338.9,4.01E-06,3.95E-06,,,,,,
916,22363.3,3.93E-06,3.88E-06,,,,,,
917,22387.7,3.93E-06,3.88E-06,,,,,,
918,22412.1,3.96E-06,3.91E-06,,,,,,
919,22436.5,3.97E-06,3.87E-06,,,,,,
920,22460.9,4.01E-06,3.84E-06,,,,,,
921,22485.4,4.03E-06,3.90E-06,,,,,,
922,22509.8,4.04E-06,3.92E-06,,,,,,
923,22534.2,4.04E-06,3.90E-06,,,,,,
924,22558.6,4.02E-06,3.90E-06,,,,,,
925,22583,4.03E-06,3.88E-06,,,,,,
926,22607.4,4.01E-06,3.89E-06,,,,,,
927,22631.8,4.06E-06,3.90E-06,,,,,,
928,22656.3,4.05E-06,3.90E-06,,,,,,
929,22680.7,3.97E-06,3.89E-06,,,,,,
930,22705.1,3.94E-06,3.81E-06,,,,,,
931,22729.5,3.94E-06,3.77E-06,,,,,,
932,22753.9,3.98E-06,3.91E-06,,,,,,
933,22778.3,3.99E-06,3.93E-06,,,,,,
934,22802.7,4.01E-06,3.83E-06,,,,,,
935,22827.1,4.00E-06,3.93E-06,,,,,,
936,22851.6,3.95E-06,3.97E-06,,,,,,
937,22876,4.01E-06,3.90E-06,,,,,,
938,22900.4,4.00E-06,3.86E-06,,,,,,
939,22924.8,4.00E-06,3.86E-06,,,,,,
940,22949.2,4.07E-06,3.92E-06,,,,,,
941,22973.6,4.03E-06,3.93E-06,,,,,,
942,22998,3.98E-06,3.93E-06,,,,,,
943,23022.5,4.03E-06,3.95E-06,,,,,,
944,23046.9,4.01E-06,3.94E-06,,,,,,
945,23071.3,3.88E-06,3.85E-06,,,,,,
946,23095.7,3.91E-06,3.81E-06,,,,,,
947,23120.1,3.97E-06,3.85E-06,,,,,,
948,23144.5,3.88E-06,3.86E-06,,,,,,
949,23168.9,3.93E-06,3.87E-06,,,,,,
950,23193.4,4.02E-06,3.88E-06,,,,,,
951,23217.8,3.96E-06,3.90E-06,,,,,,
952,23242.2,3.89E-06,3.91E-06,,,,,,
953,23266.6,3.95E-06,3.89E-06,,,,,,
954,23291,4.04E-06,3.88E-06,,,,,,
955,23315.4,4.06E-06,3.89E-06,,,,,,
956,23339.8,4.04E-06,3.96E-06,,,,,,
957,23364.3,4.02E-06,3.97E-06,,,,,,
958,23388.7,4.03E-06,3.91E-06,,,,,,
959,23413.1,4.07E-06,3.91E-06,,,,,,
960,23437.5,4.14E-06,3.98E-06,,,,,,
961,23461.9,4.16E-06,3.96E-06,,,,,,
962,23486.3,4.12E-06,3.91E-06,,,,,,
963,23510.7,4.04E-06,3.88E-06,,,,,,
964,23535.2,4.07E-06,3.85E-06,,,,,,
965,23559.6,4.07E-06,3.84E-06,,,,,,
966,23584,4.07E-06,3.91E-06,,,,,,
967,23608.4,4.08E-06,3.97E-06,,,,,,
968,23632.8,4.02E-06,3.94E-06,,,,,,
969,23657.2,4.06E-06,3.85E-06,,,,,,
970,23681.6,4.16E-06,3.86E-06,,,,,,
971,23706.1,4.10E-06,3.85E-06,,,,,,
972,23730.5,3.99E-06,3.83E-06,,,,,,
973,23754.9,3.99E-06,3.86E-06,,,,,,
974,23779.3,4.01E-06,3.90E-06,,,,,,
