Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,6.63854e-05,0.00071346
1,24.4141,6.63854e-05,0.00071346
2,48.8281,2.04816e-05,0.000206467
3,73.2422,7.05819e-06,1.75891e-05
4,97.6563,6.64075e-06,4.39054e-06
5,122.07,6.40749e-06,4.29748e-06
6,146.484,6.35565e-06,4.28714e-06
7,170.898,6.41617e-06,4.24434e-06
8,195.313,6.39258e-06,4.22294e-06
9,219.727,6.37143e-06,4.19704e-06
10,244.141,6.35338e-06,4.19523e-06
11,268.555,6.44047e-06,4.19012e-06
12,292.969,6.51774e-06,4.15118e-06
13,317.383,6.42853e-06,4.00101e-06
14,341.797,6.4374e-06,4.02758e-06
15,366.211,6.55047e-06,4.23588e-06
16,390.625,6.45854e-06,4.30076e-06
17,415.039,6.29728e-06,4.19238e-06
18,439.453,6.34808e-06,4.27519e-06
19,463.867,6.4494e-06,4.38972e-06
20,488.281,6.41555e-06,4.23821e-06
21,512.695,6.42195e-06,4.09179e-06
22,537.109,6.3109e-06,4.09031e-06
23,561.523,6.32222e-06,4.12721e-06
24,585.938,6.53356e-06,4.13505e-06
25,610.352,6.50121e-06,4.09779e-06
26,634.766,6.28654e-06,4.07503e-06
27,659.18,6.20704e-06,4.14625e-06
28,683.594,6.21539e-06,4.10605e-06
29,708.008,6.33512e-06,4.1589e-06
30,732.422,6.52007e-06,4.26635e-06
31,756.836,6.49912e-06,4.23933e-06
32,781.25,6.51747e-06,4.19435e-06
33,805.664,6.56981e-06,4.17493e-06
34,830.078,6.46563e-06,4.16966e-06
35,854.492,6.5295e-06,4.1172e-06
36,878.906,6.47754e-06,4.10751e-06
37,903.32,6.37796e-06,4.268e-06
38,927.734,6.46014e-06,4.38268e-06
39,952.148,6.5238e-06,4.34638e-06
40,976.563,6.57276e-06,4.31497e-06
41,1000.98,6.64056e-06,4.27081e-06
42,1025.39,6.56778e-06,4.16337e-06
43,1049.8,6.43423e-06,4.13419e-06
44,1074.22,6.2801e-06,4.13487e-06
45,1098.63,6.29851e-06,4.171e-06
46,1123.05,6.38278e-06,4.24698e-06
47,1147.46,6.31682e-06,4.23494e-06
48,1171.88,6.34359e-06,4.15413e-06
49,1196.29,6.41268e-06,4.10459e-06
