Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00809174,0.214099
1,24.4141,0.00809174,0.214099
2,48.8281,0.00234469,0.0619878
3,73.2422,0.000202032,0.00517793
4,97.6563,0.0000470105,0.000573049
5,122.07,0.0000464875,0.000571569
6,146.484,0.0000465145,0.000571963
7,170.898,0.0000464261,0.000584606
8,195.313,0.0000453608,0.000585045
9,219.727,0.0000447574,0.000575339
10,244.141,0.0000455104,0.0005755
11,268.555,0.0000457231,0.000567235
12,292.969,0.0000452032,0.000561758
13,317.383,0.0000447228,0.000571773
14,341.797,0.0000446649,0.000566595
15,366.211,0.0000439787,0.000554591
16,390.625,0.0000443998,0.000559113
17,415.039,0.0000460207,0.000578901
18,439.453,0.000046023,0.000597761
19,463.867,0.000046432,0.000589304
20,488.281,0.0000455052,0.000564945
21,512.695,0.0000446084,0.000564725
22,537.109,0.0000448127,0.00056927
23,561.523,0.0000443286,0.00057174
24,585.938,0.000043834,0.00057225
25,610.352,0.0000441289,0.000561073
26,634.766,0.0000442529,0.000561095
27,659.18,0.0000440557,0.000560898
28,683.594,0.0000447472,0.000558322
29,708.008,0.0000462773,0.000567736
30,732.422,0.0000472019,0.00057967
31,756.836,0.000046791,0.000586282
32,781.25,0.0000466421,0.000592203
33,805.664,0.0000455635,0.000586984
34,830.078,0.0000454028,0.000574278
35,854.492,0.0000455376,0.000570227
36,878.906,0.0000442242,0.000562732
37,903.32,0.0000440322,0.000561887
38,927.734,0.0000444534,0.00058077
39,952.148,0.0000444729,0.00059178
40,976.563,0.0000446298,0.000587696
41,1000.98,0.0000451597,0.000582937
42,1025.39,0.0000449847,0.000586928
43,1049.8,0.0000447919,0.000586728
44,1074.22,0.0000449916,0.000571259
45,1098.63,0.0000457142,0.000560824
46,1123.05,0.0000465113,0.000566827
47,1147.46,0.0000456691,0.000570215
48,1171.88,0.0000442232,0.000570228
49,1196.29,0.0000439318,0.000574
50,1220.7,0.000044674,0.000579704
51,1245.12,0.0000452476,0.000579003
52,1269.53,0.0000456298,0.000573625
53,1293.95,0.0000460068,0.000563851
54,1318.36,0.0000443527,0.000556485
55,1342.77,0.0000428304,0.000561338
56,1367.19,0.0000434828,0.00057269
57,1391.6,0.0000439973,0.000576052
58,1416.02,0.0000444212,0.000561317
59,1440.43,0.0000445875,0.000549349
60,1464.84,0.0000439112,0.000547159
61,1489.26,0.000043268,0.000553747
62,1513.67,0.0000437777,0.00056463
63,1538.09,0.0000435034,0.000572542
64,1562.5,0.0000432947,0.000575158
65,1586.91,0.0000426565,0.000570899
66,1611.33,0.0000420678,0.000584156
67,1635.74,0.0000430202,0.000582273
68,1660.16,0.0000442943,0.000579709
69,1684.57,0.0000432361,0.000572765
70,1708.98,0.0000418516,0.000573846
71,1733.4,0.0000419618,0.000601971
72,1757.81,0.0000424938,0.00060537
73,1782.23,0.0000430429,0.000585393
74,1806.64,0.0000428898,0.000576164
75,1831.05,0.0000433403,0.000573208
76,1855.47,0.0000429169,0.000570627
77,1879.88,0.0000414887,0.000567798
