Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00816559,0.0448266
1,24.4141,0.00816559,0.0448266
2,48.8281,0.00236463,0.0129698
3,73.2422,0.000203327,0.00107755
4,97.6563,0.0000469984,0.000137377
5,122.07,0.0000459596,0.000139794
6,146.484,0.0000464349,0.000140857
7,170.898,0.0000476932,0.000144547
8,195.313,0.0000465602,0.000144318
9,219.727,0.0000449769,0.000141815
10,244.141,0.0000445642,0.000142903
11,268.555,0.0000440568,0.000142536
12,292.969,0.0000440091,0.000142018
13,317.383,0.0000435488,0.000141106
14,341.797,0.0000442011,0.000137097
15,366.211,0.0000457681,0.000135083
16,390.625,0.0000460572,0.000136998
17,415.039,0.0000455486,0.000138309
18,439.453,0.000045347,0.000140691
19,463.867,0.0000441716,0.000141858
20,488.281,0.0000430573,0.00013942
21,512.695,0.000044449,0.000137477
22,537.109,0.0000467419,0.000135613
23,561.523,0.0000465298,0.000136821
24,585.938,0.0000457669,0.000137924
25,610.352,0.0000456552,0.000137698
26,634.766,0.0000443597,0.0001389
27,659.18,0.0000445153,0.000136945
28,683.594,0.0000456367,0.000136513
29,708.008,0.0000461141,0.000139524
30,732.422,0.0000465061,0.000140867
31,756.836,0.0000454521,0.000139806
32,781.25,0.0000452662,0.000139937
33,805.664,0.0000467538,0.000144369
34,830.078,0.0000476898,0.000143382
35,854.492,0.000048658,0.000137713
36,878.906,0.00005081,0.000135766
37,903.32,0.0000506272,0.000137475
38,927.734,0.0000468181,0.000140263
39,952.148,0.0000469338,0.000141165
40,976.563,0.0000481044,0.000142561
41,1000.98,0.0000464401,0.000138865
42,1025.39,0.000045821,0.000137501
43,1049.8,0.0000458114,0.000139487
44,1074.22,0.000045877,0.000138002
45,1098.63,0.0000452882,0.000137335
46,1123.05,0.000044557,0.000137736
47,1147.46,0.000043711,0.000140856
48,1171.88,0.0000433843,0.000141672
49,1196.29,0.0000441254,0.000138955
50,1220.7,0.0000446901,0.00013928
51,1245.12,0.0000445441,0.000140243
52,1269.53,0.000043836,0.000136391
53,1293.95,0.0000427069,0.00013539
54,1318.36,0.0000430803,0.000137137
55,1342.77,0.000043838,0.000138552
56,1367.19,0.0000429839,0.00013848
57,1391.6,0.0000429867,0.000137536
58,1416.02,0.0000448827,0.000139899
59,1440.43,0.0000436258,0.000142116
60,1464.84,0.0000434511,0.000142067
61,1489.26,0.0000450935,0.00014
62,1513.67,0.0000447379,0.000136326
63,1538.09,0.0000435473,0.000134236
64,1562.5,0.0000427992,0.000135291
65,1586.91,0.000042122,0.000135867
66,1611.33,0.0000421015,0.000138024
67,1635.74,0.0000421903,0.000138029
68,1660.16,0.0000435942,0.000135154
69,1684.57,0.0000441384,0.000135589
70,1708.98,0.0000425302,0.000141832
71,1733.4,0.0000429614,0.000144465
72,1757.81,0.0000434756,0.000138789
73,1782.23,0.0000423039,0.000134949
74,1806.64,0.0000411076,0.000137437
75,1831.05,0.0000416226,0.000139555
76,1855.47,0.0000424892,0.000139031
77,1879.88,0.0000426128,0.000137298
78,1904.3,0.0000417401,0.000143002
79,1928.71,0.0000427248,0.000147449
80,1953.13,0.0000433075,0.000144684
81,1977.54,0.0000423249,0.000146246
82,2001.95,0.0000424934,0.000145566
83,2026.37,0.000042879,0.000143003
84,2050.78,0.0000428908,0.000141111
85,2075.2,0.0000420985,0.000138938
86,2099.61,0.0000424739,0.000138313
87,2124.02,0.0000446596,0.000140982
88,2148.44,0.0000471928,0.000142231
89,2172.85,0.0000470646,0.000141204
90,2197.27,0.0000449867,0.000137179
91,2221.68,0.0000434455,0.00013621
92,2246.09,0.0000430984,0.000139335
93,2270.51,0.0000433037,0.000141263
94,2294.92,0.0000438881,0.000138929
95,2319.34,0.0000442781,0.000134553
96,2343.75,0.0000432403,0.000137164
97,2368.16,0.0000422199,0.000138608
98,2392.58,0.0000430654,0.00013785
99,2416.99,0.0000438378,0.00013751
100,2441.41,0.0000455532,0.000139322
101,2465.82,0.0000468893,0.000138567
102,2490.23,0.0000447885,0.00013766
103,2514.65,0.000042765,0.000138891
104,2539.06,0.0000434124,0.000141104
105,2563.48,0.0000442334,0.000141023
106,2587.89,0.0000438247,0.000139527
107,2612.3,0.0000437942,0.000139083
108,2636.72,0.0000430837,0.000137537
109,2661.13,0.0000439261,0.000140164
110,2685.55,0.0000452134,0.000141741
111,2709.96,0.0000439894,0.000142168
112,2734.38,0.0000421551,0.000142159
113,2758.79,0.0000427073,0.00014337
114,2783.2,0.0000429579,0.000142329
115,2807.62,0.0000420062,0.000138284
116,2832.03,0.0000412305,0.000138583
117,2856.45,0.000042509,0.000139316
118,2880.86,0.0000440064,0.000137248
119,2905.27,0.000044237,0.000138826
120,2929.69,0.0000431667,0.000138865
121,2954.1,0.0000411277,0.00013912
122,2978.52,0.0000414461,0.000142378
123,3002.93,0.0000422793,0.0001463
124,3027.34,0.0000430943,0.000148762
125,3051.76,0.0000436987,0.000145894
126,3076.17,0.0000429064,0.00013701
127,3100.59,0.0000421144,0.00013558
128,3125,0.0000415095,0.00014019
129,3149.41,0.0000414651,0.000140961
130,3173.83,0.0000410175,0.000137485
131,3198.24,0.0000408322,0.000136446
132,3222.66,0.0000412777,0.000138843
133,3247.07,0.0000421555,0.00013822
134,3271.48,0.000043011,0.000133724
135,3295.9,0.0000435172,0.000135423
136,3320.31,0.0000427936,0.000136165
137,3344.73,0.0000410264,0.000135372
138,3369.14,0.0000412115,0.00013983
139,3393.55,0.0000416572,0.000144491
140,3417.97,0.0000429138,0.000143091
141,3442.38,0.0000436388,0.00013897
142,3466.8,0.0000437119,0.000135908
143,3491.21,0.0000439588,0.000136224
144,3515.63,0.0000436586,0.000137089
145,3540.04,0.0000425041,0.000140795
146,3564.45,0.0000417816,0.000140076
147,3588.87,0.0000423572,0.000135985
148,3613.28,0.0000415422,0.000138927
149,3637.7,0.0000419225,0.000140731
150,3662.11,0.000042961,0.000139246
151,3686.52,0.0000416711,0.00013685
152,3710.94,0.0000414174,0.000135607
153,3735.35,0.0000425614,0.000136012
154,3759.77,0.0000423981,0.000138938
155,3784.18,0.0000407776,0.000142518
156,3808.59,0.0000405913,0.000140701
157,3833.01,0.000041998,0.000137351
158,3857.42,0.000042554,0.000137186
159,3881.84,0.0000421172,0.000137
160,3906.25,0.0000425989,0.000135377
161,3930.66,0.0000440497,0.000137266
162,3955.08,0.0000461587,0.000141047
163,3979.49,0.0000462198,0.000139099
164,4003.91,0.0000440586,0.000134887
165,4028.32,0.0000424167,0.000134741
166,4052.73,0.0000424887,0.000135317
167,4077.15,0.0000418019,0.000137328
168,4101.56,0.0000418762,0.000137748
169,4125.98,0.0000423676,0.000136362
170,4150.39,0.0000420615,0.000134579
171,4174.8,0.0000416239,0.000135404
172,4199.22,0.0000415991,0.000138774
173,4223.63,0.0000425304,0.000144926
174,4248.05,0.0000427731,0.000147388
175,4272.46,0.0000419874,0.000142679
176,4296.88,0.0000407136,0.000137445
177,4321.29,0.0000408735,0.000136379
178,4345.7,0.000041935,0.000135466
179,4370.12,0.0000428065,0.000133125
180,4394.53,0.0000442448,0.000136236
181,4418.95,0.0000440707,0.00014585
182,4443.36,0.0000432486,0.0001497
183,4467.77,0.0000433505,0.000145541
184,4492.19,0.0000433355,0.00013945
185,4516.6,0.0000424675,0.000137862
186,4541.02,0.0000421254,0.000138444
187,4565.43,0.0000432047,0.000138169
188,4589.84,0.0000444595,0.000136782
189,4614.26,0.0000441959,0.000135659
190,4638.67,0.0000430991,0.000135642
191,4663.09,0.0000426814,0.000137127
192,4687.5,0.0000431009,0.000138942
193,4711.91,0.0000428974,0.00013937
194,4736.33,0.0000426957,0.000137903
195,4760.74,0.0000441504,0.000136221
196,4785.16,0.0000445852,0.000136267
197,4809.57,0.0000436315,0.000138317
198,4833.98,0.0000436215,0.00013847
199,4858.4,0.0000437725,0.000139093
200,4882.81,0.0000426455,0.000141043
201,4907.23,0.0000420227,0.000138949
202,4931.64,0.000042034,0.000135748
203,4956.05,0.0000420543,0.000141063
204,4980.47,0.0000422856,0.0001416
205,5004.88,0.000041906,0.000140831
206,5029.3,0.0000417851,0.000139658
207,5053.71,0.0000425306,0.000139396
208,5078.13,0.0000435579,0.000139628
209,5102.54,0.0000427775,0.000136974
210,5126.95,0.0000417567,0.000135539
211,5151.37,0.0000418297,0.000136218
212,5175.78,0.0000426128,0.000137047
213,5200.2,0.000043011,0.000137322
214,5224.61,0.0000430497,0.000138205
215,5249.02,0.000044229,0.000139803
216,5273.44,0.0000444474,0.000136268
217,5297.85,0.0000425074,0.000133519
218,5322.27,0.0000413952,0.000138147
219,5346.68,0.0000412267,0.000140442
220,5371.09,0.0000421178,0.00013896
221,5395.51,0.0000434434,0.000139921
222,5419.92,0.0000432283,0.00013986
223,5444.34,0.0000424259,0.00014008
224,5468.75,0.0000428386,0.000139158
225,5493.16,0.0000433421,0.000138817
226,5517.58,0.0000421124,0.000136833
227,5541.99,0.0000414803,0.000135907
228,5566.41,0.00004254,0.000137481
229,5590.82,0.0000434041,0.000138996
230,5615.23,0.0000441847,0.000138729
231,5639.65,0.000044102,0.000139342
232,5664.06,0.0000429898,0.000143622
233,5688.48,0.0000432006,0.000145594
234,5712.89,0.0000434212,0.000142651
235,5737.3,0.0000434717,0.000141003
236,5761.72,0.0000424645,0.000140503
237,5786.13,0.0000417394,0.000140548
238,5810.55,0.0000419894,0.00014223
239,5834.96,0.0000430536,0.000141038
240,5859.38,0.0000435538,0.000136272
241,5883.79,0.0000434456,0.000137168
242,5908.2,0.0000429805,0.000135605
243,5932.62,0.0000437313,0.000137406
244,5957.03,0.000044086,0.00013877
245,5981.45,0.0000431308,0.000141278
246,6005.86,0.0000425259,0.000139815
247,6030.27,0.0000423098,0.000135311
248,6054.69,0.0000431174,0.000135712
249,6079.1,0.0000425915,0.000136742
250,6103.52,0.0000417356,0.000136639
251,6127.93,0.0000426737,0.000140471
252,6152.34,0.0000430921,0.000144746
253,6176.76,0.0000421696,0.0001429
254,6201.17,0.0000425997,0.000136503
255,6225.59,0.0000425457,0.000139352
256,6250,0.000042383,0.000140505
257,6274.41,0.0000426544,0.000139078
258,6298.83,0.0000418762,0.000137269
259,6323.24,0.0000413026,0.000135368
260,6347.66,0.0000405939,0.000135498
261,6372.07,0.000040523,0.000136996
262,6396.48,0.0000412664,0.000138871
263,6420.9,0.0000423275,0.000136939
264,6445.31,0.0000430079,0.000137175
265,6469.73,0.0000420425,0.000140449
266,6494.14,0.0000415437,0.00013933
267,6518.55,0.0000412316,0.000135348
268,6542.97,0.000041269,0.000135646
269,6567.38,0.0000426495,0.000140831
