;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
134,3271.48,1.60642e-05,3.92933e-06
135,3295.9,1.60846e-05,3.97747e-06
136,3320.31,1.61273e-05,4.04696e-06
137,3344.73,1.62937e-05,4.10298e-06
138,3369.14,1.64213e-05,4.08365e-06
139,3393.55,1.63223e-05,3.92454e-06
140,3417.97,1.62348e-05,3.8401e-06
141,3442.38,1.63917e-05,3.89127e-06
142,3466.8,1.63171e-05,3.94924e-06
143,3491.21,1.61529e-05,3.97803e-06
144,3515.63,1.59327e-05,3.95311e-06
145,3540.04,1.60027e-05,3.92797e-06
146,3564.45,1.59648e-05,4.01656e-06
147,3588.87,1.60116e-05,4.01397e-06
148,3613.28,1.60524e-05,3.87411e-06
149,3637.7,1.62406e-05,3.80996e-06
150,3662.11,1.62904e-05,3.80428e-06
151,3686.52,1.62691e-05,3.86761e-06
152,3710.94,1.6123e-05,3.90123e-06
153,3735.35,1.57477e-05,3.87893e-06
154,3759.77,1.56221e-05,3.91521e-06
155,3784.18,1.59251e-05,3.93882e-06
156,3808.59,1.59803e-05,3.936e-06
157,3833.01,1.59906e-05,3.94892e-06
158,3857.42,1.60557e-05,3.95426e-06
159,3881.84,1.59566e-05,3.96632e-06
160,3906.25,1.58947e-05,3.90705e-06
161,3930.66,1.58348e-05,3.85809e-06
162,3955.08,1.61082e-05,3.80273e-06
163,3979.49,1.59966e-05,3.77812e-06
164,4003.91,1.59008e-05,3.77166e-06
165,4028.32,1.62568e-05,3.80379e-06
166,4052.73,1.64029e-05,3.83696e-06
167,4077.15,1.65597e-05,3.82829e-06
168,4101.56,1.65975e-05,3.92355e-06
169,4125.98,1.62368e-05,4.05015e-06
170,4150.39,1.5904e-05,4.02833e-06
171,4174.8,1.58392e-05,3.95099e-06
172,4199.22,1.57781e-05,3.86282e-06
173,4223.63,1.56863e-05,3.84225e-06
174,4248.05,1.55626e-05,3.88443e-06
175,4272.46,1.56377e-05,3.9823e-06
176,4296.88,1.60162e-05,4.01912e-06
177,4321.29,1.59434e-05,3.97137e-06
178,4345.7,1.60306e-05,3.93197e-06
179,4370.12,1.65864e-05,3.9312e-06
180,4394.53,1.63844e-05,3.96071e-06
181,4418.95,1.58363e-05,3.92045e-06
182,4443.36,1.59321e-05,3.88614e-06
183,4467.77,1.59242e-05,3.84896e-06
184,4492.19,1.5706e-05,3.79062e-06
185,4516.6,1.58004e-05,3.83269e-06
186,4541.02,1.58494e-05,3.93659e-06
187,4565.43,1.60786e-05,3.96482e-06
188,4589.84,1.60144e-05,3.92321e-06
189,4614.26,1.58473e-05,3.94468e-06
190,4638.67,1.58457e-05,3.96614e-06
191,4663.09,1.6148e-05,3.95524e-06
192,4687.5,1.61278e-05,3.94661e-06
193,4711.91,1.58621e-05,3.83083e-06
194,4736.33,1.58416e-05,3.79932e-06
195,4760.74,1.5586e-05,3.81614e-06
196,4785.16,1.56288e-05,3.80638e-06
197,4809.57,1.5835e-05,3.90995e-06
198,4833.98,1.58639e-05,4.00074e-06
199,4858.4,1.63685e-05,3.94946e-06
200,4882.81,1.6589e-05,3.88805e-06
201,4907.23,1.63276e-05,3.92401e-06
202,4931.64,1.61145e-05,3.95309e-06
203,4956.05,1.58686e-05,3.94977e-06
204,4980.47,1.59231e-05,3.91579e-06
205,5004.88,1.63073e-05,3.91815e-06
206,5029.3,1.62205e-05,3.96802e-06
207,5053.71,1.59064e-05,3.92392e-06
208,5078.13,1.60877e-05,3.89241e-06
209,5102.54,1.62987e-05,3.98628e-06
210,5126.95,1.62902e-05,4.00265e-06
211,5151.37,1.64457e-05,3.93237e-06
212,5175.78,1.65374e-05,3.88913e-06
213,5200.2,1.6261e-05,3.87559e-06
214,5224.61,1.58886e-05,3.96781e-06
215,5249.02,1.5489e-05,3.985e-06
