Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
139,3393.55,5.34356e-06,3.94306e-06
140,3417.97,5.29253e-06,3.95723e-06
141,3442.38,5.34609e-06,3.97737e-06
142,3466.8,5.43943e-06,3.96749e-06
143,3491.21,5.47048e-06,4.00081e-06
144,3515.63,5.54829e-06,4.0066e-06
145,3540.04,5.52116e-06,4.00074e-06
146,3564.45,5.40504e-06,4.03238e-06
147,3588.87,5.43377e-06,4.03713e-06
148,3613.28,5.57564e-06,4.00881e-06
149,3637.7,5.55519e-06,3.99265e-06
150,3662.11,5.44322e-06,3.98418e-06
151,3686.52,5.49165e-06,3.94077e-06
152,3710.94,5.41575e-06,4.03148e-06
153,3735.35,5.29747e-06,4.09125e-06
154,3759.77,5.31566e-06,3.99587e-06
155,3784.18,5.23158e-06,3.93891e-06
156,3808.59,5.19873e-06,3.87538e-06
157,3833.01,5.35984e-06,3.84758e-06
158,3857.42,5.43984e-06,3.86036e-06
159,3881.84,5.34472e-06,3.94071e-06
160,3906.25,5.2214e-06,4.02582e-06
161,3930.66,5.33573e-06,4.03938e-06
162,3955.08,5.4619e-06,4.02317e-06
163,3979.49,5.34514e-06,4.02205e-06
164,4003.91,5.23654e-06,3.99251e-06
165,4028.32,5.26344e-06,3.97097e-06
166,4052.73,5.32693e-06,3.95078e-06
167,4077.15,5.36179e-06,3.96698e-06
168,4101.56,5.29695e-06,3.99573e-06
169,4125.98,5.29641e-06,4.05855e-06
170,4150.39,5.31849e-06,4.08909e-06
171,4174.8,5.23399e-06,4.02325e-06
172,4199.22,5.15624e-06,3.96819e-06
173,4223.63,5.23587e-06,3.97017e-06
174,4248.05,5.38736e-06,3.99701e-06
175,4272.46,5.47762e-06,4.00054e-06
176,4296.88,5.52761e-06,3.98746e-06
177,4321.29,5.42453e-06,3.92962e-06
178,4345.7,5.29833e-06,3.96038e-06
179,4370.12,5.30072e-06,4.01115e-06
180,4394.53,5.43914e-06,4.07154e-06
181,4418.95,5.42833e-06,4.10599e-06
182,4443.36,5.28222e-06,4.04642e-06
183,4467.77,5.29278e-06,3.89799e-06
184,4492.19,5.37651e-06,3.86327e-06
185,4516.6,5.36399e-06,3.93546e-06
186,4541.02,5.30283e-06,3.96896e-06
187,4565.43,5.30268e-06,3.92889e-06
188,4589.84,5.38516e-06,3.85929e-06
189,4614.26,5.34768e-06,3.86216e-06
190,4638.67,5.29037e-06,3.95301e-06
191,4663.09,5.41304e-06,3.99995e-06
192,4687.5,5.50844e-06,3.9915e-06
193,4711.91,5.4574e-06,3.97923e-06
194,4736.33,5.44583e-06,3.96902e-06
195,4760.74,5.48784e-06,3.97846e-06
196,4785.16,5.51646e-06,3.95619e-06
197,4809.57,5.46329e-06,3.90581e-06
198,4833.98,5.35522e-06,3.90859e-06
199,4858.4,5.35895e-06,3.93544e-06
200,4882.81,5.49238e-06,3.95544e-06
201,4907.23,5.52907e-06,4.00077e-06
202,4931.64,5.42474e-06,4.03541e-06
203,4956.05,5.35646e-06,4.04375e-06
204,4980.47,5.31794e-06,4.00104e-06
205,5004.88,5.36639e-06,4.0032e-06
206,5029.3,5.35135e-06,4.04812e-06
207,5053.71,5.33291e-06,4.03193e-06
208,5078.13,5.35917e-06,4.04536e-06
209,5102.54,5.35746e-06,4.10211e-06
210,5126.95,5.40708e-06,4.06355e-06
211,5151.37,5.41452e-06,3.97325e-06
212,5175.78,5.34565e-06,3.90673e-06
213,5200.2,5.3028e-06,3.82232e-06
214,5224.61,5.36718e-06,3.85827e-06
215,5249.02,5.32827e-06,3.89081e-06
216,5273.44,5.33636e-06,3.94917e-06
217,5297.85,5.38861e-06,4.01487e-06
218,5322.27,5.3445e-06,4.06607e-06
219,5346.68,5.40918e-06,3.98248e-06
220,5371.09,5.45805e-06,3.9152e-06
221,5395.51,5.31396e-06,3.94799e-06
222,5419.92,5.24141e-06,3.98047e-06
223,5444.34,5.26229e-06,4.0337e-06
224,5468.75,5.25974e-06,4.07172e-06
225,5493.16,5.41437e-06,4.07831e-06
226,5517.58,5.58443e-06,4.05951e-06
227,5541.99,5.60501e-06,3.93787e-06
228,5566.41,5.54816e-06,3.92225e-06
229,5590.82,5.52429e-06,3.93213e-06
230,5615.23,5.44064e-06,3.89781e-06
231,5639.65,5.38778e-06,3.90141e-06
232,5664.06,5.46832e-06,3.88903e-06
233,5688.48,5.45891e-06,3.8981e-06
234,5712.89,5.39679e-06,3.90239e-06
235,5737.3,5.36318e-06,3.90368e-06
236,5761.72,5.35504e-06,3.96454e-06
237,5786.13,5.3569e-06,3.96406e-06
238,5810.55,5.31902e-06,3.9014e-06
239,5834.96,5.26145e-06,3.92072e-06
240,5859.38,5.30453e-06,3.98284e-06
241,5883.79,5.35942e-06,4.01151e-06
242,5908.2,5.39496e-06,3.92983e-06
243,5932.62,5.34688e-06,3.88724e-06
244,5957.03,5.30426e-06,3.96952e-06
245,5981.45,5.39624e-06,4.02142e-06
246,6005.86,5.44972e-06,3.95444e-06
247,6030.27,5.397e-06,3.89188e-06
248,6054.69,5.41446e-06,3.89731e-06
249,6079.1,5.39025e-06,3.93687e-06
250,6103.52,5.37788e-06,4.00806e-06
251,6127.93,5.39495e-06,4.02559e-06
252,6152.34,5.38245e-06,3.96361e-06
253,6176.76,5.44303e-06,3.9247e-06
254,6201.17,5.43298e-06,3.94361e-06
255,6225.59,5.48756e-06,3.94082e-06
256,6250,5.41244e-06,3.90484e-06
257,6274.41,5.36091e-06,3.87688e-06
258,6298.83,5.46243e-06,3.88045e-06
259,6323.24,5.48867e-06,3.92392e-06
260,6347.66,5.37941e-06,3.87515e-06
261,6372.07,5.27507e-06,3.85609e-06
262,6396.48,5.35475e-06,3.86914e-06
263,6420.9,5.41466e-06,3.90833e-06
264,6445.31,5.34817e-06,3.96221e-06
265,6469.73,5.24004e-06,3.9595e-06
266,6494.14,5.2784e-06,3.88933e-06
267,6518.55,5.33837e-06,3.95902e-06
268,6542.97,5.32473e-06,4.05558e-06
269,6567.38,5.41201e-06,4.04242e-06
