Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.129153,0.000693618
1,24.4141,0.129153,0.000693618
2,48.8281,0.0373851,0.000200752
3,73.2422,0.00314803,1.71918e-05
4,97.6563,0.000566135,4.45263e-06
5,122.07,0.000562045,4.31249e-06
6,146.484,0.000561989,4.21403e-06
7,170.898,0.000553159,4.1937e-06
8,195.313,0.000551659,4.22552e-06
9,219.727,0.000553458,4.19654e-06
10,244.141,0.000560154,4.1102e-06
11,268.555,0.00056768,4.09268e-06
12,292.969,0.000564282,4.15946e-06
13,317.383,0.000559796,4.24473e-06
14,341.797,0.000557699,4.21429e-06
15,366.211,0.000558791,4.11063e-06
16,390.625,0.000560365,4.03991e-06
17,415.039,0.000561294,4.05052e-06
18,439.453,0.000562296,4.08165e-06
19,463.867,0.000558461,4.14728e-06
20,488.281,0.000557558,4.12934e-06
21,512.695,0.000555244,4.11776e-06
22,537.109,0.000556868,4.15735e-06
23,561.523,0.000551745,4.16898e-06
24,585.938,0.000542873,4.23857e-06
25,610.352,0.000536991,4.32915e-06
26,634.766,0.000543526,4.35106e-06
27,659.18,0.00055383,4.26383e-06
28,683.594,0.000558858,4.16617e-06
29,708.008,0.000551601,4.14882e-06
30,732.422,0.000546726,4.18046e-06
31,756.836,0.000554299,4.21648e-06
32,781.25,0.00055995,4.19166e-06
33,805.664,0.00055946,4.14217e-06
34,830.078,0.000563632,4.10639e-06
35,854.492,0.000562454,4.14681e-06
36,878.906,0.000560746,4.22148e-06
37,903.32,0.000563373,4.28639e-06
38,927.734,0.000564648,4.32446e-06
39,952.148,0.000560485,4.25188e-06
40,976.563,0.000553753,4.12113e-06
41,1000.98,0.000545762,4.06896e-06
42,1025.39,0.000545941,4.18094e-06
43,1049.8,0.000550544,4.25005e-06
44,1074.22,0.000550308,4.21409e-06
45,1098.63,0.000547797,4.16237e-06
46,1123.05,0.000552635,4.05536e-06
47,1147.46,0.000556154,4.01666e-06
48,1171.88,0.000554003,4.03392e-06
49,1196.29,0.000557857,4.01929e-06
50,1220.7,0.000560263,3.99481e-06
51,1245.12,0.000566333,4.00795e-06
52,1269.53,0.000561207,4.06472e-06
53,1293.95,0.000557201,4.06928e-06
54,1318.36,0.000566178,4.03069e-06
55,1342.77,0.000561373,4.02431e-06
56,1367.19,0.000554693,4.06461e-06
57,1391.6,0.000564227,4.15942e-06
58,1416.02,0.000567507,4.2401e-06
59,1440.43,0.000563058,4.18058e-06
60,1464.84,0.00056198,4.08775e-06
61,1489.26,0.000560924,3.97936e-06
62,1513.67,0.000561046,3.98282e-06
63,1538.09,0.00055414,4.08446e-06
64,1562.5,0.000557801,4.03809e-06
65,1586.91,0.000569716,3.9623e-06
66,1611.33,0.00056639,4.01047e-06
67,1635.74,0.000553856,4.05303e-06
68,1660.16,0.000556267,4.01073e-06
69,1684.57,0.00055936,4.06853e-06
70,1708.98,0.000561849,4.15629e-06
71,1733.4,0.000569024,4.12428e-06
72,1757.81,0.000562293,4.06069e-06
73,1782.23,0.000555656,3.9966e-06
74,1806.64,0.000551712,3.9745e-06
75,1831.05,0.000546545,3.97206e-06
76,1855.47,0.000548164,3.98325e-06
77,1879.88,0.000549792,3.94024e-06
78,1904.3,0.000554988,3.92548e-06
79,1928.71,0.000560042,3.97843e-06
80,1953.13,0.000554838,3.97828e-06
81,1977.54,0.000551603,3.92696e-06
82,2001.95,0.000552737,3.99103e-06
83,2026.37,0.000558264,3.96496e-06
84,2050.78,0.000560135,3.89341e-06
85,2075.2,0.000546953,3.9487e-06
86,2099.61,0.000541344,4.04927e-06
87,2124.02,0.000543175,4.05934e-06
88,2148.44,0.000537321,4.00174e-06
89,2172.85,0.00053885,4.00718e-06
90,2197.27,0.000542986,4.02402e-06
91,2221.68,0.000539799,4.03727e-06
92,2246.09,0.00054975,3.95963e-06
93,2270.51,0.000560908,3.91044e-06
94,2294.92,0.000557596,3.95009e-06
95,2319.34,0.000539264,3.88732e-06
96,2343.75,0.00054799,3.94521e-06
97,2368.16,0.000563249,4.01167e-06
98,2392.58,0.000566779,3.99507e-06
99,2416.99,0.000561321,4.00031e-06
100,2441.41,0.000560256,4.01563e-06
101,2465.82,0.000563642,3.99622e-06
102,2490.23,0.000561801,4.04383e-06
103,2514.65,0.000541396,4.13649e-06
104,2539.06,0.000538,4.09559e-06
105,2563.48,0.000547337,4.00643e-06
106,2587.89,0.000549067,3.9397e-06
107,2612.3,0.000555446,3.89931e-06
108,2636.72,0.000560419,3.91469e-06
109,2661.13,0.000547829,3.95081e-06
110,2685.55,0.000551369,4.03497e-06
111,2709.96,0.00056676,4.04575e-06
112,2734.38,0.000569012,4.09423e-06
113,2758.79,0.000572374,4.10475e-06
114,2783.2,0.000575248,4.09239e-06
115,2807.62,0.000569557,4.04928e-06
116,2832.03,0.000560203,3.981e-06
117,2856.45,0.000552345,3.96484e-06
118,2880.86,0.000553267,3.91653e-06
119,2905.27,0.000563606,3.93396e-06
120,2929.69,0.000569137,3.99663e-06
121,2954.1,0.000574448,4.05671e-06
122,2978.52,0.00056416,4.03691e-06
123,3002.93,0.000547786,3.98524e-06
124,3027.34,0.000545905,3.93427e-06
125,3051.76,0.000550983,3.95227e-06
126,3076.17,0.000560525,3.96023e-06
127,3100.59,0.000553822,3.98217e-06
128,3125,0.000537278,4.01482e-06
129,3149.41,0.00054768,3.96693e-06
130,3173.83,0.000571799,3.90875e-06
