Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.0319268,0.000707286
1,24.4141,0.0319268,0.000707286
2,48.8281,0.00924198,0.000204712
3,73.2422,0.000777307,1.74948e-05
4,97.6563,0.000138826,4.49174e-06
5,122.07,0.000135354,4.29441e-06
6,146.484,0.000134852,4.19295e-06
7,170.898,0.000135919,4.16367e-06
8,195.313,0.000136907,4.07452e-06
9,219.727,0.000135366,4.1068e-06
10,244.141,0.000135161,4.20164e-06
11,268.555,0.000137264,4.13183e-06
12,292.969,0.000138289,4.09497e-06
13,317.383,0.000136272,4.15529e-06
14,341.797,0.000135943,4.07451e-06
15,366.211,0.00013764,3.99105e-06
16,390.625,0.000136489,4.03624e-06
17,415.039,0.000136747,4.09675e-06
18,439.453,0.00013448,4.18293e-06
19,463.867,0.000133991,4.28893e-06
20,488.281,0.000135209,4.1691e-06
21,512.695,0.000134768,4.11938e-06
22,537.109,0.0001368,4.25149e-06
23,561.523,0.000137164,4.26022e-06
24,585.938,0.000137775,4.11706e-06
25,610.352,0.000137646,4.12078e-06
26,634.766,0.00013649,4.17278e-06
27,659.18,0.000136166,4.18867e-06
28,683.594,0.000138261,4.29813e-06
29,708.008,0.000138914,4.35478e-06
30,732.422,0.000137734,4.3317e-06
31,756.836,0.000136441,4.28674e-06
32,781.25,0.00013361,4.21435e-06
33,805.664,0.000135674,4.19128e-06
34,830.078,0.000138961,4.22451e-06
35,854.492,0.000134894,4.24174e-06
36,878.906,0.000130927,4.23773e-06
37,903.32,0.000132398,4.23253e-06
38,927.734,0.00013412,4.25498e-06
39,952.148,0.00013302,4.20461e-06
40,976.563,0.000132671,4.18964e-06
41,1000.98,0.000134286,4.21293e-06
42,1025.39,0.000132408,4.23279e-06
43,1049.8,0.000130303,4.20351e-06
44,1074.22,0.000133686,4.10535e-06
45,1098.63,0.000136166,4.13545e-06
46,1123.05,0.000139872,4.20418e-06
47,1147.46,0.000139493,4.18996e-06
48,1171.88,0.000137097,4.21454e-06
49,1196.29,0.00013935,4.23929e-06
50,1220.7,0.000137238,4.17842e-06
51,1245.12,0.000135011,4.12591e-06
52,1269.53,0.00013442,4.04787e-06
53,1293.95,0.000135839,4.00135e-06
54,1318.36,0.000136233,3.9616e-06
55,1342.77,0.000136169,3.91467e-06
56,1367.19,0.000135584,3.90177e-06
57,1391.6,0.000134835,3.97265e-06
58,1416.02,0.000132533,4.09325e-06
59,1440.43,0.0001319,4.10778e-06
60,1464.84,0.00013369,4.02955e-06
61,1489.26,0.000137302,3.97453e-06
62,1513.67,0.000136959,3.99937e-06
63,1538.09,0.000137468,3.95939e-06
64,1562.5,0.000138215,3.89393e-06
65,1586.91,0.000136555,3.93672e-06
66,1611.33,0.000136492,3.99874e-06
67,1635.74,0.000136318,3.96592e-06
68,1660.16,0.000135867,4.01987e-06
69,1684.57,0.00013632,4.01625e-06
70,1708.98,0.000137808,3.92057e-06
71,1733.4,0.000140024,3.8914e-06
72,1757.81,0.000137529,3.86272e-06
73,1782.23,0.000133609,3.85829e-06
74,1806.64,0.000134395,3.81187e-06
75,1831.05,0.000136219,3.84629e-06
76,1855.47,0.000135624,3.94974e-06
77,1879.88,0.000134199,3.98179e-06
78,1904.3,0.000135635,4.0023e-06
79,1928.71,0.00013695,3.98931e-06
80,1953.13,0.000134756,3.968e-06
81,1977.54,0.000132286,4.0264e-06
82,2001.95,0.000132282,4.02901e-06
83,2026.37,0.000135826,3.99121e-06
84,2050.78,0.000138522,3.9669e-06
85,2075.2,0.000136251,3.95896e-06
86,2099.61,0.000137056,3.9686e-06
87,2124.02,0.000138184,3.95466e-06
88,2148.44,0.00013588,3.99307e-06
89,2172.85,0.000134294,4.0731e-06
90,2197.27,0.00013523,4.09525e-06
91,2221.68,0.000136429,4.04943e-06
92,2246.09,0.00013522,4.01219e-06
93,2270.51,0.000133498,3.90297e-06
94,2294.92,0.000133284,3.89304e-06
95,2319.34,0.000132713,3.94216e-06
96,2343.75,0.000132003,3.96485e-06
97,2368.16,0.000134771,3.92107e-06
98,2392.58,0.000138085,3.86868e-06
99,2416.99,0.000139177,3.87143e-06
100,2441.41,0.000139383,3.85903e-06
101,2465.82,0.000136272,3.85106e-06
102,2490.23,0.000133257,3.93701e-06
103,2514.65,0.000133281,4.02564e-06
104,2539.06,0.000133538,4.02658e-06
105,2563.48,0.000132412,3.94311e-06
106,2587.89,0.000133981,3.93096e-06
107,2612.3,0.000134841,3.91311e-06
108,2636.72,0.00013495,3.94193e-06
109,2661.13,0.000137409,4.04366e-06
110,2685.55,0.000136003,3.98399e-06
111,2709.96,0.000134585,3.8607e-06
112,2734.38,0.000136266,3.92461e-06
113,2758.79,0.000136995,3.94962e-06
114,2783.2,0.000134158,3.8943e-06
115,2807.62,0.000135845,3.98901e-06
116,2832.03,0.000137779,4.02473e-06
117,2856.45,0.000132709,3.94839e-06
118,2880.86,0.00013415,3.86131e-06
119,2905.27,0.000139057,3.86095e-06
120,2929.69,0.000139577,3.91409e-06
121,2954.1,0.000137546,3.92431e-06
122,2978.52,0.000134743,3.92312e-06
123,3002.93,0.000135492,3.88609e-06
124,3027.34,0.000135267,3.90095e-06
125,3051.76,0.000135594,3.97045e-06
126,3076.17,0.000133917,3.93679e-06
127,3100.59,0.000134245,3.78221e-06
128,3125,0.000135837,3.80953e-06
129,3149.41,0.000136653,3.93457e-06
130,3173.83,0.000138783,4.00957e-06
131,3198.24,0.000140066,4.03709e-06
132,3222.66,0.000138585,4.04702e-06
133,3247.07,0.000137472,4.04525e-06
134,3271.48,0.000139319,3.99052e-06
135,3295.9,0.000137006,3.84099e-06
136,3320.31,0.000131946,3.88176e-06
137,3344.73,0.000134499,3.94245e-06
138,3369.14,0.000138673,3.88126e-06
139,3393.55,0.000137004,3.85191e-06
140,3417.97,0.00013392,3.81728e-06
141,3442.38,0.000134313,3.85588e-06
142,3466.8,0.000134977,3.96092e-06
143,3491.21,0.000133022,3.95252e-06
144,3515.63,0.00013295,3.92142e-06
145,3540.04,0.00013698,3.96184e-06
146,3564.45,0.000135797,3.91695e-06
147,3588.87,0.00013379,3.91241e-06
148,3613.28,0.000136677,3.95561e-06
149,3637.7,0.000138241,3.96733e-06
150,3662.11,0.000137183,3.97013e-06
151,3686.52,0.000134648,3.97619e-06
152,3710.94,0.000134845,3.91996e-06
153,3735.35,0.000136628,3.86667e-06
154,3759.77,0.000134944,3.92344e-06
155,3784.18,0.000135213,3.9448e-06
156,3808.59,0.000135736,3.95589e-06
157,3833.01,0.000135947,3.92982e-06
158,3857.42,0.000136916,3.89925e-06
159,3881.84,0.000136562,3.96356e-06
160,3906.25,0.000136106,3.99038e-06
161,3930.66,0.000136709,3.93313e-06
162,3955.08,0.000135367,3.92461e-06
163,3979.49,0.000132967,3.87331e-06
164,4003.91,0.000133953,3.90996e-06
165,4028.32,0.00013397,3.98832e-06
166,4052.73,0.000134881,3.94047e-06
167,4077.15,0.000135997,3.91467e-06
168,4101.56,0.00013632,3.95396e-06
169,4125.98,0.000135262,3.89055e-06
170,4150.39,0.000136283,3.87739e-06
171,4174.8,0.000137094,3.98621e-06
172,4199.22,0.000135525,4.09263e-06
173,4223.63,0.000135418,4.10315e-06
174,4248.05,0.000136551,4.01942e-06
175,4272.46,0.000135094,3.941e-06
176,4296.88,0.000134869,3.99806e-06
177,4321.29,0.000134942,4.04939e-06
178,4345.7,0.000134143,3.99971e-06
179,4370.12,0.000134465,3.94617e-06
180,4394.53,0.000136491,3.92377e-06
181,4418.95,0.000137292,3.84542e-06
182,4443.36,0.000136056,3.8345e-06
183,4467.77,0.00013515,3.90539e-06
184,4492.19,0.000137963,3.99095e-06
185,4516.6,0.00013909,4.00991e-06
186,4541.02,0.000137735,3.92087e-06
187,4565.43,0.000137125,3.93587e-06
188,4589.84,0.000136527,3.98129e-06
189,4614.26,0.000137258,3.9797e-06
190,4638.67,0.000139498,3.9024e-06
191,4663.09,0.000138232,3.7919e-06
192,4687.5,0.000135811,3.85445e-06
193,4711.91,0.00013519,3.97177e-06
194,4736.33,0.000138222,4.02868e-06
195,4760.74,0.000140282,4.08587e-06
196,4785.16,0.000136874,4.04867e-06
197,4809.57,0.000136346,3.96373e-06
198,4833.98,0.000136675,3.913e-06
199,4858.4,0.000135739,3.85981e-06
200,4882.81,0.000137378,3.92888e-06
201,4907.23,0.000138784,3.94466e-06
202,4931.64,0.000137248,3.88947e-06
203,4956.05,0.000135671,3.9209e-06
204,4980.47,0.000134099,3.8766e-06
205,5004.88,0.000136608,3.77277e-06
206,5029.3,0.000137749,3.79837e-06
207,5053.71,0.000136022,3.84967e-06
208,5078.13,0.000135171,3.90308e-06
209,5102.54,0.000136708,3.93788e-06
210,5126.95,0.000137687,3.85566e-06
211,5151.37,0.000137017,3.86618e-06
212,5175.78,0.000136724,3.87386e-06
213,5200.2,0.00013591,3.87159e-06
214,5224.61,0.000132754,3.9145e-06
215,5249.02,0.000131911,3.9094e-06
216,5273.44,0.000136055,3.84142e-06
217,5297.85,0.000137041,3.81863e-06
218,5322.27,0.000135185,3.96714e-06
219,5346.68,0.000134137,4.0074e-06
220,5371.09,0.000133348,3.86712e-06
221,5395.51,0.000134608,3.88348e-06
222,5419.92,0.000136386,3.91654e-06
223,5444.34,0.000138245,4.00248e-06
224,5468.75,0.000139374,3.99097e-06
225,5493.16,0.000138158,3.93563e-06
226,5517.58,0.00013581,3.89131e-06
227,5541.99,0.000135212,3.87227e-06
228,5566.41,0.00013703,3.89855e-06
229,5590.82,0.00014082,3.90481e-06
230,5615.23,0.000139525,3.89387e-06
231,5639.65,0.000137947,3.93138e-06
232,5664.06,0.000135321,3.97846e-06
233,5688.48,0.000134381,3.97428e-06
234,5712.89,0.000135603,3.95159e-06
235,5737.3,0.000135986,3.8598e-06
236,5761.72,0.000136016,3.81289e-06
237,5786.13,0.000137052,3.88007e-06
238,5810.55,0.000135968,3.93282e-06
239,5834.96,0.000134614,3.98931e-06
240,5859.38,0.00013508,3.92842e-06
241,5883.79,0.000135425,3.80512e-06
242,5908.2,0.000135388,3.84452e-06
243,5932.62,0.000135894,3.87932e-06
244,5957.03,0.000135381,3.92535e-06
245,5981.45,0.000136307,3.93157e-06
246,6005.86,0.000137704,3.90019e-06
247,6030.27,0.000138571,3.96474e-06
248,6054.69,0.000140635,3.96654e-06
249,6079.1,0.000136217,3.84699e-06
250,6103.52,0.000132532,3.81761e-06
251,6127.93,0.000134955,3.85694e-06
252,6152.34,0.000138751,3.90301e-06
253,6176.76,0.000142018,3.95369e-06
254,6201.17,0.000141269,3.98136e-06
255,6225.59,0.000138916,3.94253e-06
256,6250,0.000136825,3.92514e-06
257,6274.41,0.000134176,3.87816e-06
258,6298.83,0.000136424,3.81451e-06
259,6323.24,0.000139567,3.86207e-06
260,6347.66,0.000140786,3.91919e-06
261,6372.07,0.000138742,3.8783e-06
262,6396.48,0.000136558,3.83841e-06
263,6420.9,0.000138053,3.90984e-06
264,6445.31,0.00013956,3.9467e-06
265,6469.73,0.000138286,3.94483e-06
266,6494.14,0.00013634,4.0184e-06
267,6518.55,0.000136582,4.02283e-06
268,6542.97,0.000138822,3.9592e-06
269,6567.38,0.000139323,3.99345e-06
270,6591.8,0.000138836,4.01205e-06
271,6616.21,0.000137002,3.94723e-06
272,6640.63,0.000136115,3.92801e-06
273,6665.04,0.000135326,3.96235e-06
274,6689.45,0.00013464,3.94202e-06
275,6713.87,0.000136662,3.97379e-06
276,6738.28,0.000137204,4.01693e-06
277,6762.7,0.000133144,3.97473e-06
278,6787.11,0.000130818,3.94815e-06
279,6811.52,0.000132691,3.97355e-06
280,6835.94,0.000134104,3.9919e-06
281,6860.35,0.000135997,3.92567e-06
282,6884.77,0.000134054,3.94168e-06
283,6909.18,0.000136998,3.99607e-06
284,6933.59,0.000141899,3.9027e-06
285,6958.01,0.000139111,3.83829e-06
286,6982.42,0.000134613,3.85129e-06
287,7006.84,0.000136347,3.87978e-06
288,7031.25,0.000139143,3.94354e-06
289,7055.66,0.000138333,3.9381e-06
290,7080.08,0.000139358,3.86918e-06
291,7104.49,0.000139945,3.90789e-06
292,7128.91,0.000136518,3.88297e-06
293,7153.32,0.000134201,3.86434e-06
294,7177.73,0.00013268,3.95791e-06
295,7202.15,0.000132575,4.0151e-06
296,7226.56,0.000134481,3.9933e-06
297,7250.98,0.000134894,3.97736e-06
298,7275.39,0.000134566,3.93759e-06
299,7299.8,0.000132439,3.97238e-06
300,7324.22,0.000132289,3.97912e-06
301,7348.63,0.000131586,3.92663e-06
302,7373.05,0.000132614,3.90129e-06
303,7397.46,0.000136325,3.90117e-06
304,7421.88,0.000136257,3.8679e-06
305,7446.29,0.000136121,3.94156e-06
306,7470.7,0.000140574,4.02751e-06
307,7495.12,0.000140015,3.99719e-06
308,7519.53,0.000133566,3.99576e-06
309,7543.95,0.000129872,3.88593e-06
310,7568.36,0.000132092,3.88904e-06
311,7592.77,0.000133377,3.92021e-06
312,7617.19,0.000134294,3.87196e-06
313,7641.6,0.000137949,3.89644e-06
314,7666.02,0.000138224,4.00514e-06
315,7690.43,0.000136752,4.02532e-06
316,7714.84,0.000135674,3.99195e-06
317,7739.26,0.000135213,3.97959e-06
318,7763.67,0.000136129,3.86909e-06
319,7788.09,0.000135774,3.80687e-06
320,7812.5,0.000135934,3.87453e-06
321,7836.91,0.000136235,3.91049e-06
322,7861.33,0.000132439,3.8807e-06
323,7885.74,0.000133278,3.86758e-06
324,7910.16,0.000136555,3.90076e-06
325,7934.57,0.000135394,3.95772e-06
326,7958.98,0.000134684,3.94366e-06
327,7983.4,0.000135172,3.96765e-06
328,8007.81,0.000135629,3.97823e-06
329,8032.23,0.000137719,3.90964e-06
330,8056.64,0.000138375,3.87986e-06
331,8081.05,0.000137045,3.90047e-06
332,8105.47,0.000138241,3.96899e-06
333,8129.88,0.000139873,3.91438e-06
334,8154.3,0.000134948,3.83667e-06
335,8178.71,0.000134303,3.87418e-06
336,8203.13,0.000136484,3.93542e-06
337,8227.54,0.000135159,3.91472e-06
338,8251.95,0.000134175,3.89874e-06
339,8276.37,0.000133997,3.91459e-06
340,8300.78,0.000135796,3.9584e-06
341,8325.2,0.000138945,4.00359e-06
342,8349.61,0.000138188,3.98864e-06
343,8374.02,0.000135684,3.94817e-06
344,8398.44,0.000133797,3.97349e-06
345,8422.85,0.000132489,3.85014e-06
346,8447.27,0.000131749,3.82485e-06
347,8471.68,0.000133971,3.9741e-06
348,8496.09,0.000138071,4.00965e-06
349,8520.51,0.000140533,3.9602e-06
350,8544.92,0.000138603,3.9139e-06
351,8569.34,0.000131897,3.90283e-06
352,8593.75,0.000131012,3.89499e-06
353,8618.16,0.000133454,3.87502e-06
354,8642.58,0.000134919,3.85859e-06
355,8666.99,0.000135626,3.93611e-06
356,8691.41,0.000134908,4.03946e-06
357,8715.82,0.00013323,3.96605e-06
358,8740.23,0.000136263,3.90647e-06
359,8764.65,0.000136323,3.937e-06
360,8789.06,0.00013611,3.97937e-06
361,8813.48,0.000139181,3.94634e-06
362,8837.89,0.000140778,3.93614e-06
363,8862.3,0.000136192,3.9635e-06
364,8886.72,0.000131445,3.99257e-06
365,8911.13,0.000133622,3.95898e-06
366,8935.55,0.000135068,3.90251e-06
367,8959.96,0.000133954,3.94953e-06
368,8984.38,0.000135207,4.01057e-06
369,9008.79,0.000135644,4.00623e-06
370,9033.2,0.000135648,4.01798e-06
371,9057.62,0.000136462,3.99652e-06
372,9082.03,0.000134981,3.92934e-06
373,9106.45,0.000134029,3.90361e-06
374,9130.86,0.000133339,3.99835e-06
375,9155.27,0.00013252,3.96944e-06
376,9179.69,0.000131886,3.92785e-06
377,9204.1,0.000135073,3.92692e-06
378,9228.52,0.000138865,3.93441e-06
379,9252.93,0.000141359,3.95174e-06
380,9277.34,0.000140631,3.92113e-06
381,9301.76,0.000136089,3.87542e-06
382,9326.17,0.000134931,3.85817e-06
383,9350.59,0.000135438,3.88606e-06
384,9375,0.000135132,3.87744e-06
385,9399.41,0.000135666,3.86868e-06
386,9423.83,0.000136789,3.87904e-06
387,9448.24,0.000136016,3.98264e-06
388,9472.66,0.00013495,4.00913e-06
389,9497.07,0.000135316,3.93485e-06
390,9521.48,0.000135081,3.87484e-06
391,9545.9,0.000134961,3.83482e-06
392,9570.31,0.000135402,3.84615e-06
393,9594.73,0.000136962,3.88949e-06
394,9619.14,0.000139527,3.95487e-06
395,9643.55,0.00013937,3.94033e-06
396,9667.97,0.000135953,3.93416e-06
397,9692.38,0.000136107,3.92259e-06
398,9716.8,0.00013675,3.9359e-06
399,9741.21,0.000136809,3.97613e-06
400,9765.63,0.000136867,3.98346e-06
401,9790.04,0.000136219,4.01814e-06
402,9814.45,0.000136401,3.95212e-06
403,9838.87,0.000136003,3.87105e-06
404,9863.28,0.000134416,3.88187e-06
405,9887.7,0.000135103,3.93274e-06
406,9912.11,0.000136829,3.93765e-06
407,9936.52,0.000135507,3.93697e-06
408,9960.94,0.000136248,3.93359e-06
409,9985.35,0.000139809,3.84274e-06
410,10009.8,0.00014147,3.8358e-06
411,10034.2,0.000139585,3.93125e-06
412,10058.6,0.000139052,4.03416e-06
413,10083,0.000136594,4.03281e-06
414,10107.4,0.000136008,3.93228e-06
415,10131.8,0.00013588,3.93458e-06
416,10156.3,0.000135886,3.99888e-06
417,10180.7,0.000138109,4.03176e-06
418,10205.1,0.000138647,4.0033e-06
419,10229.5,0.000138129,3.99257e-06
420,10253.9,0.000138148,4.02907e-06
421,10278.3,0.000137884,3.956e-06
422,10302.7,0.000137067,3.83768e-06
423,10327.1,0.000138075,3.90226e-06
424,10351.6,0.000139827,3.94906e-06
425,10376,0.000138552,3.90336e-06
426,10400.4,0.000135205,3.91212e-06
427,10424.8,0.000135308,3.93256e-06
428,10449.2,0.000134827,3.92289e-06
429,10473.6,0.000135827,3.93537e-06
430,10498,0.000136907,3.91133e-06
431,10522.5,0.000137469,3.88405e-06
432,10546.9,0.0001366,3.87797e-06
433,10571.3,0.000135168,4.01417e-06
434,10595.7,0.000136455,4.07695e-06
435,10620.1,0.000137844,4.01969e-06
436,10644.5,0.000135725,3.98832e-06
437,10668.9,0.000134803,4.00291e-06
