frequency(Hz),V/rt(Hz),Title
88.86779017,5.14E-07,LMH6624 PSD @ 28.8 kHz Span
89.8443593,5.09E-07,LMH6624 PSD @ 28.8 kHz Span
90.82092842,5.31E-07,LMH6624 PSD @ 28.8 kHz Span
91.79749754,5.45E-07,LMH6624 PSD @ 28.8 kHz Span
92.77406666,5.32E-07,LMH6624 PSD @ 28.8 kHz Span
93.75063579,5.24E-07,LMH6624 PSD @ 28.8 kHz Span
94.72720491,5.26E-07,LMH6624 PSD @ 28.8 kHz Span
95.70377403,5.21E-07,LMH6624 PSD @ 28.8 kHz Span
96.68034316,5.17E-07,LMH6624 PSD @ 28.8 kHz Span
97.65691228,5.24E-07,LMH6624 PSD @ 28.8 kHz Span
98.6334814,5.32E-07,LMH6624 PSD @ 28.8 kHz Span
99.61005052,5.37E-07,LMH6624 PSD @ 28.8 kHz Span
100.5866196,5.43E-07,LMH6624 PSD @ 28.8 kHz Span
101.5631888,5.35E-07,LMH6624 PSD @ 28.8 kHz Span
102.5397579,5.18E-07,LMH6624 PSD @ 28.8 kHz Span
103.516327,5.23E-07,LMH6624 PSD @ 28.8 kHz Span
104.4928961,5.34E-07,LMH6624 PSD @ 28.8 kHz Span
105.4694653,5.30E-07,LMH6624 PSD @ 28.8 kHz Span
106.4460344,5.33E-07,LMH6624 PSD @ 28.8 kHz Span
107.4226035,5.44E-07,LMH6624 PSD @ 28.8 kHz Span
108.3991726,5.43E-07,LMH6624 PSD @ 28.8 kHz Span
109.3757418,5.37E-07,LMH6624 PSD @ 28.8 kHz Span
110.3523109,5.20E-07,LMH6624 PSD @ 28.8 kHz Span
111.32888,4.96E-07,LMH6624 PSD @ 28.8 kHz Span
112.3054491,4.86E-07,LMH6624 PSD @ 28.8 kHz Span
113.2820182,4.91E-07,LMH6624 PSD @ 28.8 kHz Span
114.2585874,4.92E-07,LMH6624 PSD @ 28.8 kHz Span
115.2351565,4.87E-07,LMH6624 PSD @ 28.8 kHz Span
116.2117256,4.94E-07,LMH6624 PSD @ 28.8 kHz Span
117.1882947,5.09E-07,LMH6624 PSD @ 28.8 kHz Span
118.1648639,5.43E-07,LMH6624 PSD @ 28.8 kHz Span
119.141433,6.17E-07,LMH6624 PSD @ 28.8 kHz Span
120.1180021,6.58E-07,LMH6624 PSD @ 28.8 kHz Span
121.0945712,6.11E-07,LMH6624 PSD @ 28.8 kHz Span
122.0711403,5.55E-07,LMH6624 PSD @ 28.8 kHz Span
123.0477095,5.35E-07,LMH6624 PSD @ 28.8 kHz Span
124.0242786,5.11E-07,LMH6624 PSD @ 28.8 kHz Span
125.0008477,4.81E-07,LMH6624 PSD @ 28.8 kHz Span
125.9774168,4.73E-07,LMH6624 PSD @ 28.8 kHz Span
126.953986,4.69E-07,LMH6624 PSD @ 28.8 kHz Span
127.9305551,4.57E-07,LMH6624 PSD @ 28.8 kHz Span
128.9071242,4.56E-07,LMH6624 PSD @ 28.8 kHz Span
129.8836933,4.53E-07,LMH6624 PSD @ 28.8 kHz Span
130.8602625,4.46E-07,LMH6624 PSD @ 28.8 kHz Span
131.8368316,4.56E-07,LMH6624 PSD @ 28.8 kHz Span
132.8134007,4.69E-07,LMH6624 PSD @ 28.8 kHz Span
133.7899698,4.62E-07,LMH6624 PSD @ 28.8 kHz Span
134.7665389,4.46E-07,LMH6624 PSD @ 28.8 kHz Span
135.7431081,4.44E-07,LMH6624 PSD @ 28.8 kHz Span
136.7196772,4.52E-07,LMH6624 PSD @ 28.8 kHz Span
137.6962463,4.63E-07,LMH6624 PSD @ 28.8 kHz Span
138.6728154,4.64E-07,LMH6624 PSD @ 28.8 kHz Span
139.6493846,4.53E-07,LMH6624 PSD @ 28.8 kHz Span
140.6259537,4.50E-07,LMH6624 PSD @ 28.8 kHz Span
141.6025228,4.47E-07,LMH6624 PSD @ 28.8 kHz Span
142.5790919,4.43E-07,LMH6624 PSD @ 28.8 kHz Span
143.555661,4.44E-07,LMH6624 PSD @ 28.8 kHz Span
144.5322302,4.40E-07,LMH6624 PSD @ 28.8 kHz Span
145.5087993,4.35E-07,LMH6624 PSD @ 28.8 kHz Span
146.4853684,4.31E-07,LMH6624 PSD @ 28.8 kHz Span
147.4619375,4.33E-07,LMH6624 PSD @ 28.8 kHz Span
148.4385067,4.43E-07,LMH6624 PSD @ 28.8 kHz Span
149.4150758,4.44E-07,LMH6624 PSD @ 28.8 kHz Span
150.3916449,4.29E-07,LMH6624 PSD @ 28.8 kHz Span
151.368214,4.20E-07,LMH6624 PSD @ 28.8 kHz Span
152.3447832,4.27E-07,LMH6624 PSD @ 28.8 kHz Span
153.3213523,4.38E-07,LMH6624 PSD @ 28.8 kHz Span
154.2979214,4.45E-07,LMH6624 PSD @ 28.8 kHz Span
155.2744905,4.53E-07,LMH6624 PSD @ 28.8 kHz Span
156.2510596,4.57E-07,LMH6624 PSD @ 28.8 kHz Span
