frequency(Hz),V/rt(Hz),Title
22.94921875,9.01E-08,AD848 PSD @ 1.5625 kHz Span
23.19335938,9.13E-08,AD848 PSD @ 1.5625 kHz Span
23.4375,8.74E-08,AD848 PSD @ 1.5625 kHz Span
23.68164063,8.71E-08,AD848 PSD @ 1.5625 kHz Span
23.92578125,9.03E-08,AD848 PSD @ 1.5625 kHz Span
24.16992188,9.21E-08,AD848 PSD @ 1.5625 kHz Span
24.4140625,9.73E-08,AD848 PSD @ 1.5625 kHz Span
24.65820313,1.12E-07,AD848 PSD @ 1.5625 kHz Span
24.90234375,1.30E-07,AD848 PSD @ 1.5625 kHz Span
25.14648438,1.30E-07,AD848 PSD @ 1.5625 kHz Span
25.390625,1.10E-07,AD848 PSD @ 1.5625 kHz Span
25.63476563,9.29E-08,AD848 PSD @ 1.5625 kHz Span
25.87890625,8.94E-08,AD848 PSD @ 1.5625 kHz Span
26.12304688,9.12E-08,AD848 PSD @ 1.5625 kHz Span
26.3671875,9.25E-08,AD848 PSD @ 1.5625 kHz Span
26.61132813,8.94E-08,AD848 PSD @ 1.5625 kHz Span
26.85546875,8.52E-08,AD848 PSD @ 1.5625 kHz Span
27.09960938,8.45E-08,AD848 PSD @ 1.5625 kHz Span
27.34375,8.57E-08,AD848 PSD @ 1.5625 kHz Span
27.58789063,8.68E-08,AD848 PSD @ 1.5625 kHz Span
27.83203125,8.79E-08,AD848 PSD @ 1.5625 kHz Span
28.07617188,9.11E-08,AD848 PSD @ 1.5625 kHz Span
28.3203125,9.76E-08,AD848 PSD @ 1.5625 kHz Span
28.56445313,1.01E-07,AD848 PSD @ 1.5625 kHz Span
28.80859375,9.25E-08,AD848 PSD @ 1.5625 kHz Span
29.05273438,8.27E-08,AD848 PSD @ 1.5625 kHz Span
29.296875,8.34E-08,AD848 PSD @ 1.5625 kHz Span
29.54101563,8.87E-08,AD848 PSD @ 1.5625 kHz Span
29.78515625,9.26E-08,AD848 PSD @ 1.5625 kHz Span
30.02929688,9.01E-08,AD848 PSD @ 1.5625 kHz Span
30.2734375,8.37E-08,AD848 PSD @ 1.5625 kHz Span
30.51757813,7.96E-08,AD848 PSD @ 1.5625 kHz Span
30.76171875,7.77E-08,AD848 PSD @ 1.5625 kHz Span
31.00585938,7.76E-08,AD848 PSD @ 1.5625 kHz Span
31.25,8.01E-08,AD848 PSD @ 1.5625 kHz Span
31.49414063,7.96E-08,AD848 PSD @ 1.5625 kHz Span
31.73828125,7.50E-08,AD848 PSD @ 1.5625 kHz Span
31.98242188,7.55E-08,AD848 PSD @ 1.5625 kHz Span
32.2265625,7.95E-08,AD848 PSD @ 1.5625 kHz Span
32.47070313,8.08E-08,AD848 PSD @ 1.5625 kHz Span
32.71484375,8.17E-08,AD848 PSD @ 1.5625 kHz Span
