frequency(Hz),V/rt(Hz),Title
187.4949139,5.87E-08,AD848 PSD @ 28.8 kHz Span
189.4479859,5.88E-08,AD848 PSD @ 28.8 kHz Span
191.4010579,5.89E-08,AD848 PSD @ 28.8 kHz Span
193.3541299,5.82E-08,AD848 PSD @ 28.8 kHz Span
195.307202,5.98E-08,AD848 PSD @ 28.8 kHz Span
197.260274,6.69E-08,AD848 PSD @ 28.8 kHz Span
199.213346,7.46E-08,AD848 PSD @ 28.8 kHz Span
201.166418,7.27E-08,AD848 PSD @ 28.8 kHz Span
203.11949,6.49E-08,AD848 PSD @ 28.8 kHz Span
205.0725621,6.15E-08,AD848 PSD @ 28.8 kHz Span
207.0256341,6.03E-08,AD848 PSD @ 28.8 kHz Span
208.9787061,5.88E-08,AD848 PSD @ 28.8 kHz Span
210.9317781,5.74E-08,AD848 PSD @ 28.8 kHz Span
212.8848501,5.72E-08,AD848 PSD @ 28.8 kHz Span
214.8379221,5.79E-08,AD848 PSD @ 28.8 kHz Span
216.7909942,5.77E-08,AD848 PSD @ 28.8 kHz Span
218.7440662,5.75E-08,AD848 PSD @ 28.8 kHz Span
220.6971382,5.77E-08,AD848 PSD @ 28.8 kHz Span
222.6502102,5.78E-08,AD848 PSD @ 28.8 kHz Span
224.6032822,5.82E-08,AD848 PSD @ 28.8 kHz Span
226.5563543,5.87E-08,AD848 PSD @ 28.8 kHz Span
228.5094263,5.91E-08,AD848 PSD @ 28.8 kHz Span
230.4624983,5.84E-08,AD848 PSD @ 28.8 kHz Span
232.4155703,5.77E-08,AD848 PSD @ 28.8 kHz Span
234.3686423,5.87E-08,AD848 PSD @ 28.8 kHz Span
236.3217144,6.01E-08,AD848 PSD @ 28.8 kHz Span
238.2747864,6.16E-08,AD848 PSD @ 28.8 kHz Span
240.2278584,6.27E-08,AD848 PSD @ 28.8 kHz Span
242.1809304,6.16E-08,AD848 PSD @ 28.8 kHz Span
244.1340024,6.03E-08,AD848 PSD @ 28.8 kHz Span
246.0870745,6.05E-08,AD848 PSD @ 28.8 kHz Span
248.0401465,6.26E-08,AD848 PSD @ 28.8 kHz Span
249.9932185,6.35E-08,AD848 PSD @ 28.8 kHz Span
251.9462905,6.16E-08,AD848 PSD @ 28.8 kHz Span
253.8993625,6.03E-08,AD848 PSD @ 28.8 kHz Span
255.8524346,5.99E-08,AD848 PSD @ 28.8 kHz Span
257.8055066,5.94E-08,AD848 PSD @ 28.8 kHz Span
259.7585786,5.95E-08,AD848 PSD @ 28.8 kHz Span
261.7116506,6.08E-08,AD848 PSD @ 28.8 kHz Span
263.6647226,6.21E-08,AD848 PSD @ 28.8 kHz Span
265.6177947,6.08E-08,AD848 PSD @ 28.8 kHz Span
267.5708667,5.79E-08,AD848 PSD @ 28.8 kHz Span
269.5239387,5.71E-08,AD848 PSD @ 28.8 kHz Span
271.4770107,5.80E-08,AD848 PSD @ 28.8 kHz Span
273.4300827,5.85E-08,AD848 PSD @ 28.8 kHz Span
275.3831548,5.83E-08,AD848 PSD @ 28.8 kHz Span
277.3362268,5.83E-08,AD848 PSD @ 28.8 kHz Span
279.2892988,5.85E-08,AD848 PSD @ 28.8 kHz Span
281.2423708,5.81E-08,AD848 PSD @ 28.8 kHz Span
283.1954428,5.72E-08,AD848 PSD @ 28.8 kHz Span
285.1485149,5.72E-08,AD848 PSD @ 28.8 kHz Span
287.1015869,5.77E-08,AD848 PSD @ 28.8 kHz Span
289.0546589,5.75E-08,AD848 PSD @ 28.8 kHz Span
291.0077309,5.69E-08,AD848 PSD @ 28.8 kHz Span
292.9608029,5.71E-08,AD848 PSD @ 28.8 kHz Span
294.9138749,5.82E-08,AD848 PSD @ 28.8 kHz Span
296.866947,6.12E-08,AD848 PSD @ 28.8 kHz Span
298.820019,6.58E-08,AD848 PSD @ 28.8 kHz Span
300.773091,6.68E-08,AD848 PSD @ 28.8 kHz Span
302.726163,6.30E-08,AD848 PSD @ 28.8 kHz Span
304.679235,5.97E-08,AD848 PSD @ 28.8 kHz Span
306.6323071,5.85E-08,AD848 PSD @ 28.8 kHz Span
308.5853791,5.81E-08,AD848 PSD @ 28.8 kHz Span
310.5384511,5.72E-08,AD848 PSD @ 28.8 kHz Span
312.4915231,5.68E-08,AD848 PSD @ 28.8 kHz Span
314.4445951,5.78E-08,AD848 PSD @ 28.8 kHz Span
316.3976672,5.79E-08,AD848 PSD @ 28.8 kHz Span
318.3507392,5.71E-08,AD848 PSD @ 28.8 kHz Span
320.3038112,5.71E-08,AD848 PSD @ 28.8 kHz Span
322.2568832,5.78E-08,AD848 PSD @ 28.8 kHz Span
324.2099552,5.82E-08,AD848 PSD @ 28.8 kHz Span
326.1630273,5.81E-08,AD848 PSD @ 28.8 kHz Span
328.1160993,5.87E-08,AD848 PSD @ 28.8 kHz Span
330.0691713,5.92E-08,AD848 PSD @ 28.8 kHz Span
332.0222433,5.81E-08,AD848 PSD @ 28.8 kHz Span
333.9753153,5.66E-08,AD848 PSD @ 28.8 kHz Span
335.9283874,5.55E-08,AD848 PSD @ 28.8 kHz Span
