;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
134,3271.48,7.1247e-05,3.9726e-06
135,3295.9,6.94728e-05,3.91931e-06
136,3320.31,7.04436e-05,3.91191e-06
137,3344.73,7.12053e-05,3.91782e-06
138,3369.14,7.09671e-05,3.94304e-06
139,3393.55,6.96913e-05,3.99954e-06
140,3417.97,6.88585e-05,4.01291e-06
141,3442.38,7.06591e-05,3.98197e-06
142,3466.8,7.18946e-05,3.94328e-06
143,3491.21,7.08114e-05,3.84567e-06
144,3515.63,6.81199e-05,3.77292e-06
145,3540.04,6.82384e-05,3.81478e-06
146,3564.45,6.9717e-05,3.89702e-06
147,3588.87,6.95997e-05,3.87753e-06
148,3613.28,7.11815e-05,3.91884e-06
149,3637.7,7.17441e-05,3.87724e-06
150,3662.11,6.99111e-05,3.81599e-06
151,3686.52,7.03176e-05,3.90521e-06
152,3710.94,7.12114e-05,3.95111e-06
153,3735.35,7.1471e-05,3.97736e-06
154,3759.77,7.12022e-05,4.03827e-06
155,3784.18,7.10838e-05,3.96169e-06
156,3808.59,7.07785e-05,3.87045e-06
157,3833.01,6.95857e-05,3.88507e-06
158,3857.42,6.96245e-05,3.93547e-06
159,3881.84,6.97839e-05,3.92579e-06
160,3906.25,6.77923e-05,3.83576e-06
161,3930.66,6.73228e-05,3.885e-06
162,3955.08,6.91168e-05,3.93003e-06
163,3979.49,6.95954e-05,3.90343e-06
164,4003.91,6.99917e-05,3.92582e-06
165,4028.32,7.05345e-05,3.99732e-06
166,4052.73,7.11168e-05,4.00343e-06
167,4077.15,7.04802e-05,3.92126e-06
168,4101.56,6.93778e-05,3.85902e-06
169,4125.98,7.03698e-05,3.89727e-06
170,4150.39,7.06686e-05,3.95547e-06
171,4174.8,7.04457e-05,3.93532e-06
172,4199.22,7.09946e-05,3.8814e-06
173,4223.63,7.12174e-05,3.87302e-06
174,4248.05,7.05375e-05,3.94816e-06
175,4272.46,7.00301e-05,4.02939e-06
176,4296.88,6.95047e-05,4.02236e-06
177,4321.29,6.92391e-05,3.93459e-06
178,4345.7,6.90147e-05,3.98887e-06
179,4370.12,7.0121e-05,4.06818e-06
180,4394.53,7.14588e-05,3.99564e-06
181,4418.95,7.15013e-05,3.94327e-06
182,4443.36,7.10088e-05,3.9848e-06
183,4467.77,6.98984e-05,3.97694e-06
184,4492.19,6.96763e-05,3.88235e-06
185,4516.6,7.00482e-05,3.88895e-06
186,4541.02,6.92072e-05,3.957e-06
187,4565.43,6.93445e-05,3.96287e-06
188,4589.84,7.0112e-05,3.95322e-06
189,4614.26,6.95811e-05,3.94835e-06
190,4638.67,6.92192e-05,3.93094e-06
191,4663.09,6.95947e-05,3.86733e-06
192,4687.5,7.02638e-05,3.87233e-06
193,4711.91,7.14813e-05,3.95407e-06
194,4736.33,7.17005e-05,4.04783e-06
195,4760.74,6.90103e-05,4.0497e-06
196,4785.16,6.98589e-05,3.92437e-06
197,4809.57,7.0657e-05,3.90701e-06
198,4833.98,6.9084e-05,3.99174e-06
199,4858.4,7.00112e-05,4.00021e-06
200,4882.81,7.10313e-05,3.95659e-06
201,4907.23,7.00129e-05,3.93527e-06
202,4931.64,6.87753e-05,3.93177e-06
203,4956.05,6.88861e-05,3.91625e-06
204,4980.47,6.96214e-05,3.94183e-06
205,5004.88,6.95673e-05,3.96726e-06
206,5029.3,7.01594e-05,3.98789e-06
207,5053.71,6.97247e-05,3.97922e-06
208,5078.13,6.98676e-05,3.96873e-06
209,5102.54,6.97589e-05,3.8917e-06
210,5126.95,7.03182e-05,3.86106e-06
211,5151.37,7.04614e-05,3.94923e-06
212,5175.78,7.04415e-05,3.96066e-06
213,5200.2,7.10858e-05,3.89518e-06
214,5224.61,7.19748e-05,3.89388e-06
215,5249.02,7.0891e-05,3.97549e-06
216,5273.44,7.04762e-05,3.94268e-06
217,5297.85,7.082e-05,3.88739e-06
218,5322.27,7.0746e-05,3.90022e-06
219,5346.68,7.03166e-05,3.88947e-06
220,5371.09,6.95237e-05,3.82502e-06
221,5395.51,7.04403e-05,3.84843e-06
222,5419.92,7.06683e-05,3.97658e-06
223,5444.34,6.9543e-05,4.0048e-06
224,5468.75,6.93292e-05,3.94407e-06
225,5493.16,6.98683e-05,3.88617e-06
226,5517.58,7.07002e-05,3.84532e-06
227,5541.99,7.0293e-05,3.94767e-06
228,5566.41,7.05054e-05,4.04009e-06
229,5590.82,7.02551e-05,4.00355e-06
230,5615.23,7.07416e-05,4.0005e-06
231,5639.65,7.10261e-05,3.97077e-06
232,5664.06,7.08362e-05,3.87676e-06
233,5688.48,6.9949e-05,3.92261e-06
234,5712.89,7.00559e-05,3.95507e-06
235,5737.3,6.99544e-05,3.99256e-06
236,5761.72,6.92394e-05,3.9266e-06
237,5786.13,6.98749e-05,3.85503e-06
238,5810.55,6.95807e-05,3.91049e-06
239,5834.96,7.05378e-05,4.05578e-06
240,5859.38,7.162e-05,4.09893e-06
241,5883.79,7.10379e-05,3.97347e-06
242,5908.2,7.12861e-05,3.88222e-06
243,5932.62,7.32127e-05,3.9152e-06
244,5957.03,7.34903e-05,3.97658e-06
245,5981.45,7.16518e-05,4.04329e-06
246,6005.86,7.0048e-05,3.9952e-06
247,6030.27,6.92151e-05,3.93262e-06
248,6054.69,6.89601e-05,3.8986e-06
249,6079.1,6.83661e-05,3.84615e-06
250,6103.52,6.70163e-05,3.90816e-06
251,6127.93,6.83167e-05,3.96057e-06
252,6152.34,7.1006e-05,3.89093e-06
253,6176.76,7.11706e-05,3.91679e-06
254,6201.17,7.09955e-05,3.92198e-06
255,6225.59,7.19346e-05,3.94203e-06
256,6250,7.19811e-05,3.99081e-06
257,6274.41,7.21888e-05,3.9301e-06
258,6298.83,7.25974e-05,3.86616e-06
259,6323.24,7.17517e-05,3.81052e-06
260,6347.66,7.19467e-05,3.84472e-06
261,6372.07,7.09978e-05,3.85536e-06
262,6396.48,6.88874e-05,3.79877e-06
263,6420.9,6.96312e-05,3.85128e-06
264,6445.31,6.998e-05,3.878e-06
265,6469.73,7.03868e-05,3.93159e-06
266,6494.14,7.20473e-05,3.96131e-06
267,6518.55,7.09798e-05,3.898e-06
268,6542.97,7.00325e-05,3.83887e-06
269,6567.38,7.09678e-05,3.89987e-06
270,6591.8,7.18169e-05,3.9953e-06
271,6616.21,7.09914e-05,3.97073e-06
272,6640.63,7.12156e-05,3.9259e-06
273,6665.04,7.14094e-05,3.88536e-06
274,6689.45,7.11376e-05,3.89118e-06
275,6713.87,7.04316e-05,3.94983e-06
276,6738.28,7.04745e-05,3.97271e-06
277,6762.7,6.94856e-05,3.96972e-06
278,6787.11,6.81808e-05,3.97424e-06
279,6811.52,6.95762e-05,3.94085e-06
280,6835.94,7.10474e-05,3.94388e-06
281,6860.35,7.03399e-05,3.94191e-06
282,6884.77,6.90771e-05,3.90983e-06
283,6909.18,6.83864e-05,3.95889e-06
284,6933.59,6.86868e-05,4.01126e-06
285,6958.01,6.97569e-05,3.97635e-06
286,6982.42,7.07383e-05,3.96238e-06
287,7006.84,7.06089e-05,3.97734e-06
288,7031.25,7.01293e-05,3.9097e-06
289,7055.66,7.05835e-05,3.89466e-06
290,7080.08,7.0672e-05,3.96271e-06
291,7104.49,7.04193e-05,3.98944e-06
292,7128.91,6.9959e-05,3.95042e-06
293,7153.32,6.94086e-05,3.89759e-06
294,7177.73,6.89625e-05,3.93587e-06
295,7202.15,6.92637e-05,3.94213e-06
296,7226.56,6.90041e-05,3.92676e-06
297,7250.98,6.88286e-05,3.99655e-06
298,7275.39,6.96715e-05,4.0029e-06
299,7299.8,6.99594e-05,3.98405e-06
300,7324.22,6.99605e-05,3.90146e-06
301,7348.63,7.08511e-05,3.8403e-06
302,7373.05,7.12505e-05,3.87763e-06
303,7397.46,7.09995e-05,3.90764e-06
304,7421.88,7.1243e-05,3.88648e-06
305,7446.29,7.13271e-05,3.93157e-06
306,7470.7,7.12153e-05,3.98244e-06
307,7495.12,7.12831e-05,3.99999e-06
308,7519.53,7.03345e-05,3.98456e-06
309,7543.95,6.97585e-05,3.92214e-06
310,7568.36,7.00234e-05,3.88563e-06
311,7592.77,7.04547e-05,3.90091e-06
312,7617.19,6.99221e-05,3.97302e-06
313,7641.6,7.03001e-05,4.03121e-06
314,7666.02,7.21531e-05,3.99761e-06
315,7690.43,7.13617e-05,3.94074e-06
316,7714.84,6.95843e-05,3.94194e-06
317,7739.26,6.99091e-05,3.93004e-06
318,7763.67,7.14235e-05,3.93701e-06
319,7788.09,7.23972e-05,3.96817e-06
320,7812.5,7.21249e-05,3.94912e-06
321,7836.91,7.05873e-05,3.91229e-06
322,7861.33,6.88344e-05,3.95022e-06
323,7885.74,6.95903e-05,4.02007e-06
324,7910.16,6.96905e-05,4.03335e-06
325,7934.57,6.79346e-05,3.93937e-06
326,7958.98,6.82651e-05,3.8361e-06
327,7983.4,7.11027e-05,3.91316e-06
328,8007.81,7.25902e-05,3.99207e-06
329,8032.23,7.17632e-05,4.01735e-06
330,8056.64,7.07364e-05,3.96634e-06
331,8081.05,6.98368e-05,3.919e-06
332,8105.47,6.94565e-05,3.93523e-06
333,8129.88,7.03762e-05,3.92317e-06
334,8154.3,7.06156e-05,3.92987e-06
335,8178.71,7.01741e-05,3.92943e-06
336,8203.13,6.97938e-05,3.91977e-06
337,8227.54,6.96148e-05,3.86729e-06
338,8251.95,7.0484e-05,3.80815e-06
339,8276.37,7.06308e-05,3.84152e-06
340,8300.78,7.10916e-05,3.92835e-06
341,8325.2,7.10933e-05,3.91787e-06
342,8349.61,7.02338e-05,3.85652e-06
343,8374.02,6.98853e-05,3.8081e-06
344,8398.44,7.11168e-05,3.72735e-06
345,8422.85,7.22408e-05,3.66872e-06
346,8447.27,7.23712e-05,3.74235e-06
347,8471.68,7.09639e-05,3.85139e-06
348,8496.09,7.04742e-05,3.9155e-06
349,8520.51,7.01584e-05,3.92442e-06
350,8544.92,7.03905e-05,3.92807e-06
351,8569.34,7.07218e-05,3.89949e-06
352,8593.75,7.04131e-05,3.89128e-06
353,8618.16,7.06478e-05,3.85094e-06
354,8642.58,6.9359e-05,3.84359e-06
355,8666.99,6.81494e-05,3.88956e-06
356,8691.41,6.92994e-05,3.8123e-06
357,8715.82,7.0369e-05,3.86462e-06
358,8740.23,6.98012e-05,4.029e-06
359,8764.65,6.9992e-05,4.07e-06
360,8789.06,6.94035e-05,3.95087e-06
361,8813.48,6.8214e-05,3.94335e-06
362,8837.89,6.90258e-05,3.98494e-06
363,8862.3,7.00375e-05,3.86631e-06
364,8886.72,7.1619e-05,3.82646e-06
365,8911.13,7.21903e-05,3.9385e-06
366,8935.55,7.07147e-05,3.93453e-06
367,8959.96,7.00529e-05,3.89588e-06
368,8984.38,6.97509e-05,3.98308e-06
369,9008.79,6.91378e-05,4.01227e-06
370,9033.2,6.9626e-05,3.99517e-06
371,9057.62,7.15109e-05,3.98997e-06
372,9082.03,7.15108e-05,3.98276e-06
373,9106.45,7.037e-05,3.94116e-06
374,9130.86,6.90957e-05,3.93334e-06
375,9155.27,6.95384e-05,3.98001e-06
376,9179.69,7.01928e-05,4.00345e-06
377,9204.1,7.00409e-05,3.99975e-06
378,9228.52,6.94148e-05,3.96706e-06
379,9252.93,6.84792e-05,3.88976e-06
380,9277.34,6.89094e-05,3.87114e-06
381,9301.76,6.94284e-05,3.94995e-06
382,9326.17,6.96422e-05,3.92676e-06
383,9350.59,6.99101e-05,3.90315e-06
384,9375,6.8784e-05,3.97779e-06
385,9399.41,6.83001e-05,3.96198e-06
386,9423.83,6.86922e-05,3.90708e-06
387,9448.24,6.89079e-05,3.79091e-06
388,9472.66,6.87718e-05,3.76785e-06
389,9497.07,7.02667e-05,3.8281e-06
390,9521.48,7.03082e-05,3.9129e-06
391,9545.9,6.93451e-05,3.91548e-06
392,9570.31,6.99114e-05,3.93464e-06
393,9594.73,7.13291e-05,3.96333e-06
394,9619.14,7.13462e-05,3.90342e-06
395,9643.55,7.08926e-05,3.96695e-06
396,9667.97,7.06649e-05,3.97118e-06
397,9692.38,7.06529e-05,3.86748e-06
398,9716.8,6.97572e-05,3.82546e-06
399,9741.21,6.8446e-05,3.82392e-06
400,9765.63,6.85746e-05,3.84625e-06
401,9790.04,7.06156e-05,3.91145e-06
402,9814.45,7.24538e-05,3.93405e-06
403,9838.87,7.21084e-05,3.93978e-06
404,9863.28,7.17754e-05,3.88167e-06
405,9887.7,6.99583e-05,3.87623e-06
406,9912.11,7.01254e-05,4.01368e-06
