;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00769917,0.0470621
1,24.4141,0.00769917,0.0470621
2,48.8281,0.00222937,0.0137032
3,73.2422,0.000190469,0.00163436
4,97.6563,4.81341e-05,0.00111248
5,122.07,4.80497e-05,0.00109693
6,146.484,4.65206e-05,0.00111454
7,170.898,4.72097e-05,0.00112634
8,195.313,4.81187e-05,0.0010742
9,219.727,4.74382e-05,0.0010501
10,244.141,4.55225e-05,0.00107439
11,268.555,4.61049e-05,0.00107937
12,292.969,4.80512e-05,0.00106426
13,317.383,4.80316e-05,0.00103477
14,341.797,4.69346e-05,0.00103283
15,366.211,4.49065e-05,0.00105075
16,390.625,4.3916e-05,0.00103278
17,415.039,4.56061e-05,0.00104146
18,439.453,4.61836e-05,0.00103718
19,463.867,4.68867e-05,0.00107764
20,488.281,4.68345e-05,0.00114715
21,512.695,4.68495e-05,0.00116065
22,537.109,4.56519e-05,0.00115547
23,561.523,4.38443e-05,0.00115869
24,585.938,4.45387e-05,0.0011424
25,610.352,4.6688e-05,0.00114121
26,634.766,4.86983e-05,0.00114868
27,659.18,4.8994e-05,0.00112775
28,683.594,4.90636e-05,0.00113786
29,708.008,4.78857e-05,0.00120815
30,732.422,4.59989e-05,0.00122134
31,756.836,4.45729e-05,0.00112395
32,781.25,4.60655e-05,0.00101209
33,805.664,4.71774e-05,0.00099963
34,830.078,4.60604e-05,0.00105263
35,854.492,4.4237e-05,0.00107141
36,878.906,4.37479e-05,0.00106205
37,903.32,4.35652e-05,0.00106909
38,927.734,4.20758e-05,0.00104079
39,952.148,4.40986e-05,0.00100892
40,976.563,4.70987e-05,0.00101165
41,1000.98,4.69847e-05,0.00108048
42,1025.39,4.50259e-05,0.00111285
43,1049.8,4.3896e-05,0.00105952
44,1074.22,4.36205e-05,0.000999417
45,1098.63,4.35489e-05,0.000974732
46,1123.05,4.53251e-05,0.000964594
47,1147.46,4.47578e-05,0.000949863
48,1171.88,4.47593e-05,0.000990775
49,1196.29,4.67042e-05,0.00101586
50,1220.7,4.61745e-05,0.00104947
51,1245.12,4.60501e-05,0.00105442
52,1269.53,4.55072e-05,0.00100115
53,1293.95,4.51713e-05,0.001003
54,1318.36,4.39109e-05,0.00100718
55,1342.77,4.28075e-05,0.00100025
56,1367.19,4.29621e-05,0.00105293
57,1391.6,4.40476e-05,0.00100993
58,1416.02,4.61785e-05,0.000936341
59,1440.43,4.7155e-05,0.000951284
60,1464.84,4.50176e-05,0.000963713
61,1489.26,4.40279e-05,0.000970668
62,1513.67,4.58892e-05,0.00101224
63,1538.09,4.6088e-05,0.00103671
64,1562.5,4.48866e-05,0.00103463
65,1586.91,4.39743e-05,0.000997837
66,1611.33,4.33035e-05,0.000992106
67,1635.74,4.43422e-05,0.00100571
68,1660.16,4.41236e-05,0.00101475
69,1684.57,4.33366e-05,0.0010348
70,1708.98,4.12975e-05,0.00103701
71,1733.4,4.00326e-05,0.00103222
72,1757.81,4.0134e-05,0.0010301
73,1782.23,4.22746e-05,0.00106461
74,1806.64,4.36037e-05,0.00103827
75,1831.05,4.33648e-05,0.000999355
76,1855.47,4.37636e-05,0.00101306
77,1879.88,4.31486e-05,0.00100084
78,1904.3,4.31727e-05,0.000982428
79,1928.71,4.39566e-05,0.000982067
80,1953.13,4.24939e-05,0.00100635
81,1977.54,4.21845e-05,0.00104846
82,2001.95,4.3257e-05,0.0010919
83,2026.37,4.33476e-05,0.00108065
84,2050.78,4.39467e-05,0.00104914
85,2075.2,4.39214e-05,0.00107615
86,2099.61,4.16156e-05,0.0010862
87,2124.02,4.23714e-05,0.00112106
88,2148.44,4.23469e-05,0.00110562
89,2172.85,4.17811e-05,0.00108645
90,2197.27,4.29994e-05,0.001122
91,2221.68,4.47566e-05,0.00117147
92,2246.09,4.5287e-05,0.00132533
93,2270.51,4.47953e-05,0.00150859
94,2294.92,4.50017e-05,0.00163269
95,2319.34,4.60042e-05,0.00193715
96,2343.75,4.72622e-05,0.00243046
97,2368.16,4.88065e-05,0.0028807
98,2392.58,5.16635e-05,0.00327731
99,2416.99,5.33589e-05,0.00365332
100,2441.41,5.28772e-05,0.00387861
101,2465.82,5.43824e-05,0.00424473
102,2490.23,5.73367e-05,0.00463757
103,2514.65,5.80651e-05,0.00471575
104,2539.06,5.72343e-05,0.004525
105,2563.48,5.65034e-05,0.00422436
106,2587.89,5.54354e-05,0.0038312
107,2612.3,5.30043e-05,0.0035673
108,2636.72,5.1232e-05,0.00327492
109,2661.13,4.91408e-05,0.0026169
110,2685.55,4.84958e-05,0.00202217
111,2709.96,4.6757e-05,0.00169095
112,2734.38,4.35572e-05,0.00147569
113,2758.79,4.28271e-05,0.00132577
114,2783.2,4.19726e-05,0.00123756
115,2807.62,4.16552e-05,0.00124443
116,2832.03,4.20387e-05,0.00119175
117,2856.45,4.25514e-05,0.00113763
118,2880.86,4.53262e-05,0.00108389
119,2905.27,4.75073e-05,0.00104281
120,2929.69,4.63474e-05,0.00104297
121,2954.1,4.47452e-05,0.000970279
122,2978.52,4.29489e-05,0.000916702
123,3002.93,4.16372e-05,0.000945491
124,3027.34,4.19131e-05,0.000981303
125,3051.76,4.17417e-05,0.0010058
126,3076.17,4.34271e-05,0.00100433
127,3100.59,4.32364e-05,0.000985131
128,3125,4.11265e-05,0.000990536
129,3149.41,4.16306e-05,0.00100056
130,3173.83,4.29267e-05,0.000974016
131,3198.24,4.36552e-05,0.000956069
132,3222.66,4.42839e-05,0.00100071
133,3247.07,4.46048e-05,0.0010301
134,3271.48,4.57023e-05,0.0010164
135,3295.9,4.52444e-05,0.00103095
136,3320.31,4.24652e-05,0.00103604
137,3344.73,4.22272e-05,0.00101936
138,3369.14,4.38796e-05,0.000988194
139,3393.55,4.34917e-05,0.000986214
140,3417.97,4.42967e-05,0.000988368
141,3442.38,4.50389e-05,0.00101285
142,3466.8,4.4872e-05,0.00108189
143,3491.21,4.40214e-05,0.00108226
144,3515.63,4.1639e-05,0.00103184
145,3540.04,4.30084e-05,0.0010067
146,3564.45,4.46649e-05,0.000996082
147,3588.87,4.4161e-05,0.00100982
148,3613.28,4.3109e-05,0.00100488
149,3637.7,4.44379e-05,0.000957692
150,3662.11,4.601e-05,0.000948433
151,3686.52,4.59215e-05,0.00098484
152,3710.94,4.46351e-05,0.00103935
153,3735.35,4.40596e-05,0.00108074
154,3759.77,4.40169e-05,0.00108925
155,3784.18,4.27313e-05,0.000997096
156,3808.59,4.39511e-05,0.000965922
157,3833.01,4.48735e-05,0.00101465
158,3857.42,4.46553e-05,0.000998518
159,3881.84,4.42177e-05,0.00098594
160,3906.25,4.32027e-05,0.000997998
161,3930.66,4.30063e-05,0.00101782
162,3955.08,4.51412e-05,0.00100337
163,3979.49,4.49663e-05,0.000993172
164,4003.91,4.62073e-05,0.00103337
165,4028.32,4.52213e-05,0.00103612
166,4052.73,4.50925e-05,0.00104376
167,4077.15,4.79412e-05,0.0010196
168,4101.56,4.76312e-05,0.00098315
169,4125.98,4.43263e-05,0.000992877
170,4150.39,4.19597e-05,0.00096962
171,4174.8,4.3333e-05,0.000970662
172,4199.22,4.553e-05,0.000978568
173,4223.63,4.52227e-05,0.00100372
174,4248.05,4.37959e-05,0.0010224
175,4272.46,4.39063e-05,0.00100163
176,4296.88,4.23404e-05,0.000952318
177,4321.29,4.25762e-05,0.000944857
178,4345.7,4.53618e-05,0.000970701
179,4370.12,4.58096e-05,0.000996313
180,4394.53,4.42231e-05,0.00101648
181,4418.95,4.18817e-05,0.00104631
182,4443.36,4.13382e-05,0.00107253
183,4467.77,4.37253e-05,0.00109301
184,4492.19,4.51557e-05,0.00104366
185,4516.6,4.51883e-05,0.00101167
186,4541.02,4.43799e-05,0.00104321
187,4565.43,4.4759e-05,0.00103047
188,4589.84,4.32682e-05,0.000986463
189,4614.26,4.17014e-05,0.00097867
190,4638.67,4.17776e-05,0.000969477
191,4663.09,4.19542e-05,0.00097717
192,4687.5,4.27504e-05,0.000984167
193,4711.91,4.26065e-05,0.000980153
194,4736.33,4.37321e-05,0.00104906
195,4760.74,4.40226e-05,0.00105384
196,4785.16,4.53124e-05,0.000993537
197,4809.57,4.51684e-05,0.00100428
198,4833.98,4.3411e-05,0.00106222
199,4858.4,4.04125e-05,0.00104756
200,4882.81,3.9299e-05,0.00101276
201,4907.23,4.20497e-05,0.00099122
202,4931.64,4.39248e-05,0.00100649
203,4956.05,4.44728e-05,0.00106934
204,4980.47,4.50487e-05,0.00106468
205,5004.88,4.66079e-05,0.00104058
206,5029.3,4.4827e-05,0.00101526
207,5053.71,4.23195e-05,0.00101158
208,5078.13,4.22472e-05,0.00107199
209,5102.54,4.3489e-05,0.0010574
210,5126.95,4.51593e-05,0.00103766
211,5151.37,4.56673e-05,0.00103679
212,5175.78,4.39891e-05,0.00100729
213,5200.2,4.22599e-05,0.000998188
214,5224.61,4.42513e-05,0.00102734
215,5249.02,4.57034e-05,0.00104338
216,5273.44,4.43573e-05,0.00103735
217,5297.85,4.33243e-05,0.000981163
218,5322.27,4.46596e-05,0.000951158
219,5346.68,4.30812e-05,0.000944446
220,5371.09,4.09831e-05,0.00101074
221,5395.51,4.21043e-05,0.00105783
222,5419.92,4.33096e-05,0.0010097
223,5444.34,4.23926e-05,0.000972097
224,5468.75,4.24086e-05,0.00097902
225,5493.16,4.36164e-05,0.00100111
226,5517.58,4.33243e-05,0.000991697
227,5541.99,4.23071e-05,0.00104072
228,5566.41,4.29861e-05,0.00105606
229,5590.82,4.3121e-05,0.00100472
230,5615.23,4.25624e-05,0.000963658
231,5639.65,4.33945e-05,0.000997449
232,5664.06,4.44859e-05,0.00108013
233,5688.48,4.47771e-05,0.0011062
234,5712.89,4.60336e-05,0.00108469
235,5737.3,4.4798e-05,0.0010459
236,5761.72,4.48076e-05,0.00103245
237,5786.13,4.75941e-05,0.00099532
238,5810.55,4.76338e-05,0.000966205
239,5834.96,4.53614e-05,0.000998554
240,5859.38,4.39606e-05,0.00105226
241,5883.79,4.24428e-05,0.00102999
242,5908.2,4.09301e-05,0.00100116
243,5932.62,4.28166e-05,0.000988894
244,5957.03,4.39373e-05,0.00100758
245,5981.45,4.39951e-05,0.00105354
246,6005.86,4.33015e-05,0.00108463
247,6030.27,4.53917e-05,0.0010254
248,6054.69,4.62663e-05,0.00097181
249,6079.1,4.42838e-05,0.000944469
250,6103.52,4.34902e-05,0.000972667
251,6127.93,4.28855e-05,0.00102632
252,6152.34,4.12239e-05,0.000987653
253,6176.76,4.18999e-05,0.000904164
254,6201.17,4.30148e-05,0.000933072
255,6225.59,4.39408e-05,0.000999373
256,6250,4.40468e-05,0.00105293
257,6274.41,4.52479e-05,0.00103318
258,6298.83,4.77156e-05,0.000986258
259,6323.24,4.79141e-05,0.00100485
260,6347.66,4.59541e-05,0.00103285
261,6372.07,4.30185e-05,0.00100541
262,6396.48,4.23008e-05,0.00101377
263,6420.9,4.18971e-05,0.00107216
264,6445.31,4.11993e-05,0.00108515
265,6469.73,4.27678e-05,0.0010832
266,6494.14,4.34333e-05,0.00108055
267,6518.55,4.29234e-05,0.00101428
268,6542.97,4.35166e-05,0.00102558
269,6567.38,4.37701e-05,0.00104007
270,6591.8,4.40121e-05,0.00101494
271,6616.21,4.40237e-05,0.00102781
272,6640.63,4.13974e-05,0.00102602
273,6665.04,3.91164e-05,0.00104055
274,6689.45,3.88673e-05,0.00102408
275,6713.87,3.97612e-05,0.00100743
276,6738.28,4.13791e-05,0.0010121
277,6762.7,4.34693e-05,0.00100295
278,6787.11,4.27192e-05,0.000965272
279,6811.52,4.20921e-05,0.000964402
280,6835.94,4.37857e-05,0.00099859
281,6860.35,4.45091e-05,0.00100819
282,6884.77,4.43421e-05,0.00100472
283,6909.18,4.21511e-05,0.00104906
284,6933.59,4.01472e-05,0.00106048
285,6958.01,4.11777e-05,0.00103936
286,6982.42,4.35328e-05,0.00104092
287,7006.84,4.39378e-05,0.00105545
288,7031.25,4.18896e-05,0.00102594
289,7055.66,4.09632e-05,0.00101408
290,7080.08,4.10493e-05,0.00101363
291,7104.49,4.26833e-05,0.000987072
292,7128.91,4.53999e-05,0.000949317
293,7153.32,4.49262e-05,0.000946128
294,7177.73,4.50447e-05,0.000975794
295,7202.15,4.49273e-05,0.00102369
296,7226.56,4.37986e-05,0.00108891
