;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00763065,0.00127373
1,24.4141,0.00763065,0.00127373
2,48.8281,0.00220918,0.000531166
3,73.2422,0.000188455,0.000299696
4,97.6563,4.44689e-05,0.000288284
5,122.07,4.36931e-05,0.000288892
6,146.484,4.48671e-05,0.000281364
7,170.898,4.54615e-05,0.000281909
8,195.313,4.70934e-05,0.000280878
9,219.727,4.9238e-05,0.000285909
10,244.141,4.86685e-05,0.000290845
11,268.555,4.70368e-05,0.000279089
12,292.969,4.80012e-05,0.000271821
13,317.383,4.61886e-05,0.000270925
14,341.797,4.40723e-05,0.00027736
15,366.211,4.48428e-05,0.000282469
16,390.625,4.36319e-05,0.000276597
17,415.039,4.22563e-05,0.000295787
18,439.453,4.45781e-05,0.000304131
19,463.867,4.51572e-05,0.000288718
20,488.281,4.56109e-05,0.000287994
21,512.695,4.59188e-05,0.000299485
22,537.109,4.58178e-05,0.000305679
23,561.523,4.51682e-05,0.000290848
24,585.938,4.51838e-05,0.000273927
25,610.352,4.46616e-05,0.000272689
26,634.766,4.37967e-05,0.000271898
27,659.18,4.36509e-05,0.000273111
28,683.594,4.47987e-05,0.00027179
29,708.008,4.45374e-05,0.000281038
30,732.422,4.24458e-05,0.000287493
31,756.836,4.40011e-05,0.000282798
32,781.25,4.5287e-05,0.000279364
33,805.664,4.58884e-05,0.000280335
34,830.078,4.54577e-05,0.000279825
35,854.492,4.34991e-05,0.00028202
36,878.906,4.27004e-05,0.000282317
37,903.32,4.24423e-05,0.000264919
38,927.734,4.47924e-05,0.000254597
39,952.148,4.49286e-05,0.00027292
40,976.563,4.59212e-05,0.000293615
41,1000.98,4.76754e-05,0.000289485
42,1025.39,4.66455e-05,0.000267529
43,1049.8,4.60476e-05,0.000254056
44,1074.22,4.68711e-05,0.000254718
45,1098.63,4.62963e-05,0.000255653
46,1123.05,4.43495e-05,0.000256411
47,1147.46,4.50567e-05,0.000260224
48,1171.88,4.8074e-05,0.000265933
49,1196.29,4.75121e-05,0.000250779
50,1220.7,4.39478e-05,0.000245646
51,1245.12,4.19612e-05,0.000252702
52,1269.53,4.29012e-05,0.000262138
53,1293.95,4.44324e-05,0.000264681
54,1318.36,4.40928e-05,0.000254186
55,1342.77,4.31175e-05,0.000256658
56,1367.19,4.44506e-05,0.000269667
57,1391.6,4.44889e-05,0.000267818
58,1416.02,4.44332e-05,0.000260036
59,1440.43,4.42842e-05,0.000259232
60,1464.84,4.32963e-05,0.000257116
61,1489.26,4.42983e-05,0.000254414
62,1513.67,4.49385e-05,0.00024924
63,1538.09,4.28469e-05,0.00025097
64,1562.5,4.14046e-05,0.000255946
65,1586.91,4.34643e-05,0.000261548
66,1611.33,4.35012e-05,0.00026475
67,1635.74,4.21898e-05,0.000260757
68,1660.16,4.37145e-05,0.000260472
69,1684.57,4.52639e-05,0.000256618
70,1708.98,4.47594e-05,0.000251661
71,1733.4,4.28185e-05,0.000252292
72,1757.81,4.17124e-05,0.00024591
73,1782.23,4.22765e-05,0.000250129
74,1806.64,4.35372e-05,0.000248035
75,1831.05,4.48689e-05,0.000251442
76,1855.47,4.50416e-05,0.000266206
77,1879.88,4.36606e-05,0.000267796
78,1904.3,4.3141e-05,0.000272992
79,1928.71,4.29127e-05,0.000286171
80,1953.13,4.18074e-05,0.000287767
81,1977.54,4.41406e-05,0.000305391
82,2001.95,4.59156e-05,0.000333494
83,2026.37,4.4761e-05,0.000349947
84,2050.78,4.44395e-05,0.000377004
85,2075.2,4.37331e-05,0.000439045
86,2099.61,4.38531e-05,0.000571476
87,2124.02,4.56798e-05,0.000740884
88,2148.44,4.58102e-05,0.000856783
89,2172.85,4.53708e-05,0.000932739
90,2197.27,4.36935e-05,0.00101499
91,2221.68,4.44557e-05,0.00109932
92,2246.09,4.51192e-05,0.00121576
93,2270.51,4.53617e-05,0.00122828
94,2294.92,4.39659e-05,0.00114477
95,2319.34,4.31914e-05,0.00109182
96,2343.75,4.50637e-05,0.0010334
97,2368.16,4.61336e-05,0.000929603
98,2392.58,4.69776e-05,0.000790465
99,2416.99,4.48826e-05,0.000630334
100,2441.41,4.23529e-05,0.000500265
101,2465.82,4.37341e-05,0.00042391
102,2490.23,4.42786e-05,0.000372394
103,2514.65,4.50659e-05,0.000351331
104,2539.06,4.50798e-05,0.000331958
105,2563.48,4.45564e-05,0.000306911
106,2587.89,4.45494e-05,0.000292682
107,2612.3,4.51052e-05,0.000284766
108,2636.72,4.53182e-05,0.000278802
109,2661.13,4.49344e-05,0.00026296
110,2685.55,4.50285e-05,0.000266011
111,2709.96,4.44184e-05,0.000289646
112,2734.38,4.28851e-05,0.000289405
113,2758.79,4.28147e-05,0.000271572
114,2783.2,4.25808e-05,0.000264524
115,2807.62,4.22489e-05,0.000265589
116,2832.03,4.25635e-05,0.000265601
117,2856.45,4.28699e-05,0.000265796
118,2880.86,4.39168e-05,0.000263811
119,2905.27,4.42789e-05,0.000269364
120,2929.69,4.39385e-05,0.000271544
121,2954.1,4.31781e-05,0.00025876
122,2978.52,4.37618e-05,0.000251832
123,3002.93,4.42838e-05,0.000257081
124,3027.34,4.46648e-05,0.000259137
125,3051.76,4.47977e-05,0.00025457
126,3076.17,4.48364e-05,0.000254313
127,3100.59,4.39704e-05,0.000256709
128,3125,4.27195e-05,0.000256986
129,3149.41,4.15649e-05,0.000261641
130,3173.83,4.16828e-05,0.000264997
131,3198.24,4.39795e-05,0.000257263
132,3222.66,4.53737e-05,0.000253464
133,3247.07,4.42374e-05,0.000260552
134,3271.48,4.45491e-05,0.000265937
135,3295.9,4.36412e-05,0.000267643
136,3320.31,4.30179e-05,0.00026646
137,3344.73,4.35197e-05,0.000253316
138,3369.14,4.36382e-05,0.000248977
139,3393.55,4.26332e-05,0.000256663
140,3417.97,4.2578e-05,0.000248401
141,3442.38,4.16437e-05,0.000236685
142,3466.8,4.18224e-05,0.000238525
143,3491.21,4.27115e-05,0.000264714
144,3515.63,4.32138e-05,0.000277144
145,3540.04,4.54475e-05,0.000268985
146,3564.45,4.64998e-05,0.000260639
147,3588.87,4.5752e-05,0.000251982
148,3613.28,4.48735e-05,0.000248653
149,3637.7,4.54538e-05,0.00024528
150,3662.11,4.41241e-05,0.000238602
151,3686.52,4.0839e-05,0.000238487
152,3710.94,4.10807e-05,0.000244386
153,3735.35,4.35294e-05,0.000257456
154,3759.77,4.43619e-05,0.000256253
155,3784.18,4.2403e-05,0.000255417
156,3808.59,4.12524e-05,0.000253267
157,3833.01,4.23917e-05,0.000251865
158,3857.42,4.27348e-05,0.000249433
159,3881.84,4.18918e-05,0.000253397
160,3906.25,3.98817e-05,0.000265853
161,3930.66,4.1277e-05,0.000264478
162,3955.08,4.64797e-05,0.000261918
163,3979.49,4.71741e-05,0.000264533
164,4003.91,4.43367e-05,0.000264284
165,4028.32,4.42993e-05,0.000260387
166,4052.73,4.42946e-05,0.000258273
167,4077.15,4.47669e-05,0.000255493
168,4101.56,4.4946e-05,0.000256925
169,4125.98,4.48108e-05,0.000257521
170,4150.39,4.52101e-05,0.000255084
171,4174.8,4.39715e-05,0.000250919
172,4199.22,4.20119e-05,0.00026061
173,4223.63,4.21875e-05,0.000268325
174,4248.05,4.44383e-05,0.000262252
175,4272.46,4.43171e-05,0.000253034
176,4296.88,4.37568e-05,0.000243349
177,4321.29,4.39542e-05,0.00023878
178,4345.7,4.37668e-05,0.000254499
179,4370.12,4.3899e-05,0.000261018
180,4394.53,4.49654e-05,0.000253209
181,4418.95,4.36162e-05,0.000257533
182,4443.36,4.31768e-05,0.000265415
183,4467.77,4.51055e-05,0.000261381
184,4492.19,4.60484e-05,0.00025723
185,4516.6,4.52492e-05,0.000253965
186,4541.02,4.35066e-05,0.000247093
187,4565.43,4.28061e-05,0.000251678
188,4589.84,4.27664e-05,0.000250725
189,4614.26,4.43475e-05,0.000247948
190,4638.67,4.66358e-05,0.000251114
191,4663.09,4.55949e-05,0.000243876
192,4687.5,4.45325e-05,0.000232749
193,4711.91,4.40009e-05,0.000238925
194,4736.33,4.39653e-05,0.000260266
195,4760.74,4.27922e-05,0.000257531
196,4785.16,4.0451e-05,0.000246829
197,4809.57,4.04144e-05,0.000246229
198,4833.98,4.06369e-05,0.000237997
199,4858.4,4.26894e-05,0.000233214
200,4882.81,4.48569e-05,0.000241606
201,4907.23,4.43313e-05,0.000253024
202,4931.64,4.65549e-05,0.000256542
203,4956.05,5.07734e-05,0.000250266
204,4980.47,4.95325e-05,0.000257895
205,5004.88,4.66936e-05,0.000269744
206,5029.3,4.52263e-05,0.000270704
207,5053.71,4.44336e-05,0.000257349
208,5078.13,4.39229e-05,0.00025378
209,5102.54,4.4422e-05,0.000259763
210,5126.95,4.5345e-05,0.000258193
211,5151.37,4.59466e-05,0.000254453
212,5175.78,4.55575e-05,0.00026021
213,5200.2,4.36766e-05,0.0002636
214,5224.61,4.33721e-05,0.000275272
215,5249.02,4.53518e-05,0.000286498
216,5273.44,4.71214e-05,0.000273137
217,5297.85,4.79959e-05,0.000245052
218,5322.27,4.77961e-05,0.000235491
219,5346.68,4.53624e-05,0.000239069
220,5371.09,4.42725e-05,0.000246015
221,5395.51,4.42642e-05,0.000250042
222,5419.92,4.33794e-05,0.000250296
223,5444.34,4.35246e-05,0.000245918
224,5468.75,4.62257e-05,0.000247318
225,5493.16,4.74473e-05,0.000255164
226,5517.58,4.59555e-05,0.000253001
227,5541.99,4.52932e-05,0.000247761
228,5566.41,4.40066e-05,0.000236367
229,5590.82,4.30198e-05,0.000230366
230,5615.23,4.47565e-05,0.000230924
231,5639.65,4.51072e-05,0.000238609
232,5664.06,4.54173e-05,0.000248012
233,5688.48,4.66488e-05,0.000246871
234,5712.89,4.57509e-05,0.000249621
235,5737.3,4.39483e-05,0.000266937
236,5761.72,4.33357e-05,0.000271461
237,5786.13,4.20031e-05,0.000259703
238,5810.55,4.3504e-05,0.000242727
239,5834.96,4.42154e-05,0.000241123
240,5859.38,4.36996e-05,0.000254226
241,5883.79,4.5263e-05,0.000258441
242,5908.2,4.69731e-05,0.000253658
243,5932.62,4.75081e-05,0.000251472
244,5957.03,4.69799e-05,0.000251637
245,5981.45,4.6394e-05,0.000253768
246,6005.86,4.53831e-05,0.000266309
247,6030.27,4.5184e-05,0.000263435
248,6054.69,4.50087e-05,0.000261025
249,6079.1,4.21334e-05,0.00025552
250,6103.52,4.28908e-05,0.000247391
251,6127.93,4.6606e-05,0.00024839
252,6152.34,4.67138e-05,0.000259282
253,6176.76,4.57855e-05,0.000262861
254,6201.17,4.56442e-05,0.000259707
255,6225.59,4.41242e-05,0.000260177
256,6250,4.33296e-05,0.000264407
257,6274.41,4.35033e-05,0.000256602
258,6298.83,4.23651e-05,0.000255971
259,6323.24,4.30823e-05,0.00025468
260,6347.66,4.53456e-05,0.000238845
261,6372.07,4.51942e-05,0.000242803
262,6396.48,4.6124e-05,0.000264333
263,6420.9,4.52099e-05,0.000266226
264,6445.31,4.3938e-05,0.000257477
265,6469.73,4.51326e-05,0.000256195
266,6494.14,4.3873e-05,0.000273131
267,6518.55,4.18566e-05,0.000274966
268,6542.97,4.32497e-05,0.000258048
269,6567.38,4.58732e-05,0.000249236
270,6591.8,4.69651e-05,0.000249167
271,6616.21,4.58043e-05,0.000245126
272,6640.63,4.3074e-05,0.000243338
273,6665.04,4.30785e-05,0.000254805
274,6689.45,4.38676e-05,0.000256335
275,6713.87,4.47503e-05,0.000253502
276,6738.28,4.44618e-05,0.000268244
277,6762.7,4.29296e-05,0.000261147
278,6787.11,4.32734e-05,0.000256767
279,6811.52,4.35769e-05,0.000251791
280,6835.94,4.31245e-05,0.000237545
281,6860.35,4.27997e-05,0.000245639
282,6884.77,4.37939e-05,0.000252433
283,6909.18,4.52762e-05,0.000240171
284,6933.59,4.5059e-05,0.000237089
285,6958.01,4.55904e-05,0.000243549
286,6982.42,4.71699e-05,0.000264165
287,7006.84,4.63219e-05,0.000272131
288,7031.25,4.5347e-05,0.000260186
289,7055.66,4.53176e-05,0.000255154
290,7080.08,4.4813e-05,0.000257142
291,7104.49,4.22617e-05,0.000257002
292,7128.91,4.19058e-05,0.000254101
293,7153.32,4.47944e-05,0.000258159
294,7177.73,4.72286e-05,0.000261152
295,7202.15,4.7833e-05,0.000256957
296,7226.56,4.65922e-05,0.000257536
297,7250.98,4.47244e-05,0.000264719
298,7275.39,4.45847e-05,0.000250701
299,7299.8,4.37575e-05,0.000234803
300,7324.22,4.11528e-05,0.000246377
301,7348.63,4.21843e-05,0.00026767
302,7373.05,4.43409e-05,0.000273359
303,7397.46,4.28714e-05,0.000267198
304,7421.88,4.22932e-05,0.000266904
305,7446.29,4.29953e-05,0.000270115
306,7470.7,4.3593e-05,0.000280446
307,7495.12,4.49493e-05,0.000282313
308,7519.53,4.69103e-05,0.000262361
309,7543.95,4.58978e-05,0.000253015
310,7568.36,4.38694e-05,0.000251798
311,7592.77,4.51549e-05,0.000252218
312,7617.19,4.53642e-05,0.00024515
313,7641.6,4.31368e-05,0.000234533
314,7666.02,4.41139e-05,0.000241879
315,7690.43,4.43316e-05,0.000248554
316,7714.84,4.39814e-05,0.000251346
317,7739.26,4.54733e-05,0.000262832
318,7763.67,4.57414e-05,0.000252547
319,7788.09,4.52297e-05,0.000243137
320,7812.5,4.29982e-05,0.000251806
321,7836.91,4.2274e-05,0.000261208
322,7861.33,4.29481e-05,0.000253497
323,7885.74,4.21855e-05,0.000249014
324,7910.16,4.19419e-05,0.000241452
325,7934.57,4.41317e-05,0.000264493
326,7958.98,4.57999e-05,0.0007723
327,7983.4,5.24588e-05,0.00165006
328,8007.81,5.44688e-05,0.00174964
329,8032.23,4.81869e-05,0.000953628
330,8056.64,4.48206e-05,0.000343618
331,8081.05,4.53509e-05,0.000252881
332,8105.47,4.45902e-05,0.000247576
333,8129.88,4.29426e-05,0.000245852
334,8154.3,4.30611e-05,0.000243001
335,8178.71,4.44558e-05,0.000242568
336,8203.13,4.4822e-05,0.000244515
337,8227.54,4.47139e-05,0.000260709
338,8251.95,4.40251e-05,0.000275924
339,8276.37,4.2861e-05,0.000264819
340,8300.78,4.42361e-05,0.000252733
341,8325.2,4.3547e-05,0.00024668
342,8349.61,4.15243e-05,0.000253737
343,8374.02,4.2336e-05,0.000258319
344,8398.44,4.27732e-05,0.000251258
345,8422.85,4.24183e-05,0.000248555
346,8447.27,4.20803e-05,0.000249259
347,8471.68,4.42097e-05,0.000261832
348,8496.09,4.48796e-05,0.000291432
349,8520.51,4.30416e-05,0.000289941
350,8544.92,4.18631e-05,0.000270154
351,8569.34,4.28826e-05,0.000251992
