;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00740715,0.000985409
1,24.4141,0.00740715,0.000985409
2,48.8281,0.00214334,0.000291214
3,73.2422,0.00018221,4.79851e-05
4,97.6563,4.84288e-05,3.76616e-05
5,122.07,4.66473e-05,3.49573e-05
6,146.484,4.59795e-05,3.54514e-05
7,170.898,4.47424e-05,3.75484e-05
8,195.313,4.40336e-05,3.73594e-05
9,219.727,4.35247e-05,3.50998e-05
10,244.141,4.41342e-05,3.3219e-05
11,268.555,4.47418e-05,3.169e-05
12,292.969,4.58117e-05,2.99163e-05
13,317.383,4.72893e-05,2.88742e-05
14,341.797,4.40774e-05,2.78735e-05
15,366.211,4.33999e-05,2.82569e-05
16,390.625,4.48954e-05,2.89336e-05
17,415.039,4.32466e-05,2.85872e-05
18,439.453,4.28125e-05,2.86824e-05
19,463.867,4.48243e-05,2.84633e-05
20,488.281,4.681e-05,2.83287e-05
21,512.695,4.7639e-05,2.8262e-05
22,537.109,4.76106e-05,2.74232e-05
23,561.523,4.77602e-05,2.65612e-05
24,585.938,4.9076e-05,2.5152e-05
25,610.352,4.93055e-05,2.43321e-05
26,634.766,4.77685e-05,2.58862e-05
27,659.18,4.63837e-05,2.67415e-05
28,683.594,4.57497e-05,2.60875e-05
29,708.008,4.45752e-05,2.63915e-05
30,732.422,4.57708e-05,2.66347e-05
31,756.836,4.69785e-05,2.61762e-05
32,781.25,4.59527e-05,2.62714e-05
33,805.664,4.44338e-05,2.63338e-05
34,830.078,4.54312e-05,2.44195e-05
35,854.492,4.69163e-05,2.36876e-05
36,878.906,4.66691e-05,2.49328e-05
37,903.32,4.55975e-05,2.58657e-05
38,927.734,4.58446e-05,2.62438e-05
39,952.148,4.38106e-05,2.7355e-05
40,976.563,4.3637e-05,2.81565e-05
41,1000.98,4.70556e-05,2.92176e-05
42,1025.39,4.72532e-05,2.89964e-05
43,1049.8,4.64326e-05,2.79704e-05
44,1074.22,4.48029e-05,2.66871e-05
45,1098.63,4.44876e-05,2.61892e-05
46,1123.05,4.3843e-05,2.57621e-05
47,1147.46,4.4207e-05,2.51469e-05
48,1171.88,4.54468e-05,2.52747e-05
49,1196.29,4.36061e-05,2.58251e-05
50,1220.7,4.25081e-05,2.66549e-05
51,1245.12,4.20642e-05,2.79474e-05
52,1269.53,4.37703e-05,2.8474e-05
53,1293.95,4.60019e-05,2.81736e-05
54,1318.36,4.63421e-05,2.70596e-05
55,1342.77,4.58069e-05,2.61025e-05
56,1367.19,4.55615e-05,2.66833e-05
57,1391.6,4.5488e-05,2.68688e-05
58,1416.02,4.58885e-05,2.68691e-05
59,1440.43,4.59042e-05,2.70403e-05
60,1464.84,4.4057e-05,2.67026e-05
61,1489.26,4.10282e-05,2.56816e-05
62,1513.67,4.25293e-05,2.57627e-05
63,1538.09,4.6071e-05,2.58051e-05
64,1562.5,4.62572e-05,2.60667e-05
65,1586.91,4.54973e-05,2.60524e-05
66,1611.33,4.56056e-05,2.54076e-05
67,1635.74,4.52242e-05,2.55827e-05
68,1660.16,4.63885e-05,2.58273e-05
69,1684.57,4.87868e-05,2.60891e-05
70,1708.98,4.89589e-05,2.63721e-05
71,1733.4,4.51435e-05,2.67034e-05
72,1757.81,4.18239e-05,2.67737e-05
73,1782.23,4.17074e-05,2.52513e-05
74,1806.64,4.36095e-05,2.45489e-05
75,1831.05,4.39823e-05,2.47685e-05
76,1855.47,4.35918e-05,2.58517e-05
77,1879.88,4.35148e-05,2.65669e-05
78,1904.3,4.47905e-05,2.6565e-05
79,1928.71,4.55209e-05,2.6771e-05
80,1953.13,4.48576e-05,2.63485e-05
81,1977.54,4.43282e-05,2.67246e-05
82,2001.95,4.45536e-05,2.73698e-05
83,2026.37,4.41116e-05,2.66457e-05
84,2050.78,4.31353e-05,2.51975e-05
85,2075.2,4.1765e-05,2.41092e-05
86,2099.61,4.27941e-05,2.52523e-05
87,2124.02,4.46362e-05,2.66702e-05
88,2148.44,4.58126e-05,2.68344e-05
89,2172.85,4.62528e-05,2.6882e-05
90,2197.27,4.48371e-05,2.67958e-05
